GeneID	log2FC	FC	Control_Mean	Treat_Mean	PValue	AdjPValue	Significant	Direction
ARMC10	0.660630229189965	1.58077302031231	0.573103616999531	1.2337338461895	0.00127540930676631	0.0406582557920583	TRUE	Up
CEBPG	0.713396215427555	1.63965946231616	0.38604166752261	1.09943788295017	0.00121574839033995	0.0394640503303398	TRUE	Up
COX7A2L	0.438821311785386	1.35549642836668	6.10853380852331	6.5473551203087	0.000134760703021324	0.0102681499389772	TRUE	Up
EMC3	0.447861543041949	1.36401692246115	4.33362783953117	4.78148938257311	0.000560409337404785	0.0232990182026039	TRUE	Up
HGF	0.42789633240063	1.34527053807245	-0.0300870211241906	0.397809311276439	0.00152733647913081	0.0461811011780826	TRUE	Up
HLA-DMB	0.4186512843338	1.33667736635644	2.11154914148823	2.53020042582203	0.000416978851035931	0.0198623391382738	TRUE	Up
IFI30	0.640764598995169	1.55915526093355	5.63639004415309	6.27715464314826	0.000104110561077674	0.008699488833857	TRUE	Up
MT1E	1.50071299640232	2.8298253112769	2.09625772610975	3.59697072251207	0.000509634176209397	0.0221092600444233	TRUE	Up
MT1X	1.75680972985594	3.37949980220346	3.99791079179131	5.75472052164725	0.000593458259702567	0.0241694959808662	TRUE	Up
NAB1	0.4387995307266	1.35547596394164	1.45446341541795	1.89326294614455	0.000315331361315168	0.0165143802559196	TRUE	Up
OXA1L	0.437392688233764	1.35415481729844	5.7165098259139	6.15390251414767	0.000166837691490589	0.0116413040957559	TRUE	Up
PCBP2	0.425982779364062	1.34348738917536	4.75293375806969	5.17891653743375	0.00140546495732895	0.0436876303558511	TRUE	Up
PI4K2B	0.459749019394337	1.37530254075888	-0.260026169160058	0.199722850234279	0.000267316704038851	0.0155074771680213	TRUE	Up
PTDSS1	0.566931757329	1.48136972429382	2.67106287027194	3.23799462760094	0.00114417627921855	0.0383859024545711	TRUE	Up
SHMT2	0.671977184764729	1.59325499613395	4.61807485125355	5.29005203601828	0.00164968130258931	0.0489896429679647	TRUE	Up
TXN	0.380020697538799	1.30136052519957	6.0742769998256	6.4542976973644	0.00164934350161828	0.0489896429679647	TRUE	Up
YES1	0.473383852273028	1.38836206598722	2.06782389354541	2.54120774581844	0.000809265495823173	0.0304711362917872	TRUE	Up
ZNF555	0.643937992063616	1.56258859786475	1.3659060609512	2.00984405301482	0.00166719958775274	0.0493629599008809	TRUE	Up
