,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,14.4070374877706,0.142872880171752,0.39157128889023,0.364870674192366,0.715207945973551,0.79268099250312
653635,224.089777371914,0.37647547895246,0.119201086742626,3.1583225391672,0.00158679887059762,0.00483336539993975
102466751,8.51872402657575,0.0150169603284141,0.525515865849189,0.0285756554735944,0.977203028271606,0.985978638051469
100996442,29.7441027958252,-0.194932807217801,0.291429915111236,-0.668883999583215,0.503569477640097,0.611615036060961
729737,107.289877501503,-0.311070404423736,0.158452822496357,-1.96317364072759,0.0496260010948177,0.0959742887050331
102725121,9.25906462898024,0.481303700229887,0.494971377474671,0.972386934140482,0.330858089571891,0.444435143666662
102723897,206.23761428012,0.390728469536371,0.124701475619003,3.13331071342053,0.00172846363009584,0.00519974349457063
112268260,8.0135365691659,-0.378591948957036,0.606490416891003,-0.624234016586408,0.532473910124023,0.639069491753205
100132287,77.8512467446417,-0.243074809508182,0.188863759552347,-1.28703786308358,0.198081091312919,0.297339382123029
113219467,3891.17658778073,-0.0441723520403405,0.0732291466534403,-0.603207248192961,0.54637082644694,0.652001540137542
100133331,80.8755880222675,-0.405476314544419,0.182854536757497,-2.21748019893083,0.0265902946863214,0.0567959224246874
107984841,20.274605875882,-0.377870388929641,0.330402370558483,-1.14366730568828,0.25276163718375,0.359777098595041
107984847,23.6287396081826,-0.100984970874832,0.323983630093837,-0.311697757215644,0.755270232588199,0.823206064278609
100288069,40.0829075771331,0.225098380032169,0.233118107662326,0.965598006475866,0.334245373255128,0.448083663043727
105378580,27.0113628210101,0.795707329066921,0.313965903252777,2.53437497773855,0.0112648116283421,0.0271998008740927
400728,13.9189781910534,1.35846178697028,0.427497322710154,3.17770829150041,0.00148444020645851,0.00455283043280088
79854,35.5529502954595,1.07479515636528,0.251667479265564,4.27069544107101,1.94864367713431e-05,9.06507404520133e-05
643837,279.962377840228,0.147865279399771,0.105291583810124,1.40434091737496,0.160217355386392,0.250765164240807
284600,117.375198295918,0.49916115734634,0.176259654425947,2.83196491546541,0.00462629245076945,0.0124132321018832
100130417,57.5968303914552,0.169575565437134,0.194742616226898,0.870767625097316,0.383881045729382,0.498256658900927
107985728,136.285088315389,0.367200552372581,0.132093653972986,2.77985006340786,0.00543840021388553,0.0143025897180587
148398,489.91528216192,0.0447541441546922,0.0827039537990675,0.541136694183015,0.588413367904381,0.688189281017979
26155,2890.61455143481,0.204377809307592,0.0598146954895778,3.41684944869783,0.000633503022795167,0.00212925891453547
339451,331.206753814078,0.47590755884576,0.109795751457314,4.33448063817644,1.46104646188818e-05,6.95721480457055e-05
84069,82.2198989587238,0.555613509406037,0.205070017428453,2.70938441598312,0.00674081875863615,0.0172748685727312
84808,15.8549165658211,0.0876529214952302,0.418513609516075,0.209438640708919,0.834105830645286,0.882857537208382
57801,246.964015923537,0.754031965021405,0.124329263126144,6.06479879363854,1.32118945051207e-09,1.17268775627451e-08
9636,305.966416994899,0.725409799937402,0.094375432353097,7.68642624304329,1.51301845009439e-14,2.3817352306727e-13
375790,1616.89229155955,-0.377889964123328,0.0866239671290465,-4.3624181233858,1.28632732129412e-05,6.20176062129638e-05
54991,198.568576971405,-0.0442682570790316,0.121258612825866,-0.365073094994114,0.715056843972084,0.792612494173739
7293,7.7113415335307,1.28071668278773,0.56055381772462,2.28473456480302,0.0223283965792981,0.0488927711947329
51150,1726.43438332149,0.11563073391734,0.0688243719803511,1.68008411250526,0.0929409515729057,0.161169070266897
126792,358.844331133485,0.139230902166596,0.0850846634177346,1.63638071273813,0.101759933230088,0.173446215525734
388581,7.12713879981242,0.817266864845936,0.617898614544899,1.32265527969807,0.185950041765371,0.281822346232294
118424,725.802542385735,0.1073794264185,0.0684335738192637,1.569104467671,0.116623598948889,0.194176109097314
101928895,26.0100215300006,0.751793292923325,0.321428044371766,2.33891630206914,0.0193397656250933,0.0433484241637193
6339,32.7015922312619,0.302969166657384,0.288029787949191,1.05186747806386,0.292860354783637,0.404611799993706
116983,279.854203895698,0.311740252741599,0.107942297632698,2.88802684006577,0.00387666791312544,0.0106447964104877
126789,232.034727298098,0.415384925245671,0.130062040810119,3.19374448269731,0.00140440362776976,0.00433280729929941
54973,941.59667767708,0.247295427435005,0.0768014090961996,3.21993346665358,0.00128220351495165,0.00399888910706635
80772,207.362505970931,0.161567238416132,0.120169216984611,1.34449772138253,0.178787492767652,0.273449978464192
83756,33.3296544897211,0.285557034111723,0.257561639506685,1.10869396024446,0.267562228314666,0.376457531666953
1855,1043.18307994326,0.110786964963027,0.0806337073121335,1.37395350723699,0.169456116605043,0.262037019335603
54587,53.1672031562795,0.450010506733537,0.228867023333467,1.96625315512518,0.0492693750961279,0.0954315271911034
54998,1384.45705909585,0.409742550925226,0.0657995752820712,6.22713063372721,4.75055007603716e-10,4.49529663911576e-09
81669,1746.19856140603,0.256784883589057,0.0528252543605659,4.86102502860351,1.16779486217131e-06,6.75486946668788e-06
148413,254.972548009272,0.0175515251315229,0.103070699178663,0.170286272154796,0.864785006821906,0.90559600289656
55052,923.82052167502,0.234755504006565,0.0612391473144699,3.83342215398705,0.000126372805196222,0.00049897020414665
107984868,12.8927711299725,2.86251398353069,0.483375646883077,5.92192428805396,3.1819612157726e-09,2.67580177652275e-08
441869,5.78178477931619,4.91928216374954,1.12547510790009,4.37084936771986,1.237641547854e-05,5.97677169681833e-05
102724312,8.18305115976387,0.956138579084729,0.606916851173301,1.57540291925707,0.115163471004047,0.192086999648956
107985729,10.2818515907039,0.23187941287864,0.524060482341034,0.44246689207095,0.658151383109669,0.746692871027215
64856,344.706574348287,0.267651040298968,0.10707070624557,2.49975973526411,0.0124277560466018,0.0296091162715441
