,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
400728,13.9189781910534,1.35846178697028,0.427497322710154,3.17770829150041,0.00148444020645851,0.00455283043280088
79854,35.5529502954595,1.07479515636528,0.251667479265564,4.27069544107101,1.94864367713431e-05,9.06507404520133e-05
7293,7.7113415335307,1.28071668278773,0.56055381772462,2.28473456480302,0.0223283965792981,0.0488927711947329
107984868,12.8927711299725,2.86251398353069,0.483375646883077,5.92192428805396,3.1819612157726e-09,2.67580177652275e-08
441869,5.78178477931619,4.91928216374954,1.12547510790009,4.37084936771986,1.237641547854e-05,5.97677169681833e-05
163688,16.0624953555789,1.22247496720004,0.406916454386527,3.00424068385994,0.00266244612716624,0.00763426645928849
107984913,26.7288590050895,1.17605476621062,0.296226247882201,3.97012342632884,7.18354093069792e-05,0.000299137270940065
110841581,6.030855912843,1.90340402089383,0.666849832893809,2.85432180830573,0.00431288188895176,0.0116782000141354
105376689,9.20886558276354,3.7668210829975,1.28525791480874,2.93079003023144,0.00338101220570887,0.00943261491053652
10747,56.968647514275,1.12620290338205,0.209228061164447,5.38265707340706,7.33942825945557e-08,5.10939335144531e-07
26270,14.2749848842011,1.19227390268403,0.404056438455336,2.95076080767816,0.00316992294880035,0.00890105539182282
101927441,50.3743313354896,1.46987161884926,0.246693269414533,5.95829639915856,2.54880931965958e-09,2.17113546269659e-08
284723,7.8868615693922,1.95077144528929,0.608600198067856,3.20534145648074,0.00134902342031088,0.00417938285468739
729614,79.5220031183595,1.21528541288274,0.176787640202315,6.87426684066808,6.23094785682145e-12,7.45865140580283e-11
101927479,30.2675026000228,1.85756705306352,0.298072581554413,6.23192862415099,4.60727400855591e-10,4.3690346260622e-09
11209,19.7852254284511,1.40218564554022,0.357762109870199,3.91932406159208,8.87976545954913e-05,0.000362793087313961
11223,12.2326811065442,1.17629501491028,0.42012331908967,2.79988032432738,0.00511215555229954,0.0135432615325869
105376830,7.39975626209405,-2.62013311201803,0.807617730507216,-3.24427388483965,0.0011775046492287,0.00370424641735033
100996511,37.8913719675766,-2.17210266759036,0.316775360737325,-6.8569179829346,7.03619993298287e-12,8.35495794048909e-11
105376859,11.1393549485515,1.54809134855891,0.47163793446193,3.28237242054131,0.00102937554160604,0.00328777880795078
101928728,40.0931329264657,1.36135391499825,0.243631150921711,5.58776621892542,2.30008993565003e-08,1.7367586787605e-07
2810,11.1655352491348,1.10891673233584,0.481421184164968,2.30342321611641,0.0212550427557991,0.0469186171351585
