,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
284600,117.375198295918,1.21483847685731,0.170032878352165,7.14472688241616,9.01750013899811e-13,5.35201144993295e-12
84069,82.2198989587238,1.48503875305512,0.194581834814579,7.6319495829107,2.31229872285623e-14,1.53299844521137e-13
107984868,12.8927711299725,-2.8313933285831,1.1207871219771,-2.52625433774474,0.0115285985349095,0.022034418732958
64856,344.706574348287,1.11910278784436,0.102596084658307,10.9078508363306,1.05726293249193e-27,1.38820499834296e-26
339456,116.684162246527,2.15088115426263,0.17506387430259,12.286265015162,1.0735248687844e-34,1.81152219302859e-33
85452,5.54627171222,-4.6378493803918,1.29003193185779,-3.59514308588686,0.000324213335380627,0.000805970470477089
107984872,4.57896806354774,-2.98260027430607,0.997641908049956,-2.98965014424466,0.00279297143830733,0.00595923425154228
2563,18.5401150949335,1.10914857474986,0.388977108081952,2.85144948559846,0.00435204006075492,0.00899806838557201
79906,94.7385741213191,-1.25866719358721,0.183418178618321,-6.86228160735584,6.77692986893112e-12,3.77365304370343e-11
100129534,9.84305517473293,-3.17390939570038,0.699145371657679,-4.53969878707058,5.63346472176093e-06,1.78230735592051e-05
8764,43.5490869358446,-1.38878645237655,0.268769556567202,-5.16720148708251,2.37625057709261e-07,8.74082060599836e-07
440556,12.2338893730471,7.02399698180592,1.22777270101916,5.72092617467012,1.05944927629008e-08,4.48755513068517e-08
63976,79.1741705641992,10.0446839618882,1.18708007459373,8.46167345983459,2.63567663896617e-17,2.0897066411312e-16
105378606,4.84297274496418,6.10829474527184,1.31580572378898,4.64224667429052,3.44641056775708e-06,1.11950009878909e-05
105378605,3.5550219735753,6.02354898160607,1.33315164404892,4.51827742814907,6.23447623668693e-06,1.95814618106275e-05
105378604,15.5826732374993,5.4542165947375,0.881479860438346,6.18756802001716,6.10994855636757e-10,2.90398411707195e-09
7161,206.071306737832,1.95922110176424,0.129822546458706,15.091531904186,1.84117413391169e-51,4.87828704853735e-50
105378610,5.83016801783487,2.55552194147979,0.84134804369368,3.03741354203494,0.00238617845212021,0.00515384531289385
26038,388.08298032843,3.78306522350627,0.136755855380402,27.6629122240012,1.9518014439852e-168,2.422963582771e-166
107985733,63.0268225345131,1.60706215952088,0.226492054195344,7.09544608631097,1.28934912201605e-12,7.54475258296205e-12
102724450,44.2469077327936,1.3149764008746,0.255980860757364,5.13701062252862,2.79143183062368e-07,1.01940954242402e-06
148645,17.2693190446709,-1.02240273709172,0.425544164540396,-2.4025772699667,0.016279994744711,0.0302747189092928
83715,13.7173818595177,-4.98602943077451,1.0707874633974,-4.65641371533696,3.21765039161605e-06,1.04903084943927e-05
105376689,9.20886558276354,4.82141256527428,1.26123715748777,3.82276444731295,0.00013196383029122,0.000347209413862419
54206,356.524660365795,-2.06868210224348,0.117992568856546,-17.5323083673055,8.1204787473062e-69,3.05412582038516e-67
50651,13.9193645528887,1.83143415286877,0.484556398450639,3.77960988385407,0.000157074263898353,0.000409333871509624
80045,216.678676628507,1.02387480767244,0.120440918068323,8.50105449288939,1.87876144686131e-17,1.50165570484836e-16
9563,385.939951029563,-1.47907141225728,0.100862601471857,-14.6642203420657,1.09265007343492e-48,2.72809059122598e-47
644997,5.53228113533479,1.94605864242399,0.865457396955669,2.24858976221065,0.0245386083700588,0.0439920597642177
54897,428.83601085266,-3.19821716370901,0.109848539823753,-29.1147899538801,2.33290991810667e-186,3.69766222019907e-184
26232,187.347513642199,-1.16243775732737,0.130019564322633,-8.94048340635013,3.87471638214119e-19,3.37838728957615e-18
943,5.09623466754963,2.84913070247305,0.828454874611532,3.43908979207712,0.000583673604669689,0.00139528330596503
9249,39.4560778336866,-5.63880206474849,0.748997896052955,-7.52846182140653,5.13415245469613e-14,3.33485087361016e-13
390999,11.1116110899856,-6.80703865329909,1.24327633010355,-5.4750810326552,4.37311450038642e-08,1.73711185076885e-07
649324,4.38547023388361,-5.4321732990371,1.30587971223417,-4.15978075786433,3.1855322640217e-05,9.14301839141685e-05
645354,4.38547023388361,-5.4321732990371,1.30587971223417,-4.15978075786433,3.1855322640217e-05,9.14301839141685e-05
23254,123.574216247686,4.02229313784902,0.225368881676024,17.847597715958,3.01739575787309e-71,1.18768978921869e-69
