Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000164171,3673,ITGA2,1.80882915664745
,107986348,,-1.20368565841404
,101929599,LOC101929599,-1.02869209711302
ENSG00000146006,26045,LRRTM2,-1.37555661888563
,100505636,MALINC1,1.2056234704829
ENSG00000182700,492311,IGIP,1.40739828129955
ENSG00000291674,56132,PCDHB3,1.2725333496558
ENSG00000113555,51294,PCDH12,1.1893540852481
ENSG00000164591,91977,MYOZ3,2.52764219896654
ENSG00000245275,386627,SAP30L-AS1,-1.77474329934396
ENSG00000120129,1843,DUSP1,1.15919031114772
,107986515,,-1.28595881408375
ENSG00000007944,29116,MYLIP,1.07581108039039
ENSG00000275714,8350,H3C1,-1.84855553590171
ENSG00000278705,8366,H4C2,-2.02510239925562
ENSG00000286522,8358,H3C2,-1.10262570375599
ENSG00000278463,8335,H2AC4,-1.82774827009345
ENSG00000187837,3006,H1-2,-1.76372604844172
ENSG00000180596,8347,H2BC4,-1.04593271532732
ENSG00000180573,8334,H2AC6,-1.62796170537648
ENSG00000168298,3008,H1-4,-1.24835691898117
ENSG00000158373,3017,H2BC5,-1.18846347912362
ENSG00000274290,8344,H2BC6,-1.40448388102937
ENSG00000197409,8351,H3C4,-1.45279352208854
ENSG00000196866,3013,H2AC7,-1.65610929876138
ENSG00000277224,8343,H2BC7,-1.75018246689471
ENSG00000273802,8339,H2BC8,-2.07241628234168
ENSG00000277075,3012,H2AC8,-1.20949001524246
ENSG00000124575,3007,H1-3,-3.13484192938974
ENSG00000277775,8968,H3C7,-1.48209962920591
ENSG00000275713,8345,H2BC9,-1.54681356055333
ENSG00000273983,8355,H3C8,-2.3021124538541
ENSG00000278588,8346,H2BC10,-1.54265198917132
ENSG00000124635,8970,H2BC11,-2.75507566217868
ENSG00000196787,8969,H2AC11,-1.56396933734729
ENSG00000197903,85236,H2BC12,-1.08318576243861
ENSG00000276180,8294,H4C9,-2.49083260764929
ENSG00000274997,85235,H2AC12,-1.27497702027825
ENSG00000185130,8340,H2BC13,-1.12318202945179
ENSG00000196747,8329,H2AC13,-1.46775327160053
ENSG00000278828,8357,H3C10,-1.63290197191431
ENSG00000276368,8331,H2AC14,-1.39942864405259
ENSG00000273703,8342,H2BC14,-1.86088107432263
ENSG00000197238,8363,H4C11,-1.30545164764221
ENSG00000273542,8362,H4C12,-1.33830931493982
ENSG00000275221,8330,H2AC15,-1.78741632892956
ENSG00000233822,8341,H2BC15,-1.1082505421579
ENSG00000276903,8332,H2AC16,-2.46952396310357
ENSG00000184357,3009,H1-5,-1.4459651323849
ENSG00000275379,8354,H3C11,-2.38053616461176
ENSG00000278677,8336,H2AC17,-1.31844287296591
ENSG00000274641,8348,H2BC17,-1.72842167720245
ENSG00000226314,651302,ZKSCAN8P1,1.89245789719943
ENSG00000229680,7932,OR2H2,1.27537391520423
,105375061,LOC105375061,-2.71814147926554
ENSG00000146221,202500,DRC5,1.02571388273378
ENSG00000146166,51557,LGSN,4.09697315070165
,100861530,UFL1-AS1,1.21546612731619
,112267965,,1.80362245822673
,105378027,LOC105378027,-1.30861358015722
ENSG00000049618,57492,ARID1B,-1.05500558150748
,105378077,,-1.90899455484768
ENSG00000146453,154197,PNLDC1,2.12518568123962
,729603,CHP1P2,-1.53601780150869
,100127955,LOC100127955,-2.25789369786615
ENSG00000106113,1395,CRHR2,1.30732001440848
ENSG00000223770,101927356,CACNA2D1-AS1,-2.42640964736632
ENSG00000242950,30816,ERVW-1,1.58276806484551
ENSG00000181016,286006,LSMEM1,2.53205555095107
,105375492,,-1.86332848716983
ENSG00000279078,27099,SND1-IT1,-1.2588338729115
ENSG00000128594,64101,LRRC4,-2.19571921777989
ENSG00000204947,155054,ZNF425,1.34407266400501
,100131395,LOC100131395,-1.43384323698549
,100507071,PIWIL2-DT,1.62552236369047
,107986924,LOC107986924,1.54294342835867
ENSG00000147437,2796,GNRH1,1.05598365817804
ENSG00000246145,100505676,RRS1-DT,1.83174792456124
ENSG00000137571,81796,SLCO5A1,-4.72611906406801
,112268030,LOC112268030,2.08890272153385
ENSG00000245149,101927612,RNF139-DT,1.46955980551079
ENSG00000280055,641384,LINC02912,-1.56600492483565
ENSG00000280543,100507117,ASAP1-IT2,-3.5504717959265
ENSG00000188921,401494,HACD4,-1.2960748136766
,112268043,,3.07800152078145
,107987057,,2.57152766395951
ENSG00000174038,138724,SPATA31G1,1.2113152413788
ENSG00000225434,100507540,LINC01504,3.51096118907695
,107987097,LOC107987097,1.32920426060874
,107987098,,-1.34708128759576
ENSG00000276559,570,BAAT,1.62841211516472
ENSG00000136872,229,ALDOB,3.76191988292899
ENSG00000165181,158401,SHOC1,1.80507650799452
ENSG00000165188,138065,RNF183,3.5418864137404
,105376241,,-3.09569615009918
,105376266,LOC105376266,-1.45456014436942
ENSG00000148200,2649,NR6A1,-1.45494689394174
,102723468,,-1.53294003356318
ENSG00000148411,138151,NACC2,-1.09894933124751
ENSG00000293104,651337,LOC651337,-2.87829682505833
,105376411,LOC105376411,-1.1301650299979
,102725112,LOC102725112,-2.60441024079981
,107984214,LOC107984214,-1.72291566528707
ENSG00000230445,387646,LRRC37A6P,3.5083334004898
,101929256,LOC101929256,2.34065096997776
ENSG00000099250,8829,NRP1,-3.63583568310517
,107984224,,1.70494882895249
,107984029,,-1.87249126389428
,107984275,LOC107984275,2.27353318646387
,105378560,LOC105378560,-1.84473224142155
ENSG00000276561,3665,IRF7,-1.00186580650606
ENSG00000207008,677833,SNORA54,1.2409226104357
ENSG00000158077,338323,NLRP14,1.74283555570008
ENSG00000148926,133,ADM,1.37142662366398
,107984317,LOC107984317,-1.30575296262684
,105376652,LOC105376652,2.22356801117323
ENSG00000162188,2785,GNG3,1.08007109841954
ENSG00000167800,347853,TBX10,2.05849944513169
ENSG00000149243,283212,KLHL35,3.3918543372042
,105369403,LOC105369403,-1.9627541137431
,101929043,DLG2-AS2,-2.91804564742739
ENSG00000285516,10003,NAALAD2,1.6303465380769
ENSG00000214376,387804,VSTM5,1.94861605562636
,105369487,,1.333619564262
,107984391,LOC107984391,3.97762900603827
ENSG00000019102,23584,VSIG2,1.30698816813152
ENSG00000118972,8074,FGF23,2.35200785053317
,10748,KLRA1P,1.3401205931585
ENSG00000299726,105369667,LOC105369667,-1.33947520593463
ENSG00000197837,121504,H4C16,-1.22811931133925
ENSG00000257176,100506606,FAR2-AS1,3.12793364967038
ENSG00000172602,27289,RND1,1.95930252478211
,105369801,LOC105369801,-1.87630776858326
,105369816,LOC105369816,1.23375431882107
ENSG00000139289,22822,PHLDA1,3.33702490968079
ENSG00000133639,694,BTG1,1.27169285714243
,112268100,,-1.86991695370072
,105370114,,-1.00012747179128
ENSG00000236051,100874212,MYCBP2-AS1,-1.0856054577743
,107984617,,1.48027875243518
,100861541,DOCK9-DT,1.68338558921105
ENSG00000228889,100289373,UBAC2-AS1,1.36277477884254
ENSG00000175820,643677,LRTM3,1.52153840292056
ENSG00000215277,100507650,RNF212B,2.08626582196145
,107984700,LINC02306,-3.54944620123168
ENSG00000258926,105370525,PRKCH-AS2,-3.54988504168012
ENSG00000126803,3306,HSPA2,2.8687645593123
ENSG00000307479,105370538,LOC105370538,-3.06753706335764
,101927971,LOC101927971,-2.12720244616913
ENSG00000100652,6554,SLC10A1,1.34566607052921
ENSG00000134007,8748,ADAM20,1.0222105293503
ENSG00000119608,283571,PROX2,3.26609302792722
ENSG00000170345,2353,FOS,2.04310861197266
,101928462,TSHR-AS1,1.90827711409572
ENSG00000276781,1113,CHGA,-1.25953395821676
,112268122,,1.20197960162516
,105370774,LOC105370774,1.72429231419284
,105370910,LOC105370910,1.49072426246291
,105371026,LRRK1-AS1,-1.66840783427653
ENSG00000103269,9028,RHBDL1,1.16719051159785
,105371082,LOC105371082,2.26904040783602
ENSG00000185338,8651,SOCS1,1.9018155218992
ENSG00000103490,29108,PYCARD,2.56555656320741
ENSG00000261359,100652740,PYCARD-AS1,1.94656411643983
ENSG00000140795,91807,MYLK3,1.57949770087827
,105371271,LOC105371271,-1.61780915003274
,100189089,TRL-CAG2-2,2.43651693074648
,101927978,ZFHX3-AS1,-2.07204315022169
,107984830,LOC107984830,-1.02808679960366
ENSG00000260279,105371414,LOC105371414,-1.91149627352161
,101930112,LOC101930112,1.12646271805313
ENSG00000185245,2811,GP1BA,1.40879289657102
ENSG00000288511,339168,TMEM95,2.31133616536362
ENSG00000262966,101928266,LOC101928266,-2.27097702539543
ENSG00000284162,100616122,MIR4523,-1.08143570406189
,107984990,SSH2-AS1,-3.0470073197085
ENSG00000131480,314,AOC2,1.08750419889775
ENSG00000131471,8639,AOC3,1.66022264606376
ENSG00000175906,379,ARL4D,1.30035777358411
ENSG00000108511,3216,HOXB6,1.02033581463577
ENSG00000167117,55018,ANKRD40CL,3.506302081221
