Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000225217,3311,HSPA7,1.76622226633261
,102724329,ATF6-DT,3.07533519375899
,107985224,LOC107985224,4.00528560523875
ENSG00000143199,55811,ADCY10,1.64100656349959
,105371605,,1.48382722006791
ENSG00000034971,4653,MYOC,-1.31279852292166
,100628315,DNM3OS,-1.00845169087272
ENSG00000224977,105371620,RC3H1-DT,3.32504693147026
,105371629,LOC105371629,-1.77702489622061
ENSG00000307581,107985229,LINC02818,4.89371508691382
,101928933,LOC101928933,1.82709025498233
ENSG00000121454,89884,LHX4,-1.95066777464047
,100527964,LHX4-AS1,-1.32308485497032
,105371637,LOC105371637,-1.37483428471098
ENSG00000162783,51278,IER5,1.88510644401514
ENSG00000143333,6004,RGS16,1.34583651488261
ENSG00000261504,284648,LINC01686,1.0523874658336
ENSG00000116701,4688,NCF2,-1.06667131608008
ENSG00000173627,403314,APOBEC4,1.14816224990418
ENSG00000143341,83872,HMCN1,-1.73014149530875
ENSG00000253148,431704,RGS21,-1.59022576274491
ENSG00000162687,343450,KCNT2,-1.0442573439183
ENSG00000000971,3075,CFH,-1.02455501630129
ENSG00000116785,10878,CFHR3,-1.15861524145101
ENSG00000244414,3078,CFHR1,-1.02780634777861
ENSG00000213047,163486,DENND1B,-1.14552280072643
ENSG00000143858,127833,SYT2,-1.3777989697234
ENSG00000293264,148709,ACTG1P25,1.51607389141698
ENSG00000159388,7832,BTG2,2.04165015720759
ENSG00000182795,79098,C1orf116,4.65210985138832
,148696,LOC148696,-2.10158793720365
ENSG00000009790,80342,TRAF3IP3,1.11396523895072
ENSG00000162772,467,ATF3,2.91585438124094
ENSG00000162771,149647,GARIN4,5.93819229793973
ENSG00000196482,2104,ESRRG,-1.00964786492399
ENSG00000231814,100885798,LINC00210,-1.84987086421861
ENSG00000197520,400823,FAM177B,3.12183577612061
ENSG00000143786,149111,CNIH3,1.22416682557384
ENSG00000198835,57165,GJC2,1.89842077202904
ENSG00000181218,92815,H2AC25,-1.08598056937903
ENSG00000196890,128312,H2BC26,-1.18086540466984
,112268256,,-1.36293085215365
,105379283,LOC105379283,1.66495780473678
ENSG00000207181,677802,SNORA14B,1.29840614109278
,112268258,,1.52983592035435
,107985725,LOC107985725,-2.36984330795168
,105373269,,-1.30997675408144
,107985599,,-1.79601182763531
,400812,FLJ39095,1.352562854403
,102724562,LOC102724562,1.62570053925003
ENSG00000189292,285016,ALKAL2,2.21396647081887
,107985840,LOC107985840,-1.62728103200769
ENSG00000115738,3398,ID2,1.20785803874716
,101929643,LOC101929643,1.06232169702888
ENSG00000206633,100302743,SNORA80B,1.55842785776792
,105373449,LOC105373449,-1.00634603490496
ENSG00000143878,388,RHOB,1.77666396641136
,101929272,DTNB-AS1,-1.98462750228213
ENSG00000173567,165082,ADGRF3,1.15217284658066
ENSG00000115226,64838,FNDC4,1.17737379598857
,100302650,BABAM2-AS1,1.25054568567145
ENSG00000207187,109616960,SNORA10B,1.16999652686358
,105374454,RASGRP3-AS1,3.18315614273565
,107985871,LOC107985871,-1.24464158504969
,100128590,SLC8A1-AS1,-1.45757452138404
,105374473,LOC105374473,-1.44992312560539
,105374497,LOC105374497,-1.21802163918483
ENSG00000233128,101929700,LINC01794,-2.32727873405968
ENSG00000224875,102723824,EML4-AS1,1.85357833717877
ENSG00000250116,100506142,RHOQ-AS1,-1.28962404926049
,105374584,LOC105374584,1.57030364988026
ENSG00000239605,285051,STPG4,6.29842268779315
ENSG00000233230,100506235,LOC100506235,1.95791567035832
,105374590,LOC105374590,3.83148574674885
ENSG00000293422,344405,PRORSD1P,-1.15383929052807
ENSG00000270820,105377633,USP34-DT,1.90071117147154
,105374775,SERTAD2-AS1,1.14951956727927
ENSG00000234255,105374780,LOC105374780,1.23990205918566
ENSG00000214513,344022,NOTO,3.05116064314149
ENSG00000135625,1961,EGR4,2.87065956226256
ENSG00000144045,165545,DQX1,1.23891285391236
ENSG00000286532,100630918,PARTICL,1.26926820081036
ENSG00000228363,105374845,CHMP3-AS1,1.53097087844026
ENSG00000280721,101928173,LINC01943,1.26229771370183
,101928214,LOC101928214,-1.94592182800907
ENSG00000287670,105374852,LOC105374852,-1.10917962489318
ENSG00000188886,431705,ASTL,2.02945051450416
ENSG00000158050,1844,DUSP2,1.3628855169587
ENSG00000075568,23505,TMEM131,-1.00005223224562
,107985921,,-1.06565875801953
ENSG00000196872,343990,CRACDL,-1.32216063014674
,107985930,,-1.56810165768704
,101927283,LOC101927283,-1.17662547018007
,105373557,SOCAR,1.43146157279651
,107985939,LOC107985939,1.62290646576331
ENSG00000088179,5775,PTPN4,-1.00834337626659
,105373582,LOC105373582,-1.11132310344838
,107985942,CLASP1-AS1,1.60288307945585
ENSG00000136731,56886,UGGT1,-1.01847781059919
,105373618,LOC105373618,1.82557689043579
ENSG00000115850,3938,LCT,1.69125602998321
ENSG00000231969,101929231,MMADHC-DT,1.55043544199534
ENSG00000182389,785,CACNB4,-1.12952591790847
,105373689,LOC105373689,3.27811833429612
ENSG00000153234,4929,NR4A2,2.30293944057767
,105373715,LOC105373715,-2.55994149923452
,107985780,,-3.05023191287195
ENSG00000204380,100129029,PKP4-AS1,-1.24081061585789
,105373716,LOC105373716,-1.87034849460258
ENSG00000136535,10716,TBR1,1.47397438803011
ENSG00000169507,151258,SLC38A11,-1.53427503430121
ENSG00000178662,80034,CSRNP3,-1.27932382947079
ENSG00000136546,6332,SCN7A,-1.06451896075784
,102724081,LOC102724081,2.10628284043152
ENSG00000284252,100616394,MIR4444-1,1.02953106192489
ENSG00000204311,494513,PJVK,1.32948723162681
ENSG00000188738,401024,FSIP2,-1.5525002656546
,107985783,,-1.0648501446587
ENSG00000138448,3685,ITGAV,-1.09704617026762
,105373796,LOC105373796,-1.76018455690569
ENSG00000151689,3628,INPP1,2.84224731329786
ENSG00000118997,56171,DNAH7,-1.0742197205141
ENSG00000197121,80055,PGAP1,-1.06654658841556
ENSG00000283482,619569,SNORA41,1.76952055523218
