gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
1376	3788.8867334183856	4.450160395897294	0.2332796818010109	3.2739311848956465e-82	1.5250153344309748e-79	1376	CPT2	ENSG00000157184	carnitine palmitoyltransferase 2
1838	1062.354833318833	6.005217745554681	0.31566335205529966	1.172267143699494e-81	5.312904792620761e-79	1838	DTNB	ENSG00000138101	dystrobrevin beta
105	53650.855241693884	5.060123228280558	0.26911767662613695	3.9125902046852e-80	1.7265848721675296e-77	105	ADARB2	ENSG00000185736	adenosine deaminase RNA specific B2 (inactive)
1896	5687.341063964208	4.9536400101512195	0.26597736268546257	1.539120742638863e-78	6.617824547002845e-76	1896	EDA	ENSG00000158813	ectodysplasin A
3444	2275.7040681267376	4.704762577300986	0.25469171659782175	2.9205867273100736e-77	1.2243829707565656e-74	3444	IFNA7	ENSG00000214042	interferon alpha 7
8308	786.4184927092539	6.7771563310327885	0.3663178683988434	5.114791991913527e-77	2.0919499246926325e-74	8308	NA	NA	NA
3368	1309.8687295668153	5.363480209689274	0.2908588257271582	5.749740212645724e-77	2.295652229187051e-74	3368	NA	NA	NA
1449	2940.3597401966554	4.613239725691535	0.2514116518709908	2.8383092930819905e-76	1.106874617109114e-73	1449	NA	NA	NA
3423	2273.36180044867	4.323595980260968	0.2367863446264099	1.5048980251201354e-75	5.735371587099898e-73	3423	IDS	ENSG00000010404	iduronate 2-sulfatase
2263	2116.3855306403307	4.905718008514222	0.2688621608622477	1.8864593925583502e-75	7.029786123069106e-73	2263	FGFR2	ENSG00000066468	fibroblast growth factor receptor 2
2111	1995.959072897494	4.361814833293899	0.23918135899150114	2.2735645229838053e-75	8.288131192590311e-73	2111	NA	NA	NA
8364	790.8483967591234	5.448969800834187	0.2991726472063738	4.2852899966784254e-75	1.5289367649851173e-72	8364	H4C3	ENSG00000197061	H4 clustered histone 3
953	4018.316440679631	6.1096349575633795	0.3390861551297307	1.1076045339719884e-73	3.869462589620057e-71	953	ENTPD1	ENSG00000138185	ectonucleoside triphosphate diphosphohydrolase 1
624	8501.061649152065	5.455900920352265	0.3050813018082694	1.3727233730424895e-72	4.697795559703981e-70	624	BDKRB2	ENSG00000168398	bradykinin receptor B2
