gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
40	27560.05861309561	-0.899534881477015	0.24561719863989015	1.4524767170122718e-4	4.800272382258334e-4	40	ASIC2	ENSG00000108684	acid sensing ion channel subunit 2
41	47979.766676075145	0.4259555414489052	0.21370354035078903	0.045098256165817786	0.08075308677465012	41	ASIC1	ENSG00000110881	acid sensing ion channel subunit 1
42	22056.81616162859	2.991590285526519	0.23009620203581696	1.4425174088243741e-39	1.0896204697556725e-37	42	NA	NA	NA
43	1968.1242158274206	0.1686851790210586	0.2672143803331179	0.515055748387637	0.6099682731273268	43	ACHE	ENSG00000087085	acetylcholinesterase (Cartwright blood group)
44	36233.51244516346	-0.6838211310821581	0.25315197615097373	0.005069436029692266	0.012020740338064384	44	NA	NA	NA
45	32338.10251160138	-0.5652087308801736	0.2424621486098668	0.015014052428486073	0.03110968060957407	45	NA	NA	NA
46	21082.427951287733	1.2402775052167303	0.27322139201211226	2.844964663072985e-6	1.257438387851104e-5	46	ACLS	NA	acrocallosal syndrome
47	12.01031392792062	0.4503946767060606	0.7423882623892368	0.398191972902882	0.4981558634443769	47	ACLY	ENSG00000131473	ATP citrate lyase
48	20214.95264663925	0.12820234274595815	0.22445990238939922	0.5605136692028205	0.650782643416333	48	ACO1	ENSG00000122729	aconitase 1
49	39422.48127162173	-1.8915175331757395	0.28231992239998893	5.086572975752786e-12	4.821749136822977e-11	49	ACR	ENSG00000100312	acrosin
50	10397.738691644136	1.4073346075028303	0.22787661003758664	2.467661974569741e-10	1.869870024923632e-9	50	ACO2	ENSG00000100412	aconitase 2
51	14980.983087034889	3.2448730562883568	0.308118096910489	6.851753228036751e-27	2.4596246537269806e-25	51	ACOX1	ENSG00000161533	acyl-CoA oxidase 1
52	82195.92953744708	-1.7313787101986784	0.21683948265577255	3.3933057487568857e-16	5.026708842836062e-15	52	ACP1	ENSG00000143727	acid phosphatase 1
53	4.6500382328265	0.598117253282127	1.046049574568953	0.2340203872462557	0.32232343932094143	53	ACP2	ENSG00000134575	acid phosphatase 2, lysosomal
54	35679.727811404126	1.4162740113761318	0.23423903239062227	5.542992412462927e-10	4.0448407208264065e-9	54	ACP5	ENSG00000102575	acid phosphatase 5, tartrate resistant
55	21646.558653271713	-0.1633165447331192	0.2241329357515535	0.44744797817649573	0.5464861723264135	55	ACP3	ENSG00000014257	acid phosphatase 3
56	1676.3066352136113	0.13290434979605908	0.23905498146166404	0.5708511205869878	0.6604983399657214	56	ACRV1	ENSG00000134940	acrosomal vesicle protein 1
57	10081.62384803604	1.3063076637700128	0.2327878057338079	8.100374117072386e-9	5.120059312822723e-8	57	NA	NA	NA
58	19623.07196109867	0.5487343588095022	0.23532208844050354	0.01641513373314346	0.033642798529831666	58	ACTA1	ENSG00000143632	actin alpha 1, skeletal muscle
59	28551.036217835255	1.7623046967821663	0.3105102540159153	3.48127080687205e-9	2.3028572055399372e-8	59	ACTA2	ENSG00000107796	actin alpha 2, smooth muscle
60	15796.162582737554	2.787927494572467	0.2983356384939376	1.221252514271402e-21	2.8803352196648575e-20	60	ACTB	ENSG00000075624	actin beta
61	4393.844266655775	-0.002291346846026898	0.22173028938114728	0.9891725460869913	0.9929084929486167	61	NA	NA	NA
62	17494.28385902797	-0.7782728102854921	0.24656172685208666	0.001093764979278022	0.0030116672517341053	62	ACTBP2	NA	ACTB pseudogene 2
63	23953.2450804702	0.567340395479606	0.24884371438348007	0.0183680875472005	0.03712359407966797	63	ACTBP3	NA	ACTB pseudogene 3
64	17045.22524910275	0.01716513513137726	0.2462193792104337	0.9434640232526533	0.9608176004017908	64	ACTBP4	NA	ACTB pseudogene 4
65	8511.777833928929	1.3238640048209953	0.2332692677268507	5.837134278484766e-9	3.75605927536113e-8	65	NA	NA	NA
66	17482.655406721322	-0.49652502778166896	0.21393498200799602	0.017295082983208646	0.03519248228921561	66	ACTBP6	NA	ACTB pseudogene 6
