"Sample","Total_Counts_Log10","Genes_Detected","Genes_Detected_Percent","Median_Log2_Expression","Mean_Log2_Expression","Potential_Outlier"
"H_0_1",7.26690412057048,20357,90.693219281832,6.04439411935845,5.90750966964922,FALSE
"H_0_2",7.25238383663035,20428,91.0095339926936,5.97727992349992,5.87704918755482,FALSE
"H_40_1",7.21365500954924,19748,87.9800409872583,5.61470984411521,5.61301440087953,FALSE
"H_40_2",7.23156383026348,19743,87.9577653033948,5.6724253419715,5.65266718907871,FALSE
"He_0_1",7.22939637327969,19537,87.0400071282188,5.64385618977472,5.62472032561504,FALSE
"He_0_2",7.23653592635859,19560,87.1424752739909,5.49185309632967,5.56309945307201,FALSE
"He_40_1",7.26022656088167,19448,86.6434999554486,5.39231742277876,5.51602192353707,FALSE
"He_40_2",7.26285204554851,19454,86.6702307760848,5.39231742277876,5.50780710738489,FALSE
