GeneID	log2FC	FC	Control_Mean	Treat_Mean	PValue	AdjPValue	Significant	Direction
A2M	0.506181178210384	1.42028571131998	2.08787623010401	2.59405740831439	0.0446256958729172	0.437711158327454	FALSE	NS
A2ML1	-0.0179240516999788	0.987652853431714	-0.196867292953805	-0.214791344653784	0.945988950678625	0.988488611359443	FALSE	NS
AAAS	0.224793626796481	1.16861007043476	3.88286283090673	4.10765645770321	0.288853464688709	0.720163960825585	FALSE	NS
AACS	-0.322124732209536	0.79989096854622	1.53822422377237	1.21609949156284	0.080364201315847	0.491763964485559	FALSE	NS
AAGAB	-0.00996943191159216	0.993113537486772	2.99898973148646	2.98902029957487	0.962911338066578	0.990718157060726	FALSE	NS
AAK1	0.235150196050428	1.1770292689669	0.206210313003915	0.441360509054343	0.356754085166483	0.758626565859813	FALSE	NS
AAMDC	-0.108294362475984	0.927684175708664	5.60889312002184	5.50059875754585	0.516649583728238	0.845580279352146	FALSE	NS
AAMP	-0.0890798222062106	0.940122185484832	1.82827589952903	1.73919607732282	0.728773397817736	0.929172113905619	FALSE	NS
AAR2	0.337778438103355	1.2638089940771	1.91837557728902	2.25615401539237	0.0739738013609477	0.476247574100208	FALSE	NS
AARD	-0.234645175507046	0.849894001123433	0.388664775064699	0.154019599557653	0.325619980545721	0.741895154941116	FALSE	NS
AARS1	0.255551570911031	1.19379206616555	3.11071973062177	3.3662713015328	0.233595855583587	0.675264903700729	FALSE	NS
AARS2	0.151144224387578	1.11044983833747	-0.865486503460049	-0.714342279072471	0.0554289662888369	0.450704574268116	FALSE	NS
AASDH	-0.0428134380437648	0.970759995379073	1.42022125307954	1.37740781503577	0.859567660587356	0.967482818127262	FALSE	NS
AASDHPPT	-0.152596791733455	0.899629707931336	4.21383912372005	4.0612423319866	0.330686215518248	0.743598648698486	FALSE	NS
AASS	-0.0685359009675627	0.953605260213479	0.465240741928946	0.396704840961383	0.693160099937682	0.917044746377378	FALSE	NS
AATF	0.417963655496455	1.33604042031542	1.49970948916532	1.91767314466177	0.182042434267117	0.62774701478222	FALSE	NS
ABAT	-0.0280916465621703	0.980716702416477	1.52468773693202	1.49659609036985	0.943407546687764	0.988488611359443	FALSE	NS
ABCA1	-0.368202626899889	0.774747109880978	5.00968866247933	4.64148603557944	0.259639421289074	0.69522497244731	FALSE	NS
ABCA11P	-0.0490258888512681	0.966588751682723	-0.00409459363566713	-0.0531204824869352	0.737531627283632	0.930080264803873	FALSE	NS
ABCA5	0.451169237939118	1.36714781827175	2.36958345592545	2.82075269386457	0.0578147818748462	0.450704574268116	FALSE	NS
ABCA8	-0.0914188176397044	0.938599230277672	0.141479023087518	0.050060205447814	0.669874299471008	0.90700278124291	FALSE	NS
ABCB6	-0.223573200204364	0.856441612541643	1.32402081159117	1.1004476113868	0.445122429107433	0.809298760501816	FALSE	NS
ABCB7	0.256086652887166	1.19423491449628	3.5393940896539	3.79548074254107	0.0280903376086104	0.403622811075879	FALSE	NS
ABCB8	0.0890641730568145	1.06367998578753	-0.509234141992253	-0.420169968935439	0.406709989863721	0.787079708034367	FALSE	NS
ABCC1	0.111046453115434	1.08001133439165	0.423027564438605	0.534074017554039	0.446945284595867	0.810383560266579	FALSE	NS
ABCC4	-0.210293596004926	0.864361311349416	0.881798746067265	0.671505150062339	0.345207663254427	0.751002215497149	FALSE	NS
ABCC5	0.174498643037537	1.12857214184611	1.90871821756823	2.08321686060577	0.216537221870278	0.66283279067011	FALSE	NS
ABCD3	0.204133525224341	1.15199425751701	2.28491143391813	2.48904495914247	0.45187804180973	0.812441247615719	FALSE	NS
ABCD4	-0.325190630378544	0.798192910240373	1.13797219926952	0.812781568890979	0.149063729877515	0.585284061398141	FALSE	NS
ABCE1	-0.0983924580907378	0.934073215243422	3.8414569784307	3.74306452033996	0.562129244703406	0.86460103973911	FALSE	NS
ABCF1	0.218929926711038	1.16387000257984	1.48526300663252	1.70419293334356	0.18994707590139	0.6360493037393	FALSE	NS
ABCF2	0.470373995902873	1.38546858240893	2.91693327704275	3.38730727294563	0.152819748711527	0.590921877273855	FALSE	NS
ABCF3	0.327971199860185	1.25524693286975	1.52254633735177	1.85051753721195	0.0722986282501648	0.472252358242121	FALSE	NS
ABCG1	-0.237866071882594	0.847998682305649	1.05731839234987	0.819452320467272	0.12447296373503	0.55248720291287	FALSE	NS
ABCG2	0.252062028964086	1.19090805159596	1.24330808660418	1.49537011556826	0.314578456306403	0.736393195242902	FALSE	NS
ABHD10	-0.0923048690922283	0.938022953340329	2.78576925580804	2.69346438671581	0.684740727417449	0.913903555132599	FALSE	NS
ABHD11	0.0621069793143645	1.04398933887719	-0.0965574491636613	-0.0344504698492968	0.820409732221698	0.958826657208942	FALSE	NS
ABHD12	0.276039535372128	1.21086626587129	0.172189208497166	0.448228743869295	0.238080529293884	0.67811119421955	FALSE	NS
ABHD13	0.092284141862818	1.06605667752756	1.01289242304858	1.10517656491139	0.759714247827907	0.938593921762121	FALSE	NS
ABHD14A	-0.136223839441924	0.909897639163121	1.04825332983403	0.91202949039211	0.336777052954575	0.745752648553207	FALSE	NS
ABHD14B	0.212306090045928	1.15853858198345	-0.0230660130510322	0.189240076994896	0.0170793516383084	0.392195838391912	FALSE	NS
ABHD16A	-0.433684959455373	0.7403683051799	1.56103433023468	1.12734937077931	0.136044652775817	0.571318832237838	FALSE	NS
ABHD17B	0.0992292842861608	1.07120105324411	0.565011068251267	0.664240352537428	0.76407949765052	0.938593921762121	FALSE	NS
