ENSEMBL_ID	SYMBOL	ENTREZID	GENENAME
ENSG00000105793	GTPBP10	85865	GTP binding protein 10
ENSG00000105808	RASA4	10156	RAS p21 protein activator 4
ENSG00000105810	CDK6	1021	cyclin dependent kinase 6
ENSG00000105819	PMPCB	9512	peptidase, mitochondrial processing subunit beta
ENSG00000105821	DNAJC2	27000	DnaJ heat shock protein family (Hsp40) member C2
ENSG00000105825	TFPI2	7980	tissue factor pathway inhibitor 2
ENSG00000105829	BET1	10282	Bet1 golgi vesicular membrane trafficking protein
ENSG00000105835	NAMPT	10135	nicotinamide phosphoribosyltransferase
ENSG00000105849	POLR1F	221830	RNA polymerase I subunit F
ENSG00000105852	PON3	5446	paraoxonase 3
ENSG00000105854	PON2	5445	paraoxonase 2
ENSG00000105856	HBP1	26959	HMG-box transcription factor 1
ENSG00000105865	DUS4L	11062	dihydrouridine synthase 4 like
ENSG00000105866	SP4	6671	Sp4 transcription factor
ENSG00000105875	WDR91	29062	WD repeat domain 91
ENSG00000105879	CBLL1	79872	Cbl proto-oncogene like 1
ENSG00000105887	MTPN	136319	myotrophin
ENSG00000105926	PALS2	51678	protein associated with LIN7 2, MAGUK p55 family member
ENSG00000105928	GSDME	1687	gasdermin E
ENSG00000105939	ZC3HAV1	56829	zinc finger CCCH-type containing, antiviral 1
ENSG00000105948	IFT56	79989	intraflagellar transport 56
ENSG00000105953	OGDH	4967	oxoglutarate dehydrogenase
ENSG00000105963	ADAP1	11033	ArfGAP with dual PH domains 1
ENSG00000105968	H2AZ2	94239	H2A.Z variant histone 2
ENSG00000105971	CAV2	858	caveolin 2
ENSG00000105974	CAV1	857	caveolin 1
ENSG00000105976	MET	4233	MET proto-oncogene, receptor tyrosine kinase
ENSG00000105982	RNF32	140545	ring finger protein 32
ENSG00000105983	LMBR1	64327	limb development membrane protein 1
ENSG00000105991	HOXA1	3198	homeobox A1
ENSG00000105993	DNAJB6	10049	DnaJ heat shock protein family (Hsp40) member B6
ENSG00000105997	HOXA3	3200	homeobox A3
ENSG00000106003	LFNG	3955	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENSG00000106004	HOXA5	3202	homeobox A5
ENSG00000106009	BRAT1	221927	BRCA1 associated ATM activator 1
ENSG00000106012	IQCE	23288	IQ motif containing E
ENSG00000106028	SSBP1	6742	single stranded DNA binding protein 1
ENSG00000106031	HOXA13	3209	homeobox A13
ENSG00000106049	HIBADH	11112	3-hydroxyisobutyrate dehydrogenase
ENSG00000106052	TAX1BP1	8887	Tax1 binding protein 1
ENSG00000106070	GRB10	2887	growth factor receptor bound protein 10
ENSG00000106077	ABHD11	83451	abhydrolase domain containing 11
ENSG00000106078	COBL	23242	cordon-bleu WH2 repeat protein
ENSG00000106080	FKBP14	55033	FKBP prolyl isomerase 14
ENSG00000106086	PLEKHA8	84725	pleckstrin homology domain containing A8
ENSG00000106089	STX1A	6804	syntaxin 1A
ENSG00000106100	NOD1	10392	nucleotide binding oligomerization domain containing 1
ENSG00000106105	GARS1	2617	glycyl-tRNA synthetase 1
ENSG00000106125	MINDY4	84182	MINDY lysine 48 deubiquitinase 4
ENSG00000106144	CASP2	835	caspase 2
ENSG00000106153	CHCHD2	51142	coiled-coil-helix-coiled-coil-helix domain containing 2
ENSG00000106211	HSPB1	3315	heat shock protein family B (small) member 1
ENSG00000106244	PDAP1	11333	PDGFA associated protein 1
ENSG00000106245	BUD31	8896	BUD31 homolog
ENSG00000106246	PTCD1	26024	pentatricopeptide repeat domain 1
ENSG00000106258	CYP3A5	1577	cytochrome P450 family 3 subfamily A member 5
ENSG00000106261	ZKSCAN1	7586	zinc finger with KRAB and SCAN domains 1
ENSG00000106263	EIF3B	8662	eukaryotic translation initiation factor 3 subunit B
ENSG00000106266	SNX8	29886	sorting nexin 8
ENSG00000106268	NUDT1	4521	nudix hydrolase 1
ENSG00000106290	TAF6	6878	TATA-box binding protein associated factor 6
ENSG00000106299	WASL	8976	WASP like actin nucleation promoting factor
ENSG00000106305	AIMP2	7965	aminoacyl tRNA synthetase complex interacting multifunctional protein 2
ENSG00000106330	MOSPD3	64598	motile sperm domain containing 3
ENSG00000106333	PCOLCE	5118	procollagen C-endopeptidase enhancer
ENSG00000106344	RBM28	55131	RNA binding motif protein 28
ENSG00000106346	USP42	84132	ubiquitin specific peptidase 42
ENSG00000106348	IMPDH1	3614	inosine monophosphate dehydrogenase 1
ENSG00000106351	AGFG2	3268	ArfGAP with FG repeats 2
ENSG00000106355	LSM5	23658	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
ENSG00000106366	SERPINE1	5054	serpin family E member 1
ENSG00000106367	AP1S1	1174	adaptor related protein complex 1 subunit sigma 1
ENSG00000106392	C1GALT1	56913	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
ENSG00000106397	PLOD3	8985	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
ENSG00000106399	RPA3	6119	replication protein A3
ENSG00000106400	ZNHIT1	10467	zinc finger HIT-type containing 1
ENSG00000106404	CLDN15	24146	claudin 15
ENSG00000106443	PHF14	9678	PHD finger protein 14
ENSG00000106459	NRF1	4899	nuclear respiratory factor 1
ENSG00000106460	TMEM106B	54664	transmembrane protein 106B
ENSG00000106462	EZH2	2146	enhancer of zeste 2 polycomb repressive complex 2 subunit
ENSG00000106477	CEP41	95681	centrosomal protein 41
ENSG00000106479	ZNF862	643641	zinc finger protein 862
ENSG00000106483	SFRP4	6424	secreted frizzled related protein 4
ENSG00000106484	MEST	4232	mesoderm specific transcript
ENSG00000106524	ANKMY2	57037	ankyrin repeat and MYND domain containing 2
ENSG00000106526	ACTR3C	653857	actin related protein 3C
ENSG00000106537	TSPAN13	27075	tetraspanin 13
ENSG00000106541	AGR2	10551	anterior gradient 2, protein disulphide isomerase family member
ENSG00000106546	AHR	196	aryl hydrocarbon receptor
ENSG00000106554	CHCHD3	54927	coiled-coil-helix-coiled-coil-helix domain containing 3
ENSG00000106588	PSMA2	5683	proteasome 20S subunit alpha 2
ENSG00000106591	MRPL32	64983	mitochondrial ribosomal protein L32
ENSG00000106603	COA1	55744	cytochrome c oxidase assembly factor 1
ENSG00000106605	BLVRA	644	biliverdin reductase A
ENSG00000106608	URGCP	55665	upregulator of cell proliferation
ENSG00000106609	TMEM248	55069	transmembrane protein 248
ENSG00000106615	RHEB	6009	Ras homolog, mTORC1 binding
ENSG00000106617	PRKAG2	51422	protein kinase AMP-activated non-catalytic subunit gamma 2
ENSG00000106628	POLD2	5425	DNA polymerase delta 2, accessory subunit
ENSG00000106635	BCL7B	9275	BAF chromatin remodeling complex subunit BCL7B
ENSG00000106636	YKT6	10652	YKT6 v-SNARE homolog
ENSG00000106638	TBL2	26608	transducin beta like 2
ENSG00000106665	CLIP2	7461	CAP-Gly domain containing linker protein 2
ENSG00000106682	EIF4H	7458	eukaryotic translation initiation factor 4H
ENSG00000106683	LIMK1	3984	LIM domain kinase 1
ENSG00000106686	SPATA6L	55064	spermatogenesis associated 6 like
ENSG00000106688	SLC1A1	6505	solute carrier family 1 member 1
ENSG00000106689	LHX2	9355	LIM homeobox 2
ENSG00000106692	FKTN	2218	fukutin
ENSG00000106701	FSD1L	83856	fibronectin type III and SPRY domain containing 1 like
ENSG00000106714	CNTNAP3	79937	contactin associated protein family member 3
ENSG00000106723	SPIN1	10927	spindlin 1
ENSG00000106733	NMRK1	54981	nicotinamide riboside kinase 1
ENSG00000106771	TMEM245	23731	transmembrane protein 245
ENSG00000106780	MEGF9	1955	multiple EGF like domains 9
ENSG00000106785	TRIM14	9830	tripartite motif containing 14
ENSG00000106789	CORO2A	7464	coronin 2A
ENSG00000106799	TGFBR1	7046	transforming growth factor beta receptor 1
ENSG00000106803	SEC61B	10952	SEC61 translocon subunit beta
ENSG00000106804	C5	727	complement C5
ENSG00000106829	TLE4	7091	TLE family member 4, transcriptional corepressor
ENSG00000106853	PTGR1	22949	prostaglandin reductase 1
ENSG00000106868	SUSD1	64420	sushi domain containing 1
ENSG00000106927	AMBP	259	alpha-1-microglobulin/bikunin precursor
ENSG00000106948	AKNA	80709	AT-hook transcription factor
ENSG00000106976	DNM1	1759	dynamin 1
ENSG00000106992	AK1	203	adenylate kinase 1
ENSG00000106993	CDC37L1	55664	cell division cycle 37 like 1, HSP90 cochaperone
ENSG00000107020	PLGRKT	55848	plasminogen receptor with a C-terminal lysine
ENSG00000107021	TBC1D13	54662	TBC1 domain family member 13
ENSG00000107036	RIC1	57589	RIC1 homolog, RAB6A GEF complex partner 1
ENSG00000107077	KDM4C	23081	lysine demethylase 4C
ENSG00000107099	DOCK8	81704	dedicator of cytokinesis 8
ENSG00000107104	KANK1	23189	KN motif and ankyrin repeat domains 1
ENSG00000107130	NCS1	23413	neuronal calcium sensor 1
ENSG00000107140	TESK1	7016	testis associated actin remodelling kinase 1
ENSG00000107159	CA9	768	carbonic anhydrase 9
ENSG00000107164	FUBP3	8939	far upstream element binding protein 3
ENSG00000107175	CREB3	10488	cAMP responsive element binding protein 3
ENSG00000107185	RGP1	9827	RGP1 homolog, RAB6A GEF complex partner 1
ENSG00000107186	MPDZ	8777	multiple PDZ domain crumbs cell polarity complex component
ENSG00000107201	RIGI	23586	RNA sensor RIG-I
ENSG00000107223	EDF1	8721	endothelial differentiation related factor 1
ENSG00000107249	GLIS3	169792	GLIS family zinc finger 3
ENSG00000107262	BAG1	573	BAG cochaperone 1
ENSG00000107263	RAPGEF1	2889	Rap guanine nucleotide exchange factor 1
ENSG00000107281	NPDC1	56654	neural proliferation, differentiation and control 1
ENSG00000107290	SETX	23064	senataxin
ENSG00000107331	ABCA2	20	ATP binding cassette subfamily A member 2
ENSG00000107338	SHB	6461	SH2 domain containing adaptor protein B
ENSG00000107341	UBE2R2	54926	ubiquitin conjugating enzyme E2 R2
