Sample	Condition	DESeq2_SizeFactor	edgeR_TMM_Factor	Library_Size	Mean_CPM
He_0_1	Control	1.1035469669579974	1.1411599551705889	16950385	52.257221173965966
He_0_2	Control	1.0561104195247997	1.0645400725160608	17231204	56.01841556915449
He_40_1	CBD	0.9557938753225406	0.916267451135533	18200569	65.08345145112177
He_40_2	CBD	0.9393182916754849	0.8983988828705375	18310719	66.3779188835167
