GeneID	log2FC	FC	Control_Mean	Treat_Mean	PValue	AdjPValue	Significant	Direction
A2M	0.923716449490588	1.8969957538517	2.06373320822836	2.98744965771895	0.0144562431272284	0.44470493309537	FALSE	NS
A2ML1	-0.219644447304954	0.858777056264259	-0.0767798768679636	-0.296424324172918	0.559996517759098	0.872627070968054	FALSE	NS
AAAS	0.22613018525369	1.16969320952938	3.88000477011984	4.10613495537353	0.28655256933182	0.748952217336099	FALSE	NS
AACS	-0.0812028669336409	0.945269186825023	1.51358832833718	1.43238546140354	0.772696472418503	0.946864362073984	FALSE	NS
AAGAB	0.120599254801767	1.08718635527843	3.02011747863033	3.14071673343209	0.631879784528462	0.898755031650055	FALSE	NS
AAK1	0.0101135977622394	1.00703484082676	0.22196844828907	0.232082046051309	0.935575030265486	0.987679779834305	FALSE	NS
AAMDC	-0.0624563685565951	0.957632241943999	5.61189001869627	5.54943365013967	0.693286355768085	0.919153921236435	FALSE	NS
AAMP	0.0304727165148388	1.02134672751948	1.65903297799326	1.6895056945081	0.892372736652838	0.97938221084124	FALSE	NS
AAR2	0.501351236653327	1.41553874359566	1.91959863758992	2.42094987424325	0.0348888877514582	0.499809163331115	FALSE	NS
AARD	-0.521458143913682	0.696667349719129	0.514242476999265	-0.00721566691441679	0.0242427505909216	0.484757846485403	FALSE	NS
AARS1	0.764379517252181	1.69863928040481	3.07204555368965	3.83642507094183	0.00916354383231413	0.415608365267411	FALSE	NS
AARS2	0.160279647294012	1.11750373035242	-0.888839719067757	-0.728560071773745	0.323996011390676	0.764939867273993	FALSE	NS
AASDH	-0.0646689447475632	0.95616470355024	1.287016176875	1.22234723212744	0.824108671752537	0.961749277982084	FALSE	NS
AASDHPPT	-0.189316998939975	0.877020822474624	4.19233082011289	4.00301382117292	0.12111555916325	0.625512965492188	FALSE	NS
AASS	0.0276599005098682	1.01935735238601	0.463904667229575	0.491564567739443	0.906932889695712	0.98179445196398	FALSE	NS
AATF	-0.0288623654361215	0.980192922276154	1.49504956431679	1.46618719888067	0.91979807184643	0.984201126137645	FALSE	NS
ABAT	0.340832064768593	1.26648682122315	1.50351410034235	1.84434616511094	0.116659994508678	0.619395695587213	FALSE	NS
ABCA1	-0.528004476268388	0.693513332789651	5.00873972840871	4.48073525214033	0.25367039376817	0.730027239322363	FALSE	NS
ABCA11P	-0.360541885265089	0.778871975534931	-0.0261060891300074	-0.386647974395096	0.105432992877913	0.602181112155588	FALSE	NS
ABCA5	0.342360386039826	1.26782918693153	2.34699293656188	2.68935332260171	0.274297490616786	0.743347035963956	FALSE	NS
ABCA8	0.0106819780065249	1.00743166167786	0.13539728026082	0.146079258267344	0.970600311640428	0.993441526551829	FALSE	NS
ABCB6	0.00402152824211388	1.00279139968369	1.24327652525604	1.24729805349816	0.9847537560162	0.996266972855182	FALSE	NS
ABCB7	-0.295865017250257	0.814583774335213	3.61010736450236	3.3142423472521	0.279540460984351	0.74598949443751	FALSE	NS
ABCB8	0.48037757360117	1.39510873817198	-0.523111763906025	-0.0427341903048547	0.0371489995711786	0.505036947773435	FALSE	NS
ABCC1	0.137517139626224	1.10001038163588	0.310152000389535	0.447669140015759	0.319266781742918	0.764075631434328	FALSE	NS
ABCC4	-0.490631549653258	0.711713472139498	0.942542682521991	0.451911132868733	0.179296452767197	0.683844773409895	FALSE	NS
ABCC5	0.525211982485374	1.43914502533969	1.89540550112154	2.42061748360692	0.0132853818443893	0.436860183438463	FALSE	NS
ABCD3	0.048094687458097	1.03389859120983	2.34148470706339	2.38957939452149	0.848612339097963	0.968172184335408	FALSE	NS
ABCD4	-0.268709530800065	0.830061691650682	1.07244641261094	0.803736881810874	0.373742850746064	0.801808342563034	FALSE	NS
ABCE1	0.0498052862286724	1.03512520842726	3.80013638472565	3.84994167095432	0.84782164349056	0.968135083399956	FALSE	NS
ABCF1	0.486567601066523	1.40110745168053	1.36702153388904	1.85358913495557	0.0808601875606861	0.569149842489591	FALSE	NS
ABCF2	0.573529849221539	1.48816020900146	2.90609714269816	3.4796269919197	0.158778578079631	0.666735750460507	FALSE	NS
ABCF3	0.323058923732724	1.2509801726269	1.59475792928609	1.91781685301882	0.30551415383432	0.755840100257548	FALSE	NS
ABCG1	-0.624305077035979	0.64873218592334	0.986896413417484	0.362591336381505	0.000346150303786838	0.331287099091775	FALSE	NS
ABCG2	-0.0357524589944567	0.975522829668179	1.3191437851169	1.28339132612245	0.898775258788666	0.980362974677794	FALSE	NS
ABHD10	-0.321593164672544	0.800185746307488	2.77211203454029	2.45051886986774	0.175680769157204	0.678646037417954	FALSE	NS
ABHD11	0.139960865003869	1.1018752256598	-0.120554460898502	0.0194064041053666	0.652457075636042	0.904005067734128	FALSE	NS
ABHD12	0.287502793211205	1.22052580123577	0.0756145868838938	0.363117380095099	0.26341283843466	0.735403833771974	FALSE	NS
ABHD13	0.084303043601738	1.06017545391205	0.949798237646928	1.03410128124867	0.778689154165979	0.949052014871066	FALSE	NS
ABHD14A	-0.205777710778662	0.867071150806253	0.995488411634	0.789710700855338	0.390185464918107	0.80857728163911	FALSE	NS
ABHD14B	0.444480886127368	1.36082437341516	0.00740916610988349	0.451890052237252	0.046626220420911	0.516900054353592	FALSE	NS
ABHD16A	-0.0718262101705329	0.951432880870304	1.49517549044127	1.42334928027074	0.795824414642454	0.955106755157739	FALSE	NS
ABHD17B	0.215476792560439	1.16108757581873	0.68806149485918	0.903538287419619	0.624792182272519	0.895558343007936	FALSE	NS
