Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000124201,57169,ZNFX1,1.1675830018237408
ENSG00000162511,7805,LAPTM5,1.1444347355949531
ENSG00000171320,157570,ESCO2,-2.234853807590574
ENSG00000136842,7111,TMOD1,1.4365769003632654
ENSG00000091651,23594,ORC6,-1.8697858265000336
ENSG00000010292,9918,NCAPD2,-1.5590234950934172
ENSG00000069812,54626,HES2,1.9057350359940275
ENSG00000174371,9156,EXO1,-2.4739085438848982
ENSG00000136114,55901,THSD1,1.5705462147071207
ENSG00000165501,122769,LRR1,-1.2682683583454972
ENSG00000077942,2192,FBLN1,-2.0764214870601
ENSG00000057593,2155,F7,-1.4116460214724469
ENSG00000183856,128239,IQGAP3,-1.7158189200300016
ENSG00000205208,201725,C4orf46,-1.146592191189404
ENSG00000182481,3838,KPNA2,-1.3910149238896403
ENSG00000233966,,UBE2SP1,-2.001493570760576
ENSG00000143476,51514,DTL,-1.8970722164495144
ENSG00000171564,2244,FGB,-3.867638023217369
ENSG00000182175,56963,RGMA,1.1448384853378897
ENSG00000143815,3930,LBR,-1.118496482029764
ENSG00000065328,55388,MCM10,-2.4202892805374976
ENSG00000133119,5983,RFC3,-2.2022863761070406
ENSG00000132517,55065,SLC52A1,2.0077468773688065
ENSG00000140859,3801,KIFC3,-1.2612243516985338
ENSG00000091592,22861,NLRP1,1.3771300570502032
ENSG00000138346,1763,DNA2,-1.1648595909974568
ENSG00000077684,79960,JADE1,-2.367413410523634
ENSG00000105939,56829,ZC3HAV1,1.3067602416030772
ENSG00000107249,169792,GLIS3,-1.7728426089162168
ENSG00000168393,1841,DTYMK,-1.9326537607689336
ENSG00000080986,10403,NDC80,-2.216273911478716
ENSG00000213186,286827,TRIM59,-1.5759281946797197
ENSG00000143401,81611,ANP32E,-1.428235118670217
ENSG00000148498,56288,PARD3,-1.4204826764285563
ENSG00000106268,4521,NUDT1,-1.3478871312534864
ENSG00000071539,9319,TRIP13,-2.3044916980618275
ENSG00000092470,79968,WDR76,-1.5776130049908468
ENSG00000196584,7516,XRCC2,-1.362806583592321
ENSG00000113810,10051,SMC4,-1.984103850869055
ENSG00000007968,1870,E2F2,-1.2607495284730486
ENSG00000173207,1163,CKS1B,-1.8696281156515
ENSG00000285948,,,-1.4133856946871948
ENSG00000154920,146956,EME1,-1.4209622310399033
ENSG00000289194,,,-1.3943003865630377
ENSG00000104889,10535,RNASEH2A,-1.4583784282436962
ENSG00000105011,55723,ASF1B,-2.376097461154584
ENSG00000185480,55010,PARPBP,-2.11605103222205
ENSG00000186193,89958,SAPCD2,-1.4765544365715288
ENSG00000285542,,,-1.8831978762725987
ENSG00000147408,55790,CSGALNACT1,-1.4943255738961383
ENSG00000101412,1869,E2F1,-2.1174159765075133
ENSG00000197299,641,BLM,-1.5265971561049634
ENSG00000138376,580,BARD1,-1.315453047825729
ENSG00000137812,57082,KNL1,-1.528779274851605
ENSG00000138646,51191,HERC5,2.1572693446872946
ENSG00000199352,100169751,RNA5S1,5.505219722919568
ENSG00000259207,3690,ITGB3,2.094714388076918
ENSG00000258725,100507118,PRC1-AS1,-1.4138816456530998
ENSG00000157399,415,ARSL,-1.049648847988105
ENSG00000184990,10572,SIVA1,-1.0771778265769203
ENSG00000290397,,,1.0363493820509806
ENSG00000051341,10721,POLQ,-1.2587206655525969
ENSG00000183207,10856,RUVBL2,-1.006557941360894
ENSG00000200343,100169759,RNA5S8,5.449223547759778
ENSG00000276043,29128,UHRF1,-1.8358750573767169
ENSG00000012048,672,BRCA1,-2.1886386625082173
ENSG00000172167,27085,MTBP,-1.0393254718027232
ENSG00000172667,64393,ZMAT3,1.1409130230243605
ENSG00000175643,116028,RMI2,-2.365316545363931
ENSG00000114346,1894,ECT2,-1.9338045052560384
ENSG00000101868,5422,POLA1,-1.450342274281741
ENSG00000200370,100169768,RNA5S17,5.40298501960687
ENSG00000201925,100169766,RNA5S15,5.40298501960687
ENSG00000240386,353137,LCE1F,3.178539256402732
ENSG00000142856,23421,ITGB3BP,-1.3040968424588102
ENSG00000146410,113115,MTFR2,-1.8325727855859435
ENSG00000200624,100169757,RNA5S6,5.496497794276091
ENSG00000149929,8479,HIRIP3,-1.7019518812122263
ENSG00000231742,101927541,LINC01273,-1.301759524944151
ENSG00000271503,6352,CCL5,3.09772604525239
ENSG00000166451,55839,CENPN,-1.5984174863085272
ENSG00000201355,100169765,RNA5S14,5.410017787990426
ENSG00000201588,100169753,RNA5S2,5.39363409750121
ENSG00000199337,100169754,RNA5S3,5.380531919469701
ENSG00000200381,100169755,RNA5S4,5.417811003174945
ENSG00000202257,100169767,RNA5S16,5.424273906722087
ENSG00000100479,5427,POLE2,-1.4363073692146189
ENSG00000112029,26271,FBXO5,-1.930892661025754
ENSG00000202526,100169764,RNA5S13,5.394738623452429
ENSG00000137310,6941,TCF19,-1.4958730977504655
ENSG00000202521,100169758,RNA5S7,5.373985712686011
ENSG00000164032,3015,H2AZ1,-1.016515021435385
ENSG00000131153,51659,GINS2,-1.9940822478488367
ENSG00000035499,55789,DEPDC1B,-1.868393600277018
ENSG00000123473,6491,STIL,-1.5460711709168595
ENSG00000107201,23586,RIGI,1.870081652476283
ENSG00000149136,6749,SSRP1,-1.1412089468157642
ENSG00000051180,5888,RAD51,-1.6295333822210027
ENSG00000199270,100169763,RNA5S12,5.380531919469701
ENSG00000187994,126432,RINL,1.02283950008536
ENSG00000167670,10036,CHAF1A,-1.5559004631325437
ENSG00000187608,9636,ISG15,3.984354521690816
ENSG00000129534,55320,MIS18BP1,-1.2394941794245202
ENSG00000186871,54821,ERCC6L,-1.2705352648846522
ENSG00000156802,29028,ATAD2,-2.0595167240271
ENSG00000167325,6240,RRM1,-1.2441790373798174
ENSG00000172572,5139,PDE3A,-2.4412123244988324
ENSG00000120802,7112,TMPO,-1.3889351364704758
ENSG00000157111,134285,TMEM171,2.0741253270767164
ENSG00000164626,8645,KCNK5,-1.105831629175405
ENSG00000171557,2266,FGG,-2.65959801078471
ENSG00000278041,,,1.060248779271756
ENSG00000079819,2037,EPB41L2,-1.4302936215652702
ENSG00000285588,,,-2.3441429566854537
ENSG00000115875,6432,SRSF7,-1.982199638098061
ENSG00000136824,10592,SMC2,-1.4568943099237912
ENSG00000088002,6820,SULT2B1,-3.305017160819974
ENSG00000113645,23286,WWC1,-2.190106223454978
ENSG00000196337,94027,CGB7,1.0189489479562517
ENSG00000224126,,UBE2SP2,-1.7488591014131862
ENSG00000199910,100169761,RNA5S10,5.373985712686011
ENSG00000160867,2264,FGFR4,-1.8492825642331807
ENSG00000136527,6434,TRA2B,-1.623495076030988
ENSG00000199396,100169756,RNA5S5,5.439745158937571
ENSG00000136492,83990,BRIP1,-1.3688159385402083
