Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000006634,10926,DBF4,-1.4133047529858571
ENSG00000149136,6749,SSRP1,-1.37227219748502
ENSG00000006704,9569,GTF2IRD1,-1.351053269541313
ENSG00000106355,23658,LSM5,-1.1210565262536418
ENSG00000153044,64946,CENPH,-1.4878705558574268
ENSG00000167900,7083,TK1,-3.512042477851084
ENSG00000143401,81611,ANP32E,-1.537112922877843
ENSG00000231864,,,-1.8916421498272145
ENSG00000259781,,HMGB1P6,-1.5022073126829207
ENSG00000138376,580,BARD1,-1.4543201549925109
ENSG00000100297,4174,MCM5,-2.566039766661637
ENSG00000146670,113130,CDCA5,-2.757669978632827
ENSG00000111247,10635,RAD51AP1,-2.0988293966008262
ENSG00000156802,29028,ATAD2,-2.4125196736781938
ENSG00000249156,112488739,TAF11L12,1.0043436454609391
ENSG00000293339,10354,HMGB1P5,-1.4487856902949807
ENSG00000112029,26271,FBXO5,-2.177401558804607
ENSG00000113810,10051,SMC4,-2.086387875748918
ENSG00000285948,,,-1.4933800198163472
ENSG00000033100,54480,CHPF2,1.5472894266152948
ENSG00000205084,79583,TMEM231,-1.1557126451443236
ENSG00000035499,55789,DEPDC1B,-2.0930246741343543
ENSG00000171848,6241,RRM2,-3.0720859890502283
ENSG00000184661,157313,CDCA2,-1.5551039281087995
ENSG00000204410,4439,MSH5,-1.0628585916456268
ENSG00000086061,3301,DNAJA1,1.4846653346441665
ENSG00000114268,5210,PFKFB4,1.5048935164336368
ENSG00000248583,,,1.3444436987159205
ENSG00000177917,151188,ARL6IP6,-1.214636205603444
ENSG00000122952,11130,ZWINT,-2.4205327414471003
ENSG00000140859,3801,KIFC3,-1.243266787986033
ENSG00000077942,2192,FBLN1,-1.975853042620586
ENSG00000149929,8479,HIRIP3,-1.8202353212001927
ENSG00000197905,7004,TEAD4,-1.4212398613925408
ENSG00000167186,10229,COQ7,-1.3731324537694127
ENSG00000167325,6240,RRM1,-1.3839320954652967
ENSG00000197299,641,BLM,-1.579380801683187
ENSG00000013810,10460,TACC3,-2.157657928460001
ENSG00000196562,55959,SULF2,1.1030985553401065
ENSG00000152253,57405,SPC25,-1.7033521879063651
ENSG00000065328,55388,MCM10,-2.32306119490812
ENSG00000174371,9156,EXO1,-2.2918433818481505
ENSG00000136068,2317,FLNB,-1.4112912576227608
ENSG00000131652,79228,THOC6,-1.5308948760847816
ENSG00000131351,93323,HAUS8,-1.4024622650414773
ENSG00000163535,151246,SGO2,-1.6736679520404778
ENSG00000143476,51514,DTL,-1.7841210681811568
ENSG00000198056,5557,PRIM1,-2.03030067829829
ENSG00000171320,157570,ESCO2,-1.9796573813735383
ENSG00000235823,90271,OLMALINC,-1.8383641434837048
ENSG00000132357,84674,CARD6,1.0681345976235668
ENSG00000121957,29899,GPSM2,-1.1019714604981663
ENSG00000172167,27085,MTBP,-1.0535885409232502
ENSG00000205208,201725,C4orf46,-1.057009084403174
ENSG00000109685,7468,NSD2,-1.2290425193005603
ENSG00000185404,93349,SP140L,1.138239538820885
ENSG00000137310,6941,TCF19,-1.5316354624662236
ENSG00000134057,891,CCNB1,-2.233722326095515
ENSG00000184990,10572,SIVA1,-1.068640335369181
ENSG00000007968,1870,E2F2,-1.2062402580271256
ENSG00000124795,7913,DEK,-1.1399412741806811
ENSG00000111445,5985,RFC5,-1.7014053558096665
ENSG00000196584,7516,XRCC2,-1.2897503317553392
ENSG00000138092,79172,CENPO,-1.3133142306308607
ENSG00000198830,3151,HMGN2,-1.2358123356973438
ENSG00000283740,112488746,TAF11L11,1.911817053935535
ENSG00000137812,57082,KNL1,-1.4851021413431735
ENSG00000149636,79980,DSN1,-1.1668109058804703
ENSG00000131153,51659,GINS2,-2.0060438737234763
ENSG00000165304,9833,MELK,-1.6931038242378302
ENSG00000080986,10403,NDC80,-2.0373043118119627
ENSG00000164611,9232,PTTG1,-2.554946280753396
ENSG00000164626,8645,KCNK5,-1.136652730194108
ENSG00000224126,,UBE2SP2,-1.830860585924536
