Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000171848,6241,RRM2,2.710397188094966
ENSG00000166451,55839,CENPN,1.5374791021048502
ENSG00000167513,81620,CDT1,2.048450098510192
ENSG00000248583,,,-1.1876894520017864
ENSG00000177917,151188,ARL6IP6,1.0732225576783705
ENSG00000136943,1515,CTSV,1.6352380311001702
ENSG00000134057,891,CCNB1,2.088179347203597
ENSG00000197903,85236,H2BC12,-1.087652475852357
ENSG00000186193,89958,SAPCD2,1.334853824890001
ENSG00000100749,7443,VRK1,1.1203245979056038
ENSG00000117632,3925,STMN1,1.6228756497464776
ENSG00000153029,3140,MR1,-1.12078150052445
ENSG00000259781,,HMGB1P6,1.2155426999891663
ENSG00000235823,90271,OLMALINC,1.650310364252237
ENSG00000020633,864,RUNX3,1.0008010119703934
ENSG00000123219,64105,CENPK,1.5161979518721531
ENSG00000137310,6941,TCF19,1.3915126431922236
ENSG00000138778,1062,CENPE,1.4920284217621929
ENSG00000138182,9585,KIF20B,1.1661403109642705
ENSG00000198830,3151,HMGN2,1.1360075665725633
ENSG00000013810,10460,TACC3,1.866438667375968
ENSG00000233276,2876,GPX1,-1.263149678276836
ENSG00000127564,9088,PKMYT1,1.922525757448275
ENSG00000260912,,,-1.3026377829457665
ENSG00000152253,57405,SPC25,1.478430340098588
ENSG00000162643,126820,DNAI3,-1.2632799792724465
ENSG00000168824,27065,NSG1,-1.296026629821308
ENSG00000136068,2317,FLNB,1.2243787362137084
ENSG00000267374,647946,MIR924HG,1.1619837532709636
ENSG00000100242,25777,SUN2,1.0615258429002896
ENSG00000258725,100507118,PRC1-AS1,1.2475924413941415
ENSG00000176046,26471,NUPR1,1.535419919509331
ENSG00000165244,195828,ZNF367,1.076430821155052
ENSG00000051180,5888,RAD51,1.4862934187324512
ENSG00000285948,,,1.1944380068703695
ENSG00000133315,28992,MACROD1,1.1103027368325464
ENSG00000123975,1164,CKS2,1.405840603099369
ENSG00000112984,10112,KIF20A,2.275031740766436
ENSG00000140534,90381,TICRR,1.0383650130001092
ENSG00000231304,100874028,SGO1-AS1,1.0103305466598174
ENSG00000035499,55789,DEPDC1B,1.6526672139820733
ENSG00000109685,7468,NSD2,1.0485836618703894
ENSG00000293339,10354,HMGB1P5,1.119287418862864
ENSG00000105011,55723,ASF1B,1.9656131236521428
ENSG00000279208,,,-1.152624487436838
ENSG00000163507,57650,CIP2A,1.243764415602323
ENSG00000143401,81611,ANP32E,1.1454306916251298
ENSG00000115129,9540,TP53I3,-1.6195084743985602
ENSG00000091651,23594,ORC6,1.3698136719060776
ENSG00000166508,4176,MCM7,1.7289209103778695
ENSG00000111247,10635,RAD51AP1,1.567670808664682
ENSG00000187837,3006,H1-2,-1.561158085461221
ENSG00000080546,27244,SESN1,-1.0630114415704432
ENSG00000197299,641,BLM,1.2324171682676195
ENSG00000161888,147841,SPC24,1.9898918892019044
ENSG00000183607,200504,GKN2,-1.060012296916378
ENSG00000122952,11130,ZWINT,1.860671738508778
ENSG00000026103,355,FAS,-1.2752545928753598
ENSG00000131153,51659,GINS2,1.6588828820226027
ENSG00000213853,2013,EMP2,1.079578990659937
ENSG00000161513,2232,FDXR,-1.123537338529898
ENSG00000244274,55861,DBNDD2,1.009802257915641
ENSG00000178809,375593,TRIM73,-1.0626934402239336
ENSG00000162063,899,CCNF,1.1675287412434563
ENSG00000100297,4174,MCM5,1.835823732577758
ENSG00000143476,51514,DTL,1.394957526310593
ENSG00000242282,,,1.309222262680113
ENSG00000146670,113130,CDCA5,1.9704807315437567
ENSG00000184445,9735,KNTC1,1.198813855901936
ENSG00000207181,677802,SNORA14B,-2.754006169389781
