GeneID	log2FC	FC	Control_Mean	Treat_Mean	PValue	AdjPValue	Significant	Direction
ACD	0.521463712800591	1.43541083196862	-0.45893513563725	0.0625285771633411	0.00103338869637262	0.0217739040380031	TRUE	Up
ACP1	0.441279289631373	1.35780781085125	5.47584083820035	5.91712012783172	0.00080433630893741	0.018365372289651	TRUE	Up
AKR1A1	0.458207080850974	1.37383341590267	5.07517952098601	5.53338660183699	7.19443320950556e-05	0.00375843217614903	TRUE	Up
ALG13	0.517456804712799	1.43142968600632	1.65560243304063	2.17305923775343	4.07357918178813e-05	0.00263569064818911	TRUE	Up
ANXA5	0.457204117703149	1.37287865734382	6.36820621779681	6.82541033549996	0.000535456888433972	0.0134918909919045	TRUE	Up
APIP	0.537446422156781	1.45140125452989	2.30648041573755	2.84392683789433	0.000283234219095709	0.00893596056323199	TRUE	Up
ARF4	0.418273685724747	1.33632756168239	5.97908883870678	6.39736252443153	9.17312870549779e-05	0.00453116228828995	TRUE	Up
ARL1	0.56778620102927	1.48224733313663	4.6621722155511	5.22995841658037	0.00151657016795658	0.0290866228241891	TRUE	Up
ASAH1	0.808074596209537	1.75087318796382	4.36160313596171	5.16967773217124	1.54835868433733e-05	0.00145750216531301	TRUE	Up
ASS1	0.650331773783893	1.56952909585999	6.14168630837403	6.79201808215793	0.000930193962478769	0.0203095740866809	TRUE	Up
ATF4	0.867828260028362	1.82491372446074	3.78606693583884	4.6538951958672	0.00155930429205485	0.0296356918592824	TRUE	Up
ATG13	0.530200024450387	1.4441294049628	2.74560543662062	3.27580546107101	0.00202764878879015	0.0351247909974793	TRUE	Up
ATP6V1E1	0.575404080280801	1.4900947610114	4.75646462579893	5.33186870607973	0.000267593548298089	0.00861305943522044	TRUE	Up
ATP8A2	0.474099705850912	1.38905113092372	0.159036794429175	0.633136500280087	0.000251299657551678	0.00840325442557294	TRUE	Up
BUD31	0.563653027531105	1.47800692344303	4.3830129823688	4.94666600989991	4.65346555713584e-05	0.0028661900820433	TRUE	Up
C12orf76	0.475877680074221	1.39076404979127	-0.0501349529471392	0.425742727127082	0.00192349857223383	0.033671348690788	TRUE	Up
C2orf49	0.624484736178497	1.54166011750879	1.47856935233576	2.10305408851426	0.00154441437650536	0.0294649457911481	TRUE	Up
C7	0.454716261075191	1.3705132357476	5.8335564710767	6.28827273215189	0.0033209121543855	0.0499661881378042	TRUE	Up
CAB39L	0.520614240199529	1.4345658971565	0.0703961073906959	0.591010347590225	0.00286219709171438	0.0447575757499995	TRUE	Up
CDO1	0.403611189822651	1.32281488970912	1.23864484741869	1.64225603724134	0.00047340921409093	0.0123333606741496	TRUE	Up
CNIH1	0.431863338490858	1.34897474457749	6.04390880247851	6.47577214096936	0.00181971828481053	0.0324814830873693	TRUE	Up
COPS5	0.439378963331778	1.35602047590724	4.3745955231677	4.81397448649948	0.00146018708314576	0.0283458107307945	TRUE	Up
COX7A2L	0.537006748629608	1.45095899510498	6.22646198290744	6.76346873153705	0.00147978269720891	0.0286014189143451	TRUE	Up
CPSF1	0.420867560240087	1.33873235537754	0.318566623384492	0.739434183624579	0.00202230329350372	0.0350931169784003	TRUE	Up
CSTA	0.473395132213798	1.38837292115941	-0.167754258170091	0.305640874043707	0.000735618888500518	0.0171495450220985	TRUE	Up
DDIT3	1.09567906534753	2.13713651294364	2.43923882970858	3.53491789505611	9.88142917387492e-05	0.00466248782347352	TRUE	Up
DHPS	0.612183884560261	1.52857133862208	2.6419596206548	3.25414350521506	0.00259433239066966	0.041887133647414	TRUE	Up
DYNC1H1	0.651704183795568	1.57102287122992	2.95463717765885	3.60634136145442	0.00287080060934052	0.0447575757499995	TRUE	Up
EIF1	0.520191356247453	1.43414545764849	7.73259462012321	8.25278597637066	0.000256887247527153	0.00848748660869514	TRUE	Up
EIF2A	0.431010190796803	1.34817725485285	3.98215940121056	4.41316959200736	0.002970226637685	0.0459487153346061	TRUE	Up
EMC3	0.430547684922119	1.34774511920059	4.39554674528934	4.82609443021146	0.000818471583638846	0.0185607033217009	TRUE	Up
EVA1B	0.597664996084328	1.51326536132926	0.765754119182292	1.36341911526662	0.000513097003546172	0.0130945319504165	TRUE	Up
FAM104B	0.474454133765021	1.38939242202131	2.94870531923463	3.42315945299965	0.0029947048396009	0.0462556732036189	TRUE	Up
FH	0.462769084164505	1.37818454494905	3.36922412660101	3.83199321076551	0.00254254711933394	0.0416576931965748	TRUE	Up
FTL	0.819725715549982	1.76507038639236	11.2884894099579	12.1082151255079	7.08555397388348e-05	0.00375843217614903	TRUE	Up
GABARAP	0.378672778256937	1.30014522348782	7.68895965358726	8.06763243184419	0.000391797879564994	0.0107510570395363	TRUE	Up
GNPDA1	0.747808758870195	1.6792403739689	4.15700652647854	4.90481528534873	0.000280892515018906	0.00892594113012307	TRUE	Up
GPNMB	1.47878869275133	2.78714622246606	2.68362602164161	4.16241471439295	0.000322058469655801	0.00943773961144123	TRUE	Up
GPX8	0.404748133066454	1.32385776999844	3.74217491398418	4.14692304705063	0.00281254462815089	0.0444747548331055	TRUE	Up
HAX1	0.480993795746919	1.39570476193602	5.83514765649946	6.31614145224638	0.000103015354065841	0.00477269204639723	TRUE	Up
HSD17B3	0.429845144939637	1.34708897614643	4.77232272033607	5.20216786527571	0.00326492027855455	0.0496160782795041	TRUE	Up
IFI30	0.884926637556998	1.84667071407312	5.75948661281926	6.64441325037626	1.89941303913727e-05	0.00165516388331941	TRUE	Up
LARS1	0.549616379235812	1.46369643904048	3.91486007573594	4.46447645497175	0.00293161308598481	0.0454217940558329	TRUE	Up
