Sample	CBD_1	CBD_2	CBD_3	Eto_1	Eto_2	Eto_3	Merge_1	Merge_2	Merge_3	Mock_1	Mock_2	Mock_3
CBD_1	1	0.9742586066890335	0.9691053109852118	0.9365069253610447	0.9284048116286815	0.9406300452694935	0.927438996494107	0.9335225985025654	0.9420216659130125	0.9830163351415925	0.9803839626513523	0.9663948863080991
CBD_2	0.9742586066890335	1	0.9762409430604457	0.9459106302168975	0.9391977564781893	0.9425036852135795	0.9421354657379497	0.9477051877472149	0.9540006837008341	0.9688981862713386	0.9608884836221802	0.9424092014647703
CBD_3	0.9691053109852118	0.9762409430604457	1	0.9340960942355409	0.9262578999064169	0.9421890187832092	0.9181186669738247	0.9214016548682912	0.9448093160434661	0.9671909872714476	0.9646076217539502	0.9498681732591024
Eto_1	0.9365069253610447	0.9459106302168975	0.9340960942355409	1	0.9768174242754866	0.9720546582608003	0.9230720581555171	0.9299636257163835	0.9665739570772754	0.9345998378675078	0.9258816138133797	0.9165738776156306
Eto_2	0.9284048116286815	0.9391977564781893	0.9262578999064169	0.9768174242754866	1	0.9670245514653985	0.9134859347055969	0.929863027576015	0.9640399030355026	0.9320688473877441	0.9197913035002914	0.9036509155903617
Eto_3	0.9406300452694935	0.9425036852135795	0.9421890187832092	0.9720546582608003	0.9670245514653985	1	0.9100236313746923	0.9152465320222952	0.9750497248941957	0.9361856865487148	0.9360520347837363	0.9246943947412214
Merge_1	0.927438996494107	0.9421354657379497	0.9181186669738247	0.9230720581555171	0.9134859347055969	0.9100236313746923	1	0.9789227817277716	0.9340813306478057	0.9282253870027303	0.9032621190527588	0.902723098768117
Merge_2	0.9335225985025654	0.9477051877472149	0.9214016548682912	0.9299636257163835	0.929863027576015	0.9152465320222952	0.9789227817277716	1	0.9382409506561858	0.933260467615277	0.9062490934924939	0.8999240647456629
Merge_3	0.9420216659130125	0.9540006837008341	0.9448093160434661	0.9665739570772754	0.9640399030355026	0.9750497248941957	0.9340813306478057	0.9382409506561858	1	0.9353457601279617	0.9305717103464237	0.9150115493604543
Mock_1	0.9830163351415925	0.9688981862713386	0.9671909872714476	0.9345998378675078	0.9320688473877441	0.9361856865487148	0.9282253870027303	0.933260467615277	0.9353457601279617	1	0.9785540308997867	0.9667864410109518
Mock_2	0.9803839626513523	0.9608884836221802	0.9646076217539502	0.9258816138133797	0.9197913035002914	0.9360520347837363	0.9032621190527588	0.9062490934924939	0.9305717103464237	0.9785540308997867	1	0.9713779226765352
Mock_3	0.9663948863080991	0.9424092014647703	0.9498681732591024	0.9165738776156306	0.9036509155903617	0.9246943947412214	0.902723098768117	0.8999240647456629	0.9150115493604543	0.9667864410109518	0.9713779226765352	1
