category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	10/220	16/4257	6.782297882143306e-10	1.9533017900572722e-7	1.9533017900572722e-7	6307/10682/1595/2222/1717/6713/50814/6309/1718/7108	10
Organismal Systems	Digestive system	hsa04978	Mineral absorption	8/220	29/4257	7.484182811169151e-5	0.010777223248083577	0.010777223248083577	4501/2512/4494/4493/4495/481/4502/7779	8
