ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001944	vasculature development	73/1033	409/8616	2.5379617231160697e-4	0.020557489957240164	0.0182733244064357	GPC3/GPNMB/CTNNB1/DDIT3/ADAM10/B4GALT1/PDCD4/NKX3-1/RIN2/WNT5A/UBP1/SLC12A2/TMED2/SLIT2/COL1A1/SARS1/HK2/RHOB/ARID2/TWIST1/ANXA2/PDGFA/SYNJ2BP/SEMA5A/PRDM1/SGPL1/COL15A1/CD47/WARS1/CCL2/TJP1/EGR1/ACTG1/PDPN/MYLK/ITGB3/ROBO1/CAV1/MDM2/EMC10/ACTA2/LIPA/AMOTL1/CYBB/CLIC4/SAT1/TBXA2R/HIF1AN/XBP1/HIPK1/WNT4/CFLAR/CCL24/SNX17/ADTRP/SPARC/F3/TNFAIP2/HMOX1/CD34/ANP32B/EGLN1/LDLR/VEGFB/COL3A1/PDGFRA/CEMIP2/NSDHL/GLUL/DCTN5/BCAS3/CITED1/TEAD2	73
GO:0032365	intracellular lipid transport	12/1033	33/8616	2.635320372437218e-4	0.02096491474858537	0.018635479776520327	NPC2/ABCA1/GLTP/ANXA2/CPT1A/TMEM41B/CERT1/ABCG1/PIP4K2A/VPS53/STAR/LDLR	12
GO:0050801	monoatomic ion homeostasis	54/1033	282/8616	2.793245188476428e-4	0.021831416341513137	0.019405703414678344	FTL/MT1X/CALR/DDIT3/FKBP1A/LETM1/CHP1/ATP1B1/YWHAE/MT1F/WNT5A/FRRS1/PRND/STC1/MT1E/ATF4/KCNJ2/SLC12A2/CALM1/MT1G/RAP1GDS1/ATP6V0E1/ATP6V1G1/PDZD8/SLC39A10/ERO1A/GHITM/SLC30A1/FTH1/ITGB3/ATP6V1F/CAV1/SELENOK/SLC4A7/CLIC4/MT3/CACNB2/SLC30A7/TMBIM6/B2M/MT2A/SNCA/TMCO1/PLCB3/PDK4/SLC30A10/SMDT1/BTBD9/HMOX1/ATP1A1/EGLN1/PRNP/PPT1/SLC39A14	54
GO:0046686	response to cadmium ion	13/1033	38/8616	2.966866822204833e-4	0.02240235880156361	0.0199132078236121	MT1X/MT1F/MT1E/MT1G/SLC30A1/GPI/CYBB/MT3/DTYMK/MT2A/DAXX/HMOX1/PRNP	13
GO:0140238	presynaptic endocytosis	13/1033	38/8616	2.966866822204833e-4	0.02240235880156361	0.0199132078236121	ACTB/CTBP1/AP1G1/ARF6/CANX/ACTG1/STON2/TBC1D24/SH3GL1/SNCA/OPHN1/BTBD9/SYNJ2	13
GO:0008211	glucocorticoid metabolic process	7/1033	13/8616	3.1094648257770706e-4	0.02308777633139475	0.020522467850128668	REST/CYP17A1/YWHAH/H6PD/WNT4/STAR/ATP1A1	7
GO:0030001	metal ion transport	59/1033	317/8616	0.00032549457573433663	0.023771775981909337	0.021130467539474968	FTL/CTNNB1/DDIT3/FKBP1A/LETM1/CHP1/PPP3CA/ATP1B1/YWHAE/SFXN1/STC1/ATF4/KCNJ2/SLC12A2/SLC48A1/CALM1/ARHGAP1/ANXA2/SLC38A2/NIPAL3/SLC39A10/ERO1A/CCL2/SLC38A1/GHITM/FGF13/SLC30A1/SLC39A11/FTH1/MYLK/ITGB3/YWHAH/CAV1/SELENOK/TMCO3/CDK2/FMR1/SLC4A7/SLC38A6/SLC22A5/MT3/CACNB2/LGALS3/SLC3A2/SLC30A7/TMBIM6/B2M/SNCA/TMCO1/PLCB3/SLC30A10/SMDT1/AHCYL1/ATP1A1/SGK1/ORAI3/PRNP/MAGED2/SLC39A14	59
GO:0071456	cellular response to hypoxia	23/1033	91/8616	3.420466099506299e-4	0.02457770398919446	0.021846847990395074	NKX3-1/TP53/STC1/DNMT3A/TWIST1/MDM4/CPEB1/ERO1A/ACAA2/EGR1/HYOU1/MDM2/AK4/CYBB/MT3/EGLN3/TMBIM6/CFLAR/HMOX1/EGLN1/DDR2/MGARP/SLC29A1	23
GO:0050679	positive regulation of epithelial cell proliferation	25/1033	103/8616	3.7683358772944457e-4	0.02633560392584915	0.02340942571186591	CTNNB1/CDC42/B4GALT1/WNT5A/SOX11/SRSF6/HMGB1/ARNT/TWIST1/SEMA5A/RREB1/IQGAP3/ITGB3/SOX9/EMC10/IGF1/KDM5B/XBP1/CFLAR/CCL24/F3/HMOX1/NEAT1/VEGFB/ST8SIA1	25
GO:0046688	response to copper ion	9/1033	21/8616	3.78334152919045e-4	0.02633560392584915	0.02340942571186591	MT1X/MT1F/MT1E/MT1G/MT3/MT2A/SNCA/DAXX/PRNP	9
