ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0098771	inorganic ion homeostasis	26/356	241/8616	6.4830348798563685e-6	0.0012703336240897506	0.001120613231310353	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/TMCO1/FRRS1/RAP1GDS1/SMDT1/CAV1	26
GO:0055080	monoatomic cation homeostasis	28/356	278/8616	1.0673578800924562e-5	0.0019868866937921073	0.0017527139925728756	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/RAP1GDS1/SMDT1/CAV1	28
GO:0050801	monoatomic ion homeostasis	28/356	282/8616	1.3962779589803192e-5	0.0024754013529922517	0.0021836527478789956	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/RAP1GDS1/SMDT1/CAV1	28
GO:0048878	chemical homeostasis	40/356	484/8616	1.8413054108151653e-5	0.003115990929302209	0.0027487430056188115	MT1X/FTL/MT1F/MT1E/NPC2/MT1G/DDIT3/CALR/FKBP1A/NUCKS1/YWHAE/PPP3CA/TMEM97/CALM1/LETM1/ATP1B1/MT2A/INSR/PRND/SLC39A10/WNT5A/SLC12A2/SLC16A1/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/FOXK2/HK2/ABCA1/RAP1GDS1/ADNP/SMDT1/DDX3X/CAV1/MPC2	40
GO:0006882	intracellular zinc ion homeostasis	7/356	22/8616	1.9305937611666735e-5	0.0031250437273145767	0.002756728848897035	MT1X/MT1F/MT1E/MT1G/MT2A/SLC39A10/SLC30A1	7
GO:0060828	regulation of canonical Wnt signaling pathway	18/356	143/8616	2.2660552539210315e-5	0.003515218212645	0.0031009177158919377	CTNNB1/DDIT3/GPC3/FRMD8/AMFR/WNT5A/COL1A1/PPM1A/UBE2B/CSNK1A1/SOX9/TBL1XR1/ADNP/KPNA1/SMURF2/DDX3X/CAV1/PFDN5	18
GO:0030111	regulation of Wnt signaling pathway	20/356	180/8616	5.0470096953041234e-5	0.0075160068382469	0.006630176947094259	CTNNB1/DDIT3/SHISA2/GPC3/FRMD8/AMFR/WNT5A/COL1A1/PPM1A/UBE2B/PBXIP1/CSNK1A1/SOX9/TBL1XR1/ADNP/KPNA1/SMURF2/DDX3X/CAV1/PFDN5	20
GO:0071294	cellular response to zinc ion	5/356	12/8616	7.293472906792989e-5	0.010443692166150114	0.009212807882264829	MT1X/MT1F/MT1E/MT1G/MT2A	5
GO:0010043	response to zinc ion	7/356	27/8616	8.4053362311506e-5	0.011590024736508771	0.010224034713914181	MT1X/MT1F/MT1E/MT1G/MT2A/ASS1/SLC30A1	7
GO:0040017	positive regulation of locomotion	28/356	317/8616	1.14376278413872e-4	0.015207960161958767	0.013415563483130853	GPNMB/CALR/CDC42/PPP3CA/INSL3/JAM2/INSR/CARMIL1/ARF6/SLIT2/RIN2/WNT5A/COL1A1/ADAM10/MAZ/PDGFA/RREB1/RHOB/HMGB1/SOX9/TWIST1/SMURF2/PDPN/MYLK/MDM2/CAV1/LGALS3/BAG4	28
