probe_id	logFC	AveExpr	t	P.Value	adj.P.Val
7892502	1.8757434369795147	5.492528515173131	NA	NA	NA
7892506	1.572011752094947	5.191730364561067	NA	NA	NA
7892508	2.253813949504522	7.258252577496146	NA	NA	NA
7892510	2.381282773548249	4.682967079460433	NA	NA	NA
7892532	1.1485263346150614	4.645141362336083	NA	NA	NA
7892534	1.0279561170961662	6.52260558501354	NA	NA	NA
7892538	1.293422066441269	5.214629472926678	NA	NA	NA
7892539	1.590455511267037	5.175333354093313	NA	NA	NA
7892553	1.7527163966121462	3.83762660379062	NA	NA	NA
7892580	-1.5473130402714346	4.4483196606351125	NA	NA	NA
7892581	1.0512427667920878	4.037823047511167	NA	NA	NA
7892586	1.0194076567950052	3.9357759617658665	NA	NA	NA
7892587	1.0055749372015734	5.551601887177085	NA	NA	NA
7892595	1.309295047930969	5.790411692058669	NA	NA	NA
7892597	-1.19806489493108	6.371353132875898	NA	NA	NA
7892600	-1.2806426412918883	3.480490806061606	NA	NA	NA
7892609	-1.680031465417989	4.68643905262431	NA	NA	NA
7892610	1.2761576761334332	7.4220473420828466	NA	NA	NA
7892633	1.530584328922739	8.789192830472311	NA	NA	NA
7892664	1.0105763954938167	6.512581392908954	NA	NA	NA
7892672	1.173441600034951	5.787733746884925	NA	NA	NA
7892675	2.8225464160848963	5.302204619832409	NA	NA	NA
7892683	1.7563545301252006	6.226768673029948	NA	NA	NA
7892690	-1.0561979490595874	4.702005270960815	NA	NA	NA
7892702	1.2840807353403374	5.597746701125959	NA	NA	NA
7892705	1.3980771407422887	7.031566115997748	NA	NA	NA
7892706	2.172327298659508	7.312467091955908	NA	NA	NA
7892723	1.1081959816122318	4.088762075962456	NA	NA	NA
7892724	1.563544493816658	6.450527027481105	NA	NA	NA
7892727	1.7593252472717014	4.2778908221973975	NA	NA	NA
7892729	2.2436697190007173	5.093439123718054	NA	NA	NA
7892732	1.2481841276899273	7.816464691117401	NA	NA	NA
7892733	1.271172195388477	3.680846120159323	NA	NA	NA
7892740	2.8240105401966016	3.5336626541468243	NA	NA	NA
7892741	1.4410744574616245	7.07636530946618	NA	NA	NA
7892749	1.3583481302507163	5.090200005393426	NA	NA	NA
7892767	1.688347814407333	5.1105843568882685	NA	NA	NA
7892779	1.0687133746296222	5.072502196025687	NA	NA	NA
7892784	1.0544620496229138	4.812761352942168	NA	NA	NA
7892785	1.8171784166599818	4.0839686554009775	NA	NA	NA
7892812	1.340222356197696	6.465399905391625	NA	NA	NA
7892819	2.2082577017192477	3.2257862349081474	NA	NA	NA
7892825	1.4461118086820486	3.8623652271493882	NA	NA	NA
7892850	1.100558886924376	4.257054645537396	NA	NA	NA
7892858	-1.214288462060599	2.722741003323395	NA	NA	NA
7892864	1.5587601843333339	4.006557043416265	NA	NA	NA
7892866	1.4929577877054756	3.1342541785698352	NA	NA	NA
7892869	1.2217126962008003	7.791204454471826	NA	NA	NA
7892870	1.1373876530320324	9.846968472790653	NA	NA	NA
7892871	1.0986096274955317	6.0959263911654364	NA	NA	NA
7892873	1.095018030372065	3.2989143047292835	NA	NA	NA
7892877	1.3905402093822694	4.3385998876156	NA	NA	NA
7892879	2.1351928995235916	3.7210481087456753	NA	NA	NA
7892888	1.0978479346096393	5.9940257044139464	NA	NA	NA
7892897	-1.4281991798924487	8.657150164506932	NA	NA	NA
7892904	1.9636954253429533	4.751946672479747	NA	NA	NA
7892910	1.138826234677822	4.079792298179654	NA	NA	NA
7892914	1.14804189464222	6.194165160360809	NA	NA	NA
7892915	1.4436073856121974	8.70691274047433	NA	NA	NA
7892920	1.4108776218763328	9.632912943352586	NA	NA	NA
7892921	1.0947025413673832	3.539431496514851	NA	NA	NA
7892927	1.2734091774932663	3.8221921709219973	NA	NA	NA
