probe_id	logFC	AveExpr	t	P.Value	adj.P.Val
7892553	-1.5200236631535313	3.8958242727943513	NA	NA	NA
7892557	-1.6094297517709308	3.4627672290295033	NA	NA	NA
7892570	-1.1661173315073876	7.182820590013124	NA	NA	NA
7892582	-1.3611566665972417	3.242916493497399	NA	NA	NA
7892590	-2.3247925896481894	3.403797744730794	NA	NA	NA
7892603	-1.0976710326656995	4.948786220995953	NA	NA	NA
7892682	-1.5291312033437334	5.03043649120875	NA	NA	NA
7892709	-1.2790813014831617	2.99831654015113	NA	NA	NA
7892729	-1.269536430309067	6.083822901124258	NA	NA	NA
7892755	-1.0941138829784967	5.000862773961824	NA	NA	NA
7892779	-1.3320671870015026	5.799621676950473	NA	NA	NA
7892790	-1.1478895632109065	4.055450514433469	NA	NA	NA
7892795	-1.136653978123392	7.419599428612024	NA	NA	NA
7892833	-1.0011239509991028	3.327403637676537	NA	NA	NA
7892849	-1.032370270720552	4.2358743427960315	NA	NA	NA
7892854	-1.032067824042063	4.457721295069092	NA	NA	NA
7892864	-1.648299661419554	4.662908246799817	NA	NA	NA
7892867	-1.1353390179302298	5.438859436193694	NA	NA	NA
7892873	-1.696789868944521	4.358774115313004	NA	NA	NA
7892962	-1.039923061741466	5.11859159972907	NA	NA	NA
7892982	-4.221623187694368	4.536763266264563	NA	NA	NA
7892988	-1.400759116883314	3.057757775005282	NA	NA	NA
7892994	-1.0443370076130116	3.242656860288446	NA	NA	NA
7892995	-1.8155938256714865	4.907878046416722	NA	NA	NA
7893005	-1.0495483674695292	4.2155671806602175	NA	NA	NA
7893019	-1.0073222587114756	7.283920254706164	NA	NA	NA
7893078	-1.4690548026668306	3.0824163266093585	NA	NA	NA
7893115	-1.4870977156723786	3.9411571721890164	NA	NA	NA
7893117	-1.1819895753850642	4.005803229515311	NA	NA	NA
7893149	-1.2672657120675894	4.500678910718002	NA	NA	NA
7893177	-2.1585167714130824	6.343575257363847	NA	NA	NA
7893193	-1.9218808996854952	3.668975316164347	NA	NA	NA
7893206	-1.6592749225737613	6.813536954814095	NA	NA	NA
7893232	-1.0699811461636912	6.28325307242452	NA	NA	NA
7893241	-1.235346555551871	5.422943598782863	NA	NA	NA
7893245	-1.117449304357634	3.885382233297531	NA	NA	NA
7893260	-1.3270295924494384	5.456539212588933	NA	NA	NA
7893299	-1.07468067476628	5.46867502560019	NA	NA	NA
7893312	-1.3215093052585964	2.835495528892615	NA	NA	NA
7893323	-1.5473794037561195	3.2176954762032635	NA	NA	NA
7893380	-1.0265375596998716	7.390379382523584	NA	NA	NA
7893462	-1.461149737280878	5.416609025591564	NA	NA	NA
7893492	-1.8415602641892241	4.1292063761358895	NA	NA	NA
7893496	-1.1004024869028584	4.798027292640158	NA	NA	NA
7893548	-1.2889614956170403	5.541607063816759	NA	NA	NA
7893565	-1.6391242483417185	4.79526371660538	NA	NA	NA
