probe_id	logFC	AveExpr	t	P.Value	adj.P.Val
7892501	2.098113995335247	5.233332941883472	NA	NA	NA
7892588	1.0730820370719587	2.5958072772049006	NA	NA	NA
7892591	1.0107623056735084	2.552776859576474	NA	NA	NA
7892610	1.4518535902384961	7.963499314629518	NA	NA	NA
7892675	1.0658375402509357	5.675909531140841	NA	NA	NA
7892710	1.426719177838974	4.801859607989553	NA	NA	NA
7892728	1.498557791744418	4.727227113963128	NA	NA	NA
7892737	1.6518323256931522	4.424945538797292	NA	NA	NA
7892819	2.7914312174890843	4.0337011749284555	NA	NA	NA
7892927	1.3597343627223815	4.178324729584667	NA	NA	NA
7892945	1.0724968798945547	4.1660898309488745	NA	NA	NA
7892965	1.0462111754618983	3.031365242105795	NA	NA	NA
7892975	2.1395735977207577	3.2945835604709583	NA	NA	NA
7893017	1.0612287573947725	6.386190362923668	NA	NA	NA
7893044	1.0376502745366105	2.783287953727316	NA	NA	NA
7893078	1.437296151892939	2.9759528030710616	NA	NA	NA
7893108	1.2530744537161511	2.8838419539826674	NA	NA	NA
7893128	1.1313497837632918	7.719733358171082	NA	NA	NA
7893163	1.4456093712775244	3.103268304730618	NA	NA	NA
7893190	1.05415692377702	6.468058106801	NA	NA	NA
7893199	1.2394308388964728	2.5374508274543963	NA	NA	NA
7893301	1.491513366411242	3.0461414456529843	NA	NA	NA
7893318	1.2603806107190518	4.2690295475774525	NA	NA	NA
7893456	1.1383952851616264	4.430329242775824	NA	NA	NA
7893566	1.4110382124109617	3.3195003285859466	NA	NA	NA
7893597	1.1698274256849919	2.6712114486089433	NA	NA	NA
7893620	1.1189738048318687	3.063109413475055	NA	NA	NA
7893648	2.1918050424777134	5.015080035986195	NA	NA	NA
7893656	1.5919876192148266	3.7905922675853496	NA	NA	NA
7893839	1.1613634324327586	5.105929137908113	NA	NA	NA
7893863	1.0544894933194269	3.4579051186939145	NA	NA	NA
7893964	1.3579504742939577	5.077294035194917	NA	NA	NA
7893996	1.1042363630308438	2.645359576539329	NA	NA	NA
7894069	1.3911515993741577	3.894093857504207	NA	NA	NA
7894105	1.6280125263573315	4.519517380409602	NA	NA	NA
7894149	1.6326320039190145	4.468048682339839	NA	NA	NA
7894157	1.2524920870533265	6.188841080551912	NA	NA	NA
7894238	1.3438158661406776	4.8282374812308255	NA	NA	NA
7894259	1.245445792944544	3.6463584534946474	NA	NA	NA
7894319	1.1036687782428376	2.963069662218623	NA	NA	NA
7894393	1.396369012778771	3.406202307415301	NA	NA	NA
7894458	1.2969996586984252	3.9167321735559	NA	NA	NA
7894465	1.2937223809326346	3.7646778982781766	NA	NA	NA
7894564	1.196876581625265	2.345272647949048	NA	NA	NA
7894570	1.3763578337402302	6.467564492104046	NA	NA	NA
7894580	1.594073036135959	4.4929718385009725	NA	NA	NA
7894599	1.0145232171330765	8.259445125570672	NA	NA	NA
