probe_id	logFC	AveExpr	t	P.Value	adj.P.Val
7892580	-1.5473130402714346	4.4483196606351125	NA	NA	NA
7892597	-1.19806489493108	6.371353132875898	NA	NA	NA
7892600	-1.2806426412918883	3.480490806061606	NA	NA	NA
7892609	-1.680031465417989	4.68643905262431	NA	NA	NA
7892690	-1.0561979490595874	4.702005270960815	NA	NA	NA
7892858	-1.214288462060599	2.722741003323395	NA	NA	NA
7892897	-1.4281991798924487	8.657150164506932	NA	NA	NA
7892964	-1.3280947442710391	4.004379992342008	NA	NA	NA
7892970	-1.4678427929090976	5.186901045996152	NA	NA	NA
7893024	-1.7739192159329207	4.392954039910363	NA	NA	NA
7893108	-1.7676606210737504	3.2933965996466474	NA	NA	NA
7893161	-1.3911451936498551	3.6347176755793216	NA	NA	NA
7893211	-1.1495461148953083	5.06565477163916	NA	NA	NA
7893347	-1.0322455195128195	2.1455036966252523	NA	NA	NA
7893388	-1.1773649642277202	4.414117987871931	NA	NA	NA
7893431	-1.0444187301966918	4.146341648903023	NA	NA	NA
7893450	-1.0255964741221484	4.263393060127207	NA	NA	NA
7893537	-1.556568600551187	4.71469634710574	NA	NA	NA
7893702	-1.1258631282228704	2.8827246131245334	NA	NA	NA
7893863	-1.2822443720495227	3.019269669241374	NA	NA	NA
7893865	-1.1454076292647226	4.738138886041184	NA	NA	NA
7893996	-1.2319473439459205	4.193414610661713	NA	NA	NA
7894002	-1.0921372176634554	6.039902004892406	NA	NA	NA
7894038	-2.4179714396171943	5.055409039723912	NA	NA	NA
7894047	-1.510125081117537	3.710769095044023	NA	NA	NA
7894105	-1.1651944043374955	4.9906188865435315	NA	NA	NA
7894123	-1.1902387080835157	3.039676121469312	NA	NA	NA
7894143	-1.1645687961971753	2.9895896970629003	NA	NA	NA
7894163	-1.594111588004675	6.170326519459	NA	NA	NA
7894166	-1.220458459644035	2.938904513203151	NA	NA	NA
7894243	-1.167174625831107	2.59176538963683	NA	NA	NA
7894253	-1.0263156196772618	4.8086239007220435	NA	NA	NA
7894259	-1.1113972164446335	4.210729769228165	NA	NA	NA
7894287	-1.6174474476487166	5.119269540568978	NA	NA	NA
7894334	-1.8587625962743495	3.035846292767621	NA	NA	NA
7894362	-2.0506516630041904	3.8025779642405926	NA	NA	NA
7894419	-1.417809906665119	7.638752248850805	NA	NA	NA
7894534	-1.0123312198023116	3.41877240741072	NA	NA	NA
7894636	-1.118632877456624	3.1690077232017053	NA	NA	NA
7894780	-1.1059692955813292	3.7769304379771067	NA	NA	NA
7894867	-1.0407187781611134	6.7315940536669	NA	NA	NA
7894893	-1.2970138593305878	3.0373063393772317	NA	NA	NA
7895058	-1.6180087270558539	4.10582197552305	NA	NA	NA
7895064	-1.1410866542631308	3.377288438368903	NA	NA	NA
7895076	-1.2267737811140322	2.7150789737187866	NA	NA	NA
7895136	-4.5083995481125925	4.663766063166069	NA	NA	NA
7895152	-1.210802405112552	4.5406301574573105	NA	NA	NA
7895228	-2.0239289394593256	4.825330818611109	NA	NA	NA
7895565	-1.0155894600628166	2.6537893334446085	NA	NA	NA
7895691	-1.2160845104587459	9.782162300823297	NA	NA	NA
7895700	-1.6538951747967126	3.0509769435523335	NA	NA	NA
7895804	-1.0928506271230214	3.611039384658889	NA	NA	NA
7895995	-1.2023937629277475	8.3710882083866	NA	NA	NA
7896006	-1.103749235668419	3.2635231284382495	NA	NA	NA
7896011	-1.0907349602630054	2.93485549488273	NA	NA	NA
7896032	-1.1278078423203555	5.014164236332945	NA	NA	NA
7896079	-1.2825067621850739	4.9105311627563255	NA	NA	NA
7896199	-1.2092521969237646	6.0600830464946025	NA	NA	NA
7896215	-2.0155905656629907	2.8701292481191945	NA	NA	NA
7896232	-1.2665086166060302	5.262755971750487	NA	NA	NA
7896283	-1.5100910542664066	3.8941598883853614	NA	NA	NA
7896344	-1.1950788776448356	2.9053637795100835	NA	NA	NA
7896555	-1.2791216493346176	3.6546067850241784	NA	NA	NA
7896665	-1.7739299583682815	2.623414201656602	NA	NA	NA
7896687	-1.5117798556568944	7.39511345005484	NA	NA	NA
7896688	-1.0039358833436847	10.502868919717216	NA	NA	NA
7896703	-2.0135368591994016	6.543476793237979	NA	NA	NA
7896704	-1.7876869679119824	9.441090567943363	NA	NA	NA
7896752	-1.0113600695816736	9.341658992591366	NA	NA	NA
7896817	-1.3216833032968047	8.762572644636327	NA	NA	NA
7897801	-1.4416075845013765	8.869644303780142	NA	NA	NA
7900167	-1.368554618301383	8.261418024786646	NA	NA	NA
7900699	-1.2956597273549573	9.755546139711225	NA	NA	NA
7901010	-1.573421329419384	7.578878336432143	NA	NA	NA
7902541	-1.2444689446302029	11.989932446369659	NA	NA	NA
7902553	-1.34273475213236	9.943293185775442	NA	NA	NA
7902913	-1.3635405371921845	8.09571995122688	NA	NA	NA
7903090	-1.121604411423672	2.656174541537893	NA	NA	NA
7905085	-1.4002879230013825	10.483819079513054	NA	NA	NA
7906205	-1.2471258800635479	10.906008250330796	NA	NA	NA
7906501	-1.657688600328381	10.002276422248668	NA	NA	NA
7906757	-1.420356064851342	5.627698714087248	NA	NA	NA
7906775	-1.0292528329495134	9.480798871360351	NA	NA	NA
7906786	-1.6549402619558764	8.55913667940761	NA	NA	NA
7906930	-1.6021600731826409	7.494534673894167	NA	NA	NA
7907183	-1.2339506158328426	7.749023008064386	NA	NA	NA
7908459	-2.0796156211060888	8.369612538615842	NA	NA	NA
7908488	-1.7368381691220698	5.812813592724819	NA	NA	NA
