probe_id	logFC	AveExpr	t	P.Value	adj.P.Val
7892508	-1.09634535329082	6.073166719238771	NA	NA	NA
7892518	-1.0069098968794616	3.848142226494743	NA	NA	NA
7892587	-1.0983459800147495	4.48598855043968	NA	NA	NA
7892595	-1.3148008047184856	5.563743910629471	NA	NA	NA
7892647	-1.4301338254118043	5.030736820407073	NA	NA	NA
7892649	-1.1109495954176651	5.772970788322186	NA	NA	NA
7892666	-1.3618822448218841	3.569958456751389	NA	NA	NA
7892690	-1.1353749337063874	4.161012091962667	NA	NA	NA
7892695	-1.2669795429403221	4.904537683323262	NA	NA	NA
7892730	-1.7721534343183496	4.034738516160075	NA	NA	NA
7892735	-1.276490533790346	3.307923632875722	NA	NA	NA
7892740	-1.2422485171310682	2.7730487216015725	NA	NA	NA
7892759	-1.5662636078989909	4.787053925152599	NA	NA	NA
7892774	-1.0854827476023265	5.941159296139945	NA	NA	NA
7892787	-1.6151413387945492	5.28155022725351	NA	NA	NA
7892813	-1.0533883727159217	2.651545164696814	NA	NA	NA
7892821	-1.025328865165966	2.9760884754731913	NA	NA	NA
7892826	-1.2373633009204683	4.538802834727845	NA	NA	NA
7892849	-1.2992081524129246	4.016294540979895	NA	NA	NA
7892873	-1.5693179676426672	4.04595791723299	NA	NA	NA
7892877	-1.1084748946178058	4.277416573017472	NA	NA	NA
7892917	-1.216022716267469	5.416828790847894	NA	NA	NA
7892952	-1.1219582111489137	6.66219100760523	NA	NA	NA
7892961	-1.1283797219948228	6.660650133550831	NA	NA	NA
7892974	-1.4100124125339546	5.478850971542716	NA	NA	NA
7892976	-1.1702675713004274	3.76324539190836	NA	NA	NA
7892978	-1.374296410282045	6.857745608505141	NA	NA	NA
7892990	-1.6586342493871555	5.8793036329240795	NA	NA	NA
7893005	-2.2594597320543643	3.196554981091308	NA	NA	NA
7893028	-2.267958134136098	4.506155054305628	NA	NA	NA
7893034	-1.237800970007382	6.216863978687035	NA	NA	NA
7893040	-1.0551472907872164	6.699113756628108	NA	NA	NA
7893052	-1.1279795034585938	4.422620824454231	NA	NA	NA
7893062	-1.3116654807967212	5.543725247593276	NA	NA	NA
7893063	-1.060444309386912	5.506301744988743	NA	NA	NA
7893076	-1.9175311375365158	5.043293867869962	NA	NA	NA
7893088	-1.3881962234286958	5.246096703842648	NA	NA	NA
7893093	-1.778754976867699	3.5968323589943054	NA	NA	NA
7893099	-1.2426808232981061	6.310719535701004	NA	NA	NA
