logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
-1.6000864823317453	3.0576413288893702	-7.873981858841718	7.828188722485405e-6	3.396688214562926e-4	3.974548494769662	ENSG00000146049	Merge_vs_Mock	Down
-1.6482159706316204	3.026102624517027	-7.827989006769643	8.272323719469694e-6	3.554386962086896e-4	3.9173946976618677	ENSG00000022567	Merge_vs_Mock	Down
-1.9916508969269358	1.4367819333956864	-7.811864566083162	8.434393585635813e-6	3.6043280849920866e-4	3.8972967830900487	ENSG00000250799	Merge_vs_Mock	Down
-1.2566780500231096	2.437747488819053	-7.7969256729869905	8.587601325429894e-6	3.6401244863533834e-4	3.878648401488885	ENSG00000151503	Merge_vs_Mock	Down
-1.0405257095675702	2.6809760980772124	-7.782033788087163	8.743313350425227e-6	3.6763996189515273e-4	3.8600316910121375	ENSG00000180318	Merge_vs_Mock	Down
-3.255788629158578	4.3920944479443085	-7.744269988723786	9.151971606871138e-6	3.8176102251898016e-4	3.812701020155613	ENSG00000021826	Merge_vs_Mock	Down
-1.2174510986981764	1.050132303779842	-7.700265517968963	9.654271850276969e-6	4.005885992545003e-4	3.7573285285935363	ENSG00000143473	Merge_vs_Mock	Down
-1.0648849609135076	3.7005454833033418	-7.666896212904714	1.005493990115894e-5	4.128563574037219e-4	3.7151799774572325	ENSG00000197905	Merge_vs_Mock	Down
-1.150631494056296	5.858810803951897	-7.652439219749014	1.0234050353135385e-5	4.185591425830104e-4	3.696876796934408	ENSG00000129116	Merge_vs_Mock	Down
-1.9286419040158291	3.9369209436105486	-7.621413171904261	1.0630136069703177e-5	4.286397944414158e-4	3.657509171705019	ENSG00000128283	Merge_vs_Mock	Down
-1.189874009378226	1.7593112118590675	-7.585547956551319	1.1108662818666934e-5	4.4451611065230584e-4	3.6118524534667937	ENSG00000080839	Merge_vs_Mock	Down
-2.0689180051485208	2.5789641799128558	-7.561888845551316	1.1436987915299968e-5	4.5296749796662917e-4	3.581646512939809	ENSG00000242574	Merge_vs_Mock	Down
-1.7096178320714581	2.0496802948177697	-7.55155534629723	1.1583651395488731e-5	4.5655263620414984e-4	3.5684316492142987	ENSG00000170482	Merge_vs_Mock	Down
-1.116093231748064	3.9243331929386276	-7.5437030862492325	1.1696451199271479e-5	4.5869923082230243e-4	3.5583809570349416	ENSG00000065268	Merge_vs_Mock	Down
-1.0163175507481772	4.016550334206545	-7.529032703592708	1.1910373807442819e-5	4.6133630171390583e-4	3.5395825551222018	ENSG00000293339	Merge_vs_Mock	Down
-1.7044527663228868	5.650438501794173	-7.4904272693760445	1.2493684914794043e-5	4.7824890562732847e-4	3.4899850834915664	ENSG00000099783	Merge_vs_Mock	Down
-1.0786675587164687	1.3126570212561297	-7.42920502091795	1.3482652215530065e-5	5.084608842720043e-4	3.4109460153801976	ENSG00000172164	Merge_vs_Mock	Down
-1.3319103388032465	3.3924199975692617	-7.4137213184479895	1.3745893193511523e-5	5.156876649002427e-4	3.390881101631342	ENSG00000166965	Merge_vs_Mock	Down
-1.1306410078241003	1.6723778357077899	-7.413044713421708	1.3757521575553681e-5	5.156876649002427e-4	3.3900036134349243	ENSG00000161692	Merge_vs_Mock	Down
-1.332115328098657	4.316675272479404	-7.412164912866581	1.377265797139145e-5	5.156876649002427e-4	3.3888625142582054	ENSG00000158089	Merge_vs_Mock	Down
-1.337283689603944	3.7144626001339893	-7.404999735351855	1.3896598975431461e-5	5.178623589754388e-4	3.3795656347064575	ENSG00000123066	Merge_vs_Mock	Down
-1.4131470928682832	4.695521493507242	-7.400213319137612	1.3980060698593477e-5	5.185951967170946e-4	3.3733515828222522	ENSG00000123136	Merge_vs_Mock	Down
-2.3038561982048704	4.044091476582667	-7.397520370289498	1.402725497660937e-5	5.185951967170946e-4	3.3698541322625655	ENSG00000164104	Merge_vs_Mock	Down
-1.6504237234305659	1.8710286561199205	-7.386625807476643	1.4219939163480556e-5	5.1893765258703e-4	3.3556954674896744	ENSG00000167513	Merge_vs_Mock	Down
-1.60005312387405	3.708032315109503	-7.384533583144274	1.42572674748748e-5	5.1893765258703e-4	3.352974665402334	ENSG00000182985	Merge_vs_Mock	Down
-1.547804556537551	2.9061710411433967	-7.383804927866652	1.4270292461974276e-5	5.1893765258703e-4	3.352026965532252	ENSG00000014138	Merge_vs_Mock	Down
-1.3847525198890511	4.083165697623127	-7.383082184102022	1.4283224416727558e-5	5.1893765258703e-4	3.3510868874373845	ENSG00000119403	Merge_vs_Mock	Down
-1.5324721842709508	1.804693504072975	-7.37268256748987	1.4470704838551774e-5	5.231409294047476e-4	3.337552658288777	ENSG00000120334	Merge_vs_Mock	Down
-1.6581212699347905	4.659449601646626	-7.350652746836205	1.4876645668086662e-5	5.31704840400752e-4	3.3088371078039387	ENSG00000113448	Merge_vs_Mock	Down
-1.6990581153335769	1.6098283960029123	-7.3466875674734045	1.4951002883688474e-5	5.319445053142193e-4	3.3036619685834676	ENSG00000142484	Merge_vs_Mock	Down
-1.241078459216724	3.487413514115384	-7.313517968472619	1.5588894682270134e-5	5.472119593155806e-4	3.2602919237755046	ENSG00000131470	Merge_vs_Mock	Down
-1.5974563884701007	4.655127240086109	-7.297812864018644	1.5901072499530196e-5	5.544573528328422e-4	3.2397078853562054	ENSG00000145555	Merge_vs_Mock	Down
-1.8175225131181927	6.6506696198207695	-7.279180496104437	1.628017610392261e-5	5.643859555098269e-4	3.215246063623283	ENSG00000115414	Merge_vs_Mock	Down
-1.090412189623297	2.0057323434979217	-7.278535255794515	1.6293477286116074e-5	5.643859555098269e-4	3.21439814808703	ENSG00000162063	Merge_vs_Mock	Down
-1.7005771428304932	6.126661111846975	-7.248475541854707	1.692626940097899e-5	5.786576360865121e-4	3.1748369095066433	ENSG00000075223	Merge_vs_Mock	Down
-2.41029790651429	2.982047476408379	-7.241488900801126	1.7077096792234227e-5	5.813187890684684e-4	3.1656251586102044	ENSG00000120211	Merge_vs_Mock	Down
-1.2122801622375308	3.227113096678116	-7.2397432477174295	1.711500695273438e-5	5.813187890684684e-4	3.1633225631366244	ENSG00000149554	Merge_vs_Mock	Down
-1.5373523491163885	0.7900298274399059	-7.226707384347669	1.7400980492985505e-5	5.884899338337421e-4	3.1461151996555046	ENSG00000291314	Merge_vs_Mock	Down
-1.3530922205164213	2.543548825979259	-7.218122151875636	1.759211982442977e-5	5.911403341003901e-4	3.134770655415716	ENSG00000126215	Merge_vs_Mock	Down
-1.0570102684130473	4.747872540112402	-7.195419491553072	1.8108519052749383e-5	6.033359547108831e-4	3.1047252387639848	ENSG00000168476	Merge_vs_Mock	Down
-2.4260225818759715	1.795882316013908	-7.191451097234408	1.820044524754716e-5	6.036648122665349e-4	3.099466467046721	ENSG00000165887	Merge_vs_Mock	Down
-1.0456957293382734	1.785994034811326	-7.190027315821336	1.8233548634529063e-5	6.036648122665349e-4	3.09757922468199	ENSG00000183814	Merge_vs_Mock	Down
-1.7944747694445862	1.7317923704177476	-7.175534565733629	1.857421385111152e-5	6.12364962311488e-4	3.078353874825863	ENSG00000161888	Merge_vs_Mock	Down
-1.2365152047694297	4.3929000475144875	-7.144898705593545	1.93170492868234e-5	6.289439277113557e-4	3.037623815633051	ENSG00000127191	Merge_vs_Mock	Down
-1.636740469745944	5.132167457157038	-7.1158037763955795	2.0052126259415673e-5	6.461879867942026e-4	2.9988288996946615	ENSG00000136997	Merge_vs_Mock	Down
-1.3157950179608102	1.5647592217012767	-7.099585839697785	2.047486109292517e-5	6.557793595668864e-4	2.9771559282148115	ENSG00000144642	Merge_vs_Mock	Down
-1.0801829897545165	2.1396685754026716	-7.067786853504713	2.133176552663473e-5	6.731198609985479e-4	2.9345608552854614	ENSG00000187741	Merge_vs_Mock	Down
-1.184657214848397	3.9938094830667583	-7.067629930370933	2.1336088496020787e-5	6.731198609985479e-4	2.934350325384383	ENSG00000127337	Merge_vs_Mock	Down
-1.3679870990814096	1.6051712324781675	-7.064514811958439	2.14220997410722e-5	6.737678810562029e-4	2.930170375310631	ENSG00000285077	Merge_vs_Mock	Down
-1.919835694422301	5.50687993332878	-7.037513491929513	2.218341855174364e-5	6.894396050290918e-4	2.89388568993078	ENSG00000088992	Merge_vs_Mock	Down
