entrez_final	symbol	ensgene	log2FoldChange	padj	description
767	CA8	ENSG00000178538	4.432440683847192	6.054685793731238e-193	carbonic anhydrase 8
1312	COMT	ENSG00000093010	2.94828559441907	2.4638671135124968e-176	catechol-O-methyltransferase
1692	NA	NA	3.678945407012377	4.26645320674349e-154	NA
554	AVPR2	ENSG00000126895	6.8652954866444125	9.692213323752832e-143	arginine vasopressin receptor 2
1329	COX5B	ENSG00000135940	4.043235925602119	4.564112378327946e-115	cytochrome c oxidase subunit 5B
3999	NA	NA	2.3719642576724804	1.755052610350027e-107	NA
2938	GSTA1	ENSG00000243955	2.921323821429395	1.515494980088963e-104	glutathione S-transferase alpha 1
6912	NA	NA	2.988152077309672	1.3435969151400221e-96	NA
422	NA	NA	2.6114898639209656	2.1603223876960285e-82	NA
1660	DHX9	ENSG00000135829	3.7176286732484125	9.952349750381364e-81	DExH-box helicase 9
2049	EPHB3	ENSG00000182580	11.448029105656905	1.1576421644260648e-79	EPH receptor B3
6003	RGS13	ENSG00000127074	3.6306097955982732	1.5993406416945185e-79	regulator of G protein signaling 13
2421	FRA8C	NA	1.778578104418584	6.972306355263353e-71	fragile site, aphidicolin type, common, fra(8)(q24.1)
419	ART3	ENSG00000156219	3.5095051190345417	8.127334879865796e-71	ADP-ribosyltransferase 3 (inactive)
9254	CACNA2D2	ENSG00000007402	3.6391372295550695	4.377603238968765e-70	calcium voltage-gated channel auxiliary subunit alpha2delta 2
3650	NA	NA	5.012350972100389	4.957876591816979e-69	NA
1310	COL19A1	ENSG00000082293	2.657453383388406	9.714563930897365e-69	collagen type XIX alpha 1 chain
10340	H2BC16P	ENSG00000217646	6.3226948585392115	5.455014029241708e-65	H2B clustered histone 16, pseudogene
9004	NA	NA	2.6867619931948092	9.768840742629346e-64	NA
1331	COX5BP2	ENSG00000213111	2.146006132758163	2.3269494901642645e-63	cytochrome c oxidase subunit 5B pseudogene 2
8681	JMJD7-PLA2G4B	ENSG00000168970	2.6893556044764035	8.78369607354561e-63	JMJD7-PLA2G4B readthrough
1539	CYLC2	ENSG00000155833	1.7169104138655857	1.2971348162213008e-62	cylicin 2
9305	NA	NA	2.837864107748146	2.5263337774007575e-60	NA
3976	LIF	ENSG00000128342	2.3212175375606585	3.125676359410385e-59	LIF interleukin 6 family cytokine
7455	ZAN	ENSG00000146839	-2.918391423178259	6.225460099291483e-56	zonadhesin
196	AHR	ENSG00000106546	1.8902534550094408	8.220882477775532e-56	aryl hydrocarbon receptor
1571	CYP2E1	ENSG00000130649	3.2589818236373156	1.9980510515738593e-52	cytochrome P450 family 2 subfamily E member 1
1138	CHRNA5	ENSG00000169684	2.2951374810196485	1.0248905089675554e-51	cholinergic receptor nicotinic alpha 5 subunit
883	KYAT1	ENSG00000171097	1.4362749163868904	1.6095812012458725e-51	kynurenine aminotransferase 1
1328	NA	NA	4.543225501490498	3.672464540171056e-50	NA
7390	UROS	ENSG00000188690	4.513712091031177	1.8393587888033284e-49	uroporphyrinogen III synthase
1617	DAZ1	ENSG00000188120	1.9540297715663593	2.0615269598026477e-49	deleted in azoospermia 1
6896	TARBP2P1	NA	-2.332557953869623	1.9550285660064757e-48	TARBP2 pseudogene 1
6433	SFSWAP	ENSG00000061936	-2.9215243035803398	2.3226645731360555e-48	splicing factor SWAP
236	AKR1B1P2	NA	4.252660317971162	3.389837970758782e-48	aldo-keto reductase family 1 member B1 pseudogene 2
136	ADORA2B	ENSG00000170425	1.2934897177987081	9.434354486024064e-47	adenosine A2b receptor
2986	GUCY2F	ENSG00000101890	12.0243004253303	1.6722979995049059e-46	guanylate cyclase 2F, retinal
5432	POLR2C	ENSG00000102978	2.8955477894104744	1.8214958619411324e-45	RNA polymerase II subunit C
17	AAVS1	NA	2.404922566335863	9.860900432549439e-45	adeno-associated virus integration site 1
15	AANAT	ENSG00000129673	7.208542158632403	1.7308857173335225e-43	aralkylamine N-acetyltransferase
610	HCN2	ENSG00000099822	1.5341300957330197	5.5279443473585545e-43	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
3143	NA	NA	1.7775639237448935	2.7566491359287365e-42	NA
8822	FGF17	ENSG00000158815	2.9490759689697694	6.717126845610296e-42	fibroblast growth factor 17
7	NA	NA	2.32193919093102	1.3005161826178005e-40	NA
9072	NA	NA	3.3867640773680723	2.149252426169302e-39	NA
6556	SLC11A1	ENSG00000018280	3.502635359166386	2.504554111339287e-39	solute carrier family 11 member 1
1852	DUSP9	ENSG00000130829	1.6123662537872	4.407837738914025e-39	dual specificity phosphatase 9
867	CBL	ENSG00000110395	1.421523010461453	1.846456146824427e-38	Cbl proto-oncogene
2208	FCER2	ENSG00000104921	-2.072167469840179	1.846580887603162e-38	Fc epsilon receptor II
8916	HERC3	ENSG00000138641	-3.9443133101955468	2.6133038385104195e-38	HECT and RLD domain containing E3 ubiquitin protein ligase 3
3056	HCL1	NA	2.909191321390115	1.3877197238224108e-37	hair color 1 (brown)
572	BAD	ENSG00000002330	3.6547830065797617	3.542669354014842e-37	BCL2 associated agonist of cell death
1179	CLCA1	ENSG00000016490	3.0883140319331197	3.918844517207699e-37	chloride channel accessory 1
737	NA	NA	1.2272924891368013	1.0812522541260248e-36	NA
2268	FGR	ENSG00000000938	-1.2353763844850751	2.6840812447634096e-36	FGR proto-oncogene, Src family tyrosine kinase
248	ALPI	ENSG00000163295	2.061262119263962	1.6692369244818118e-35	alkaline phosphatase, intestinal
3535	IGL	NA	2.5578744360885337	2.5483223079810844e-35	immunoglobulin lambda locus
8129	HBHR	NA	-1.9693698080166813	2.8701631309418747e-35	alpha-thalassemia/mental retardation syndrome, type 1
256	NA	NA	2.2540323863394565	3.4482467089231394e-35	NA
8605	PLA2G4C	ENSG00000105499	3.040031836213534	3.4482467089231394e-35	phospholipase A2 group IVC
3030	HADHA	ENSG00000084754	-1.525107642131407	1.4203955884790753e-34	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
5036	PA2G4	ENSG00000170515	2.5067723134255173	1.4966454300070534e-34	proliferation-associated 2G4
11138	TBC1D8	ENSG00000204634	-2.830895069279623	1.6680124654977198e-34	TBC1 domain family member 8
1298	COL9A2	ENSG00000049089	-1.915878936626615	1.977893272602316e-34	collagen type IX alpha 2 chain
5862	RAB2A	ENSG00000104388	4.852973834744038	2.2661704518046095e-34	RAB2A, member RAS oncogene family
538	ATP7A	ENSG00000165240	1.494743557799217	2.4045642441802347e-34	ATPase copper transporting alpha
8758	NA	NA	2.7658394714583348	2.4045642441802347e-34	NA
2299	FOXI1	ENSG00000168269	-1.6312624206413044	2.4337003733646884e-34	forkhead box I1
4948	OCA2	ENSG00000104044	1.7096511779387153	2.7135002624955697e-34	OCA2 melanosomal transmembrane protein
503	NA	NA	2.990557465876654	4.967027004511272e-34	NA
558	AXL	ENSG00000167601	1.3062345889876663	8.477354081788103e-34	AXL receptor tyrosine kinase
3797	KIF3C	ENSG00000084731	1.6181058048930528	1.5414928830861874e-33	kinesin family member 3C
6920	TCEA3	ENSG00000204219	1.4351141987042695	8.343404074210356e-33	transcription elongation factor A3
2972	BRF1	ENSG00000185024	2.0582156983376705	2.330436871278643e-32	BRF1 RNA polymerase III transcription initiation factor subunit
1593	CYP27A1	ENSG00000135929	2.226703068046138	3.09187580714002e-32	cytochrome P450 family 27 subfamily A member 1
8526	DGKE	ENSG00000153933	14.69261124289039	4.010894366427752e-32	diacylglycerol kinase epsilon
5572	NA	NA	-1.8367160100073765	6.63212062286355e-32	NA
10848	PPP1R13L	ENSG00000104881	-2.5878408278075917	1.5981123030160851e-31	protein phosphatase 1 regulatory subunit 13 like
8325	FZD8	ENSG00000177283	2.73380919348874	1.8770895731149475e-31	frizzled class receptor 8
11850	NA	NA	5.273413989400259	2.244729422581236e-31	NA
1186	CLCN7	ENSG00000103249	5.883107938431718	3.960335313975229e-31	chloride voltage-gated channel 7
6573	SLC19A1	ENSG00000173638	-1.8362374395933898	4.471296749722032e-31	solute carrier family 19 member 1
8643	PTCH2	ENSG00000117425	2.6480873095835378	4.471296749722032e-31	patched 2
4656	MYOG	ENSG00000122180	2.2775819026826407	7.408135424217909e-31	myogenin
4200	ME2	ENSG00000082212	2.6882328468987255	8.982153456176841e-31	malic enzyme 2
8669	EIF3J	ENSG00000104131	2.0721083024319356	9.103003972835823e-31	eukaryotic translation initiation factor 3 subunit J
11936	NA	NA	5.780421548483212	1.2444337508161085e-30	NA
2668	GDNF	ENSG00000168621	1.9456115570324957	2.8846729880197863e-30	glial cell derived neurotrophic factor
6949	TCOF1	ENSG00000070814	-3.0710751559494547	2.8846729880197863e-30	treacle ribosome biogenesis factor 1
4298	MLLT1	ENSG00000130382	-1.741746216185325	4.007999102644241e-30	MLLT1 super elongation complex subunit
3624	INHBA	ENSG00000122641	2.1504773024894925	4.0142052430989296e-30	inhibin subunit beta A
1499	CTNNB1	ENSG00000168036	2.524986853337232	5.062103471561066e-30	catenin beta 1
4548	MTR	ENSG00000116984	2.4867596444805504	5.190718054831695e-30	5-methyltetrahydrofolate-homocysteine methyltransferase
5946	NA	NA	1.5131819633550143	9.201158714828876e-30	NA
4678	NASP	ENSG00000132780	1.5822329164617344	1.4479378586785198e-29	nuclear autoantigenic sperm protein
1663	DDX11	ENSG00000013573	1.9369930060229388	1.54294314793618e-29	DEAD/H-box helicase 11
2738	GLI4	ENSG00000250571	1.156044169399975	2.716260078356191e-29	GLI family zinc finger 4
195	NA	NA	1.4522739822941542	3.285860747773395e-29	NA
2779	GNAT1	ENSG00000114349	2.0746471697127853	4.117560978143812e-29	G protein subunit alpha transducin 1
3942	NA	NA	-2.3708156960390108	1.2373456012442332e-28	NA
1545	CYP1B1	ENSG00000138061	-1.1312609258519717	2.5981531343983553e-28	cytochrome P450 family 1 subfamily B member 1
454	ASS1P9	ENSG00000217791	-2.098031670840347	3.0913142670478723e-28	argininosuccinate synthetase 1 pseudogene 9
2752	GLUL	ENSG00000135821	1.9105030621101198	3.362810968669384e-28	glutamate-ammonia ligase
3347	HTN3	ENSG00000205649	1.8626238355938007	6.58811445462955e-28	histatin 3
2786	GNG4	ENSG00000168243	2.2243692347207586	9.734024056235794e-28	G protein subunit gamma 4
1020	CDK5	ENSG00000164885	2.055504470850675	1.2410772562063184e-27	cyclin dependent kinase 5
3714	JAG2	ENSG00000184916	1.659287430255033	3.5993747219562606e-27	jagged canonical Notch ligand 2
189	AGXT	ENSG00000172482	1.314423051685517	5.125285003530802e-27	alanine--glyoxylate aminotransferase
2650	GCNT1	ENSG00000187210	-1.2884606093686768	6.182491097695405e-27	glucosaminyl (N-acetyl) transferase 1
6664	SOX11	ENSG00000176887	4.008783345281637	8.644276798588573e-27	SRY-box transcription factor 11
1192	CLIC1	ENSG00000213719	1.7617256347137649	9.103319754230961e-27	chloride intracellular channel 1
3938	LCT	ENSG00000115850	1.9521659726162468	2.248436694429755e-26	lactase
10926	DBF4	ENSG00000006634	4.6200158323738805	2.2743064160440714e-26	DBF4 zinc finger
601	BAK1P2	NA	-1.3895169887369736	2.3040676945255565e-26	BCL2 antagonist/killer 1 pseudogene 2
6001	RGS10	ENSG00000148908	2.743218087162794	2.5837598046527864e-26	regulator of G protein signaling 10
2884	GPX1P2	NA	1.6656252955661166	2.8118624390609994e-26	glutathione peroxidase pseudogene 2
4248	MGAT3	ENSG00000128268	2.191854471358794	3.4344024579920085e-26	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
6358	CCL14	ENSG00000276409	-2.548953717062921	7.673242242517938e-26	C-C motif chemokine ligand 14
4447	NA	NA	2.0908215603941005	9.074373739486459e-26	NA
3337	DNAJB1	ENSG00000132002	1.1625865849342611	1.8489047307464141e-25	DnaJ heat shock protein family (Hsp40) member B1
2250	FGF5	ENSG00000138675	-3.1716811342701186	1.8839276737916585e-25	fibroblast growth factor 5
3011	NA	NA	1.2468009607244381	2.07125357218144e-25	NA
5068	REG3A	ENSG00000172016	1.37293236191325	2.314762643989336e-25	regenerating family member 3 alpha
1515	CTSV	ENSG00000136943	2.0300610990439756	2.3257025089358726e-25	cathepsin V
3438	IFN1@	NA	1.3727173476944534	2.5263163382254586e-25	interferon, type 1, cluster
2407	FRA6G	NA	-1.6465091811213675	7.48534308508211e-25	fragile site, aphidicolin type, common, fra(6)(q15)
1632	ECI1	ENSG00000167969	1.4904560603238048	7.935380597430689e-25	enoyl-CoA delta isomerase 1
1319	CORD1	NA	1.4390381157381276	8.389901723557982e-25	cone rod dystrophy 1 (autosomal dominant)
3361	HTR5A	ENSG00000157219	1.8466091828764226	9.867522251001793e-25	5-hydroxytryptamine receptor 5A
2992	GYG1	ENSG00000163754	1.3829907792584486	2.15029956243067e-24	glycogenin 1
8308	NA	NA	5.330416807887008	2.2482688793175616e-24	NA
6706	SPRR2G	ENSG00000159516	1.6963732916421341	2.3856969187068228e-24	small proline rich protein 2G
3207	HOXA11	ENSG00000005073	1.6819926134529743	4.5809452373000584e-24	homeobox A11
10919	EHMT2	ENSG00000204371	3.5631896766409024	5.2530561020992235e-24	euchromatic histone lysine methyltransferase 2
11211	FZD10	ENSG00000111432	7.628975792491096	5.850231660901295e-24	frizzled class receptor 10
10666	CD226	ENSG00000150637	2.917070141742717	6.428905446313465e-24	CD226 molecule
2431	NA	NA	1.647129398623632	6.900982646724226e-24	NA
9673	SLC25A44	ENSG00000160785	4.70874629210673	6.900982646724226e-24	solute carrier family 25 member 44
2175	FANCA	ENSG00000187741	2.0052889881332123	6.924147370133427e-24	FA complementation group A
4767	NA	NA	2.8315898111570865	1.3620338248881412e-23	NA
927	CD8B2	ENSG00000254126	1.19786786918949	1.375519478749877e-23	CD8B family member 2
2554	GABRA1	ENSG00000022355	4.8168883492985595	2.667262140159496e-23	gamma-aminobutyric acid type A receptor subunit alpha1
2090	ESA4	NA	1.869424932731649	3.224456590034691e-23	esterase A4
682	BSG	ENSG00000172270	1.0967424171305622	3.355514431396008e-23	basigin (Ok blood group)
1965	EIF2S1	ENSG00000134001	2.9983959241657963	3.355514431396008e-23	eukaryotic translation initiation factor 2 subunit alpha
2869	GRK5	ENSG00000198873	-1.4912094490477434	3.686456353719566e-23	G protein-coupled receptor kinase 5
9574	NA	NA	-2.854653431260888	5.2876418703506306e-23	NA
9776	ATG13	ENSG00000175224	-2.548663459832632	6.408665883430771e-23	autophagy related 13
11720	NA	NA	-2.181392993352488	8.177903240159482e-23	NA
5692	PSMB4	ENSG00000159377	1.5463717922458196	9.461747273625875e-23	proteasome 20S subunit beta 4
4352	MPL	ENSG00000117400	1.5484734792609363	1.4073765973949417e-22	MPL proto-oncogene, thrombopoietin receptor
7107	GPR137B	ENSG00000077585	1.8858526624239473	1.4670875525321794e-22	G protein-coupled receptor 137B
5256	PHKA2	ENSG00000044446	1.9594599007857973	1.6178996259803904e-22	phosphorylase kinase regulatory subunit alpha 2
1459	CSNK2A2	ENSG00000070770	1.3544001550928635	1.6978885473946543e-22	casein kinase 2 alpha 2
9034	CCRL2	ENSG00000121797	2.6523652821538204	1.8565736158720693e-22	C-C motif chemokine receptor like 2
10684	NA	NA	-3.672439633484933	1.9588378725382879e-22	NA
11346	SYNPO	ENSG00000171992	5.887867511501454	2.1274173874532234e-22	synaptopodin
9646	CTR9	ENSG00000198730	7.234285519151639	2.508777967995501e-22	CTR9 homolog, Paf1/RNA polymerase II complex component
6982	TRGV8	ENSG00000211696	-2.9552048661616763	4.505544806526619e-22	T cell receptor gamma variable 8
6512	SLC1A7	ENSG00000162383	2.2489922399172793	7.878070821086837e-22	solute carrier family 1 member 7
806	CALM2P2	NA	-2.2489537448039156	1.5740181326222914e-21	calmodulin 2 pseudogene 2
222	ALDH3B2	ENSG00000132746	1.3912622285702139	1.7588073471358326e-21	aldehyde dehydrogenase 3 family member B2
2763	NA	NA	5.260725329889958	1.877454806773959e-21	NA
6100	RP9	ENSG00000164610	3.3044669700563287	1.9637190633695063e-21	RP9 pre-mRNA splicing factor
8515	ITGA10	ENSG00000143127	7.461868042426839	2.2627456942924156e-21	integrin subunit alpha 10
1042	NA	NA	1.7418198901757904	4.2102435238414385e-21	NA
8209	GATD3	ENSG00000160221	3.1461562208742246	4.383490413052075e-21	glutamine amidotransferase class 1 domain containing 3
4915	NTRK2	ENSG00000148053	1.0916978716786616	4.436137007319307e-21	neurotrophic receptor tyrosine kinase 2
9789	SPCS2	ENSG00000118363	-2.6828596080724596	4.832719000255603e-21	signal peptidase complex subunit 2
439	GET3	ENSG00000198356	3.569515042306417	6.718393537384122e-21	guided entry of tail-anchored proteins factor 3, ATPase
6394	NA	NA	1.3017089505445052	7.794003120455143e-21	NA
5622	NA	NA	-1.2310446469918979	7.822270628619598e-21	NA
7103	TSPAN8	ENSG00000127324	1.2969072613788368	8.042935468890456e-21	tetraspanin 8
372	ARCN1	ENSG00000095139	1.194509971643938	8.284472796425358e-21	archain 1
364	AQP7	ENSG00000165269	2.0597661335167117	8.348291349897277e-21	aquaporin 7
2566	GABRG2	ENSG00000113327	1.4982428278747693	1.0614997815667845e-20	gamma-aminobutyric acid type A receptor subunit gamma2
9806	SPOCK2	ENSG00000107742	-1.6192516508935118	1.170246005859827e-20	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
391	RHOG	ENSG00000177105	1.8297532716829168	1.5173986781285425e-20	ras homolog family member G
1780	DYNC1I1	ENSG00000158560	-1.0010293857590884	1.8938560331326127e-20	dynein cytoplasmic 1 intermediate chain 1
911	CD1C	ENSG00000158481	1.2710988853461276	2.202876029542583e-20	CD1c molecule
7631	NA	NA	2.041795064162519	2.6210993022815442e-20	NA
1167	CLA3	NA	1.2640075305200242	2.687131449802969e-20	cerebellar ataxia 3 (cerebellar parenchyma disorder 1)
359	AQP2	ENSG00000167580	-1.5640794392605757	2.784020972761743e-20	aquaporin 2
1490	CCN2	ENSG00000118523	-1.0413034431364623	3.144126198801466e-20	cellular communication network factor 2
11129	CLASRP	ENSG00000104859	2.0325750451725155	3.431031365361901e-20	CLK4 associating serine/arginine rich protein
1508	CTSB	ENSG00000164733	-2.1687333761994343	4.0200395583496774e-20	cathepsin B
2788	GNG7	ENSG00000176533	2.1985427015585177	4.162196937416453e-20	G protein subunit gamma 7
11257	TP53TG1	ENSG00000182165	-3.5783004315185787	4.351410378070952e-20	TP53 target 1
10720	UGT2B11	ENSG00000213759	-2.0323353886702664	4.680856064389744e-20	UDP glucuronosyltransferase family 2 member B11
135	ADORA2A	ENSG00000128271	3.774292498141595	4.910435914877402e-20	adenosine A2a receptor
3875	KRT18	ENSG00000111057	1.1346251047353106	4.910435914877402e-20	keratin 18
8855	NA	NA	2.2908224765911402	5.605902423799282e-20	NA
6847	SYCP1	ENSG00000198765	2.1528309113391146	6.792600593899531e-20	synaptonemal complex protein 1
11000	SLC27A3	ENSG00000143554	2.8602869126375228	7.113250091313694e-20	solute carrier family 27 member 3
5939	RBMS2	ENSG00000076067	1.247421021351384	7.763950681957925e-20	RNA binding motif single stranded interacting protein 2
5640	PRS	NA	1.1868658556023637	8.817248882181957e-20	Prieto X-linked mental retardation syndrome
10962	MLLT11	ENSG00000213190	5.81783378463222	9.8364724076207425e-20	MLLT11 transcription factor 7 cofactor
5623	PSPN	ENSG00000125650	1.9833950681251327	1.0796896483309685e-19	persephin
344	APOC2	ENSG00000234906	2.6944031554868655	1.32822533739142e-19	apolipoprotein C2
4333	NA	NA	-1.7423189536671635	1.32822533739142e-19	NA
2078	ERG	ENSG00000157554	1.5532852426621906	1.4412879446209252e-19	ETS transcription factor ERG
2608	NA	NA	-1.1946293451949985	1.443732156044851e-19	NA
7736	NA	NA	-1.688548441786948	1.488735218431022e-19	NA
11336	EXOC3	ENSG00000180104	8.164619082939453	1.5434955640066922e-19	exocyst complex component 3
7898	NA	NA	-2.6041095376104515	1.5721003267831268e-19	NA
5410	NA	NA	-1.4086220530433233	1.8041759288510954e-19	NA
8122	NA	NA	2.4663000769860575	2.0011081602069062e-19	NA
177	AGER	ENSG00000204305	-1.0813682300281744	2.0147765171776053e-19	advanced glycosylation end-product specific receptor
4521	NUDT1	ENSG00000106268	1.4670510627183118	2.0357586796785346e-19	nudix hydrolase 1
8623	ASMTL	ENSG00000169093	1.3288269155412242	2.0357586796785346e-19	acetylserotonin O-methyltransferase like
9204	ZMYM6	ENSG00000163867	-1.8195408698238762	2.0357586796785346e-19	zinc finger MYM-type containing 6
155	ADRB3	ENSG00000188778	1.8353821094354388	2.0942302379389568e-19	adrenoceptor beta 3
4360	MRC1	ENSG00000260314	-1.847052798245694	3.1834392876705984e-19	mannose receptor C-type 1
4191	MDH2	ENSG00000146701	1.6491982402541638	3.21358774368998e-19	malate dehydrogenase 2
7463	NA	NA	3.047224358344916	4.350168018394592e-19	NA
10987	COPS5	ENSG00000121022	4.750387142122392	4.350168018394592e-19	COP9 signalosome subunit 5
1581	CYP7A1	ENSG00000167910	3.3449733583547787	5.413722581294336e-19	cytochrome P450 family 7 subfamily A member 1
8657	NA	NA	2.2722548561979417	5.524515035544159e-19	NA
10521	DDX17	ENSG00000100201	1.8393410175798068	6.41994283686065e-19	DEAD-box helicase 17
8866	NA	NA	3.7008085858202198	7.864837788065188e-19	NA
1782	NA	NA	1.357150140711333	8.013331528798806e-19	NA
8429	NA	NA	3.668537389158921	9.824251668662668e-19	NA
4425	NA	NA	4.180320351634568	1.0869390874675717e-18	NA
5754	PTK7	ENSG00000112655	3.041731942706503	1.1061666458343364e-18	protein tyrosine kinase 7 (inactive)
5022	NA	NA	1.2788950461985873	1.1825058704812529e-18	NA
1437	CSF2	ENSG00000164400	1.2412318826148911	1.2525789528232762e-18	colony stimulating factor 2
5742	PTGS1	ENSG00000095303	1.3349859728021194	1.3429158835189759e-18	prostaglandin-endoperoxide synthase 1
5601	MAPK9	ENSG00000050748	1.387437243585053	1.3923134794371105e-18	mitogen-activated protein kinase 9
6692	SPINT1	ENSG00000166145	1.7729007074240577	1.4747852406659849e-18	serine peptidase inhibitor, Kunitz type 1
1383	NA	NA	-1.101800779221549	1.5096606405016186e-18	NA
8990	NA	NA	-1.2873354199785656	1.6796035626310476e-18	NA
9055	PRC1	ENSG00000198901	2.4387231559021285	1.719018500330215e-18	protein regulator of cytokinesis 1
4492	NA	NA	1.153551571918533	2.2052631674486232e-18	NA
4727	NA	NA	1.9373026981811152	2.2239644947708285e-18	NA
192	AIC	NA	5.105790460894194	2.644813068581251e-18	Aicardi syndrome
7331	NA	NA	-1.21739877110919	3.515749945391459e-18	NA
730	C7	ENSG00000112936	-1.1914679748700487	3.679462490981162e-18	complement C7
11147	ANKRD13C-DT	ENSG00000197568	-2.242515153178099	4.553395838582278e-18	ANKRD13C divergent transcript
1649	DDIT3	ENSG00000175197	2.4210104848154606	4.9330561237652975e-18	DNA damage inducible transcript 3
