probe_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
8072678	1.5318910908343464	9.778964590586142	6.690230141263847	3.4068591096093475e-4	0.9999081143775554	-4.1003514061310735
7893163	1.1914433934529756	3.1958317322868632	6.513120870384418	3.991181361597604e-4	0.9999081143775554	-4.104829070871472
8094751	1.1004882271895686	6.926323478157007	6.193084075191147	5.358077006857373e-4	0.9999081143775554	-4.113707281000998
8088560	1.1077226172169534	11.180372908151629	6.138474361878527	5.640588918554917e-4	0.9999081143775554	-4.11533238956284
7965767	1.149402666300914	4.305821747526407	5.990718083047165	6.492956260255292e-4	0.9999081143775554	-4.1199040009564305
7940717	1.3016249829889786	12.059258991403974	5.729618588562195	8.378379728331164e-4	0.9999081143775554	-4.128653466945528
8021653	1.1684258914883539	10.186718298822626	5.558685938334671	9.94462848732667e-4	0.9999081143775554	-4.134890437871274
7902227	1.2276013033721271	9.833936521429719	5.068617502402481	0.0016595110679247771	0.9999081143775554	-4.15536436994546
8162276	1.029566800844075	9.922924645217849	4.964756406414653	0.00185737492580621	0.9999081143775554	-4.160261770376814
7954065	1.6694164309581436	7.8716855608694	4.906064514478135	0.0019807505773112273	0.9999081143775554	-4.163125079319476
7896001	1.0427172015857182	9.430388546531255	4.902489810890709	0.0019885551432610067	0.9999081143775554	-4.163301768091002
7896630	-0.7727879637397287	5.496909477933128	-4.878569230558281	0.0020416714725120704	0.9999081143775554	-4.164490980561324
8135488	-0.9458547974211572	9.61395139171199	-4.794128606738278	0.002242216123101365	0.9999081143775554	-4.168786375123431
7895852	1.0712119850672204	3.8729485827779064	4.71235704125713	0.002457540757169672	0.9999081143775554	-4.17309522285349
7899436	1.3221923390634591	10.061162712811846	4.613188225278424	0.0027501382464654106	0.9999081143775554	-4.1785263868876115
7894528	-1.2867296807443487	4.372523214226463	-4.523782747862335	0.003047393670663573	0.9999081143775554	-4.183624546514892
8102800	1.6917263933666293	10.969831294701658	4.446790253067889	0.0033321204438241355	0.9999081143775554	-4.188174756398593
7894486	0.8209372438540672	4.916205558101924	4.40737659873517	0.003489198436997689	0.9999081143775554	-4.190563222325214
7894357	1.2276171924678858	4.641192517722573	4.328717257638513	0.00382779903368055	0.9999081143775554	-4.195453422004388
7896229	-1.30135750300188	4.016256924159117	-4.2731414748197665	0.004088930090353768	0.9999081143775554	-4.199010413587598
7945803	0.7402727655458642	9.102272969196772	4.260535895016381	0.00415086207932284	0.9999081143775554	-4.199829209779468
7964460	1.9571693992093027	10.528043683929477	4.177403041167328	0.004586202810638671	0.9999081143775554	-4.205342920470758
8135069	1.4131932572822137	9.746111034057327	4.126528603542842	0.004877342076705015	0.9999081143775554	-4.2088168196502185
7896002	0.7554728351690356	2.7008126207909227	3.9981000457527758	0.00570711216989429	0.9999081143775554	-4.217936782726039
8107270	0.7904996276989539	5.10367629520764	3.9945216148411933	0.005732355765279797	0.9999081143775554	-4.2181982796437305
7935627	1.0417969405819945	11.291718661352228	3.992973831451004	0.005743312428055718	0.9999081143775554	-4.218311511753718
7894703	1.1218444094003779	2.8699502626907565	3.9646090348183245	0.005948237531265515	0.9999081143775554	-4.220400206724053
8009759	-0.8147102543451069	3.2661931033520797	-3.957879988328109	0.0059980232724038945	0.9999081143775554	-4.220899516670346
8139656	0.5938895492278128	11.297919871317019	3.9230744939486364	0.006262952855938521	0.9999081143775554	-4.2235056847936745
7893606	0.8942012019836448	6.524357708790514	3.8469630275570017	0.0068881889707186955	0.9999081143775554	-4.229344488157179
8147516	-0.6123601797009688	8.89837305416632	-3.842252122243195	0.00692907807221261	0.9999081143775554	-4.229712286100903
8075182	0.9863736255546254	11.022327456341255	3.838677835898611	0.006960279191033041	0.9999081143775554	-4.229991848188937
8095806	-0.7565771048384856	5.814356029119842	-3.801633622640768	0.007292873101379148	0.9999081143775554	-4.232915036923836
8060344	1.8442528604148352	10.15890814382587	3.791472104682947	0.007387120916116607	0.9999081143775554	-4.233725168297815
7914904	0.7721425407886304	9.897846962117375	3.7891377289113346	0.007408960031791421	0.9999081143775554	-4.233911784255763
7894149	1.0740960015634613	4.5103326044141285	3.7443581246047244	0.007841870122831099	0.9999081143775554	-4.237528528456778
8097098	0.9798105019412385	6.832390445360133	3.713946437074774	0.008151620875920688	0.9999081143775554	-4.24002528289613
7895228	-1.2778700151548157	5.064077597885954	-3.6926529349026076	0.008376450628828518	0.9999081143775554	-4.241793190216444
7995825	1.0041177865059714	11.788909322902839	3.6753360186870827	0.008564289035306696	0.9999081143775554	-4.243243039102146
