"","GSM1399027_LIliana_06-29-12-90609_Veh.CEL.gz","GSM1399028_LIliana_06-29-12-100609_CBD.CEL.gz","GSM1399029_LIliana_06-29-12-11CC4121_Veh.CEL.gz","GSM1399030_LIliana_06-29-12-12CC4121_CBD.CEL.gz","GSM1399031_Liliana_10-20-2011-84121T3_VEH.CEL.gz","GSM1399032_Liliana_10-20-2011-94121T3_CBD.CEL.gz"
"8168081",4.13466419991306,4.30400024404662,4.60180942433968,4.64402591399527,4.05929683681199,4.15696481236809
"8168083",6.81832076047781,6.81991365242691,6.96619247356225,7.03369656711071,6.68908966449823,6.42205828954678
"8168085",3.72401202041395,4.19605583900775,3.8137924965868,3.75710027316172,3.78211971076061,3.83294168799179
"8168087",9.42744934891584,9.31131971680009,8.89036516444077,8.69491022502606,8.64432071585932,8.92636682499871
"8168098",4.80209464482645,4.69386633774937,5.02136401964898,4.80658463139403,4.76991854652896,4.58872144006907
"8168107",5.87546337666704,5.73651156057295,5.70780500325646,5.85730644060343,5.39371463626961,5.33463993299875
"8168115",7.00825521341622,6.91904339988944,6.99915169094462,7.36368230426705,7.39045610240548,7.09308894244868
"8168117",5.91370384334616,5.69188859141978,6.24086396964635,5.90752574820335,5.62325724373127,5.98917654295432
"8168135",5.30446391128854,5.38463368793188,5.3421483262334,5.34910973060395,4.97398457011499,4.80640484382758
"8168146",10.0873747066121,9.82487704784189,8.70137967816656,7.56674989951711,8.93665432320937,7.56802754629609
"8168161",6.71760981376196,7.11334523104084,6.23942003189979,5.51789458290907,6.34640564045663,5.53860578535798
"8168163",7.21507899684441,7.25591431938627,7.60555111194687,7.11569346301776,7.35431135401782,6.51801878472147
"8168179",6.75569037084569,6.64195193236133,6.47690921216727,6.23354815046159,8.12397542415114,7.65328004859367
"8168203",5.434985659174,5.40524106210373,5.56880471600249,5.49610978921323,5.45097028017201,5.30637329490657
"8168205",8.90230784408107,8.90968416916298,9.33254996736009,9.07827662858864,7.79270856587899,8.07629278613789
"8168215",9.4209919763305,9.36264123632475,9.6370997881853,10.0196983221892,9.90794757086512,9.68053045470268
"8168264",11.9945612374238,11.7860115388111,11.8409172032641,10.33122748765,11.7541664943993,10.4545230962759
"8168274",6.88665141070634,6.82827599139117,7.04479808668977,6.50764006704545,6.75913352542694,6.14141412066374
"8168280",12.5780623182547,12.5626088651702,12.3232349187419,12.293103103356,11.8409285796819,11.8393487053268
"8168291",6.18048074424701,6.0968199307752,5.91782087331879,5.81207496021028,5.98307779917757,5.46149375466801
"8168303",8.84687365868372,8.84127071286388,8.62045081559162,8.93084732751202,9.17723204456008,9.08283586438143
"8168316",10.4997767918943,10.2658711363261,10.5265607617516,11.3655238491936,10.3483014141821,10.4304312750475
"8168345",5.99572741862485,6.18583617696917,5.88259850246885,5.99993025842637,6.40523635146819,6.70511534819186
"8168357",10.0592427218655,9.95825100226735,8.93303956146955,9.04983158106314,9.33115503935597,9.65316634647167
"8168359",6.44255733511031,6.56289282685254,6.78186015759132,6.72631324989742,6.89592371579049,6.69323283516579
"8168362",7.04392710922203,7.18437479686353,7.12555256684604,7.01350870666555,6.72324690445053,7.05666323478578
"8168366",8.61604461723208,8.4738660551151,7.69701347009388,7.36134610876088,7.52092979902105,7.55091234537425
"8168373",6.82796541885071,6.81712114855637,7.19967228976785,6.95866510080081,6.80393008801156,6.94013730385676
