gene_id,log2FoldChange
H6PD,-0.9445233585655276
MYL6,0.3341544026480774
SSR3,-0.4903262055305865
CASP2,-0.904061422788884
CSNK1A1,-0.6870933386793421
PDIA4,-1.0576893402466865
SOX11,-1.1157288267058172
SERF2,0.2513605510897043
MYLK,0.5252431334525037
RPL23,-0.5790832965355707
CDV3,-0.7210041477237903
PSPH,-0.8319723429277093
RNF181,0.3705019644896629
RPS11,-0.5261982668502977
LRRFIP1,-0.9690005227829008
DDX3X,-0.7536606733255491
RETREG2,-0.8039592917614461
TFB1M,0.6315788569470754
EMG1,0.4089432483547114
NIPAL3,-0.7992210854233569
ELOC,-0.3463521323403334
PRDM1,-1.3871171047026825
SKA2,-0.6797712346729022
ARID1B,-1.0255243571738744
EIF4H,-0.6579688351913635
FAM171B,-1.049800835292975
STYX,-0.9030890260077064
ADNP,-0.7830425868823828
STC1,-1.0720148789823605
LHFPL6,-0.8242247872746239
HSPA4,-0.8725117644976942
DHRS3,-0.7382165609047698
RREB1,-1.2347217321498798
CDC42EP4,-0.8837154605030741
DCUN1D1,-0.8385104608407443
DDX6,-0.6185585525937334
DIPK2A,-0.567691222235124
TFAP2C,-1.2019437230859964
MTFMT,-1.1154345343702847
BRD3,-0.9872401295919484
MSI2,-0.6641894825202456
PDS5B,-0.8036650142620055
ZBED5-AS1,-0.6655335267375477
RBBP5,-0.8585097458951124
TERF2,-0.9770095135703296
ARSB,-1.2756964118481338
GRB2,-0.5792695203551274
SFT2D1,-0.7162517963521878
SLC35D1,-0.9645212932038516
AMOTL1,-0.9639499414118984
TMEM134,-0.6829373021479626
BLOC1S3,-0.8209757250624877
FAM114A1,-0.7050281572040543
FEM1B,0.5712337054318749
MRPS7,0.3216541404289372
ZFX,-0.8975309008951595
TBCB,-0.5204647831287623
TBL1XR1,-0.5702245181175918
FAM110B,-1.213492433161982
DCTN3,-0.5600627008569402
LIPH,-0.8869918643829052
CDC42SE2,-0.9138650939081876
SDC4,-0.6629939822249219
FSCN1,-0.9678855264185188
NECAB1,-0.8337207233529779
RELL1,-0.7973628502292831
TOB1,-0.813936877637695
TLK1,-0.7264393380134172
AXL,-0.7639480590372709
CHRAC1,-0.8876780748364417
