gene_id,log2FoldChange
FOSL2,-2.3897444793289955
COL1A1,-1.6254915484551953
CNOT7,-1.0397390405579665
SMU1,-1.3532877908062284
IRF2BP2,-1.2625644805688134
RAB12,-2.142945299868274
MGA,-1.93554918684299
XYLT2,-2.869992715136953
C6orf62,-1.4819577401067148
DLG5,-1.7753588074900983
DSC2,-1.7242480008815249
ZNF578,-2.187687624153036
SPRING1,-1.678825845165174
MSR1,-2.3887894469192363
PHACTR2,-1.312056523774906
FOXN2,-2.1052755292064846
PRND,-1.5812240856171542
LEPROT,-0.998925947610874
EIF4E,-0.9880220864554458
VAPA,-0.7095320974336394
DNAJA2,-0.8469161593643251
POLR2D,-1.586190192032766
TINAGL1,-1.9415274978081305
WDR55,-2.182935875525382
PDZD8,-2.261459815437999
FANCD2,-2.020827621197962
SEC22B,-1.877806613271698
COQ10B,-1.4733866432181677
EIF1AD,-1.7284768992462178
SAR1A,-1.141644079759587
YTHDF1,-1.601687259897581
MAZ,-2.33497127347423
MIR1915HG,-2.4891492193866585
USP2,-2.638006664473713
WDR76,-2.0159146953683376
TRIM13,-1.2599081073936171
OTUD7B,-1.8511630951042968
CPSF2,-1.188331137148766
GSR,-1.557458024563636
ADNP,-1.439226980501948
ZCCHC18,-2.1605809057335263
ZNF333,-2.8174142512015488
SENP5,-1.5019423065976127
RUNX1T1,-1.433069395069287
RAB21,-1.4690680361883035
FTO,-1.392186831489025
STC1,-2.0187695484074943
INPP5A,-2.139546887791836
AXL,-1.4349999868831518
CHIC2,-1.754101783531275
SEMA5A,-1.7950422000041244
THUMPD1,-1.5291018250079476
MOB1A,-1.1085550461462808
TBCCD1,-1.634382082024972
EFNA5,-2.0239108355047124
MDM4,-1.9243345903602809
B3GNT7,-1.9484945168867285
SERF2,0.4304568652601785
CDC42SE2,-1.7385541080270923
CDC42EP4,-1.691323456986828
CDH2,-1.326208625232948
KCNJ2,-2.227736595739041
MMD,-1.7614646768707738
SEH1L,-1.2892583343221755
PIAS2,-1.8786551205128823
FGF13,-2.1002468378885677
SOX11,-2.024659977090016
ROBO1,-1.494121824693492
FUBP1,-1.2656537609276723
ATP5ME,0.4004662988869478
GLIPR2,-1.3527151462175693
PPM1A,-1.269067927145244
JAM2,-1.292462159878264
PAFAH1B2,-1.2277538010178894
TWIST1,-3.1929941708321565
CD47,-1.325508364232516
SSH2,-2.24856290183052
APOL2,-1.8150058939598284
PDS5B,-1.4540238672266474
SSR3,-0.8253681732127813
ITM2C,-1.405347837671934
GLTP,-1.6112361839627858
LARP4B,-1.402911070375117
ARSB,-2.4868028528680077
NDUFV3,-0.9216937562030404
RNF19B,-2.151452663337513
NECAB1,-1.59516001481683
CCNF,-2.1942521277427387
SLC16A4,-1.7138904161448096
PRDM1,-2.5791539409144466
TULP4,-1.6018805316408484
YWHAG,-1.267703923726626
RELL1,-1.440195001675874
PSIP1,-1.975919754430921
ZNF805,-1.7855690270115354
SLC35F2,-1.859678797811636
STOM,-1.0477510703073962
OGT,-1.1781989208651495
TTC39C,-1.6951767986835835
UTP20,-1.8968662108885213
FAM110B,-2.2558229305334807
KANSL1,-1.8306956700799528
R3HDM2,-1.780902602928724
MTA2,-1.7176175404233125
FAM104A,-1.5773483805990989
BTF3L4,-0.5436813830195151
SEL1L,-1.4309729254508623
DSEL,-1.564114599961418
ESM1,-1.387976738572868
TMX1,-0.976850338512057
FAM204A,-0.9592159871533636
CHMP4B,-1.889388038531904
G3BP1,-0.9843987689128296
PFAS,-1.9249558965229887
G3BP2,-0.8792997497517049
GDPGP1,-2.180379443814197
TIAL1,-1.448360270734728
ADAM19,-2.4260300897911105
SUSD6,-1.7024720746659503
MIER1,-1.2271585270180425
ARID1B,-1.7792261833930765
TMTC3,-1.4009992247503025
PGAM5,-1.949060264079643
PRPF39,-2.209805545375473
S1PR2,-1.5455311105223604
IGDCC4,-2.160579748995048
CNP,-1.403360683413284
DHRS3,-1.274900606703434
RIOX1,-2.159858355037696
CDV3,-1.1875851309691814
CPT1A,-1.937594309611328
CNEP1R1,-1.7432826300873587
EYA3,-1.5148684490881963
PARD6B,-1.3150895655433643
LNPK,-1.66488607292754
BAG4,-1.2776327937766745
RBX1,0.3701721878666204
TMEM144,-2.434761420622451
WEE1,-1.2964267826312017
UGDH,-1.2000843386824411
B4GALT5,-1.1812622355688702
BLOC1S3,-1.4677137591508618
BRWD1,-1.1727319236914986
SVIL,-1.796960185931395
CAMK2D,-1.1720967519626266
MBOAT1,-2.074498955130781
JUND,-1.796501880170681
DNAJB9,-1.168704220774026
LONP2,-1.2661314371217038
EAF1,-1.955625886072744
RAB3B,-2.329761992245694
FKBP9P1,-2.919368513053718
LSM14A,-1.0380405486626945
LAMP1,-1.475706150416898
ZCCHC7,-1.0998714903147722
CAVIN1,-1.8253482460015824
SCN7A,-2.283940576427743
HNRNPU,-0.8986065836652114
RIT1,-1.2827450878621398
TRIM35,-2.0370495403693005
IQGAP3,-2.4597687898330234
NIPAL3,-1.307605353252676
ANP32E,-1.358602693745276
ZBED5-AS1,-1.1133476390878363
DTX3L,-1.6342128405805452
PRIM2,-1.3095418011895716
SPCS3,-0.8986823085391805
TMCO3,-1.8261559652973387
GPBP1L1,-1.1897913155691555
EPPK1,-2.808540962023874
POGLUT1,-1.1985459049903524
CPEB1,-1.984951979299552
APOBEC3D,-2.40891989136172
LHFPL6,-1.3696175043436143
AMOTL1,-1.6665978871751892
LIN7C,-1.337458034629392
TMEM183A,-1.9891275481946664
CCNJ,-2.051567638932269
ZNF451,-1.1659414556615184
CNOT6L,-1.3954899644514756
TSPYL5,-1.3632836861186337
ZNF662,-1.881473257503812
AEBP2,-1.3704256011681684
TMEM150C,-1.6202008572865616
TOB1,-1.3536892054145984
MYL6,0.4869143377229777
FGD2,-2.6438600522789577
OSBPL11,-1.6284346456482066
INIP,-1.1297850932553468
TAPBP,-1.04216311476257
ING3,-0.9398442147488668
CDKN2AIPNL,-1.4142404909189876
DEDD,-1.149068470921962
PSMA2,0.3108350022511842
SGPL1,-1.0187363601808366
ZNF532,-1.41166307119237
KIAA1217,-1.8149811020900868
CBR4,-1.110266733917956
STK17B,-1.7796982312571052
FAM114A1,-1.129477173747794
LGALS1,0.3547443207844386
EEF1AKMT3,-1.8749815556855292
RAP2C,-1.104026446170737
MKNK2,-1.8892755531076508
VSIG10,-1.761278585916036
ACOX1,-1.3318396016408751
EMC10,-1.1702526554614938
MIDEAS,-1.6861171885747066
ORC2,-1.45179991931561
TRIB2,-0.9973349468551472
SLC30A7,-1.1807052532516256
OSTC,0.2911646140901836
MEX3D,-2.2872210598032825
RNF181,0.5265162149585688
KPNA1,-1.2887516347189545
DCAF4L1,-1.8360386249958
DNAJC3,-1.128161225007975
FGD5-AS1,-1.1226670032315935
FEM1A,-1.4553177083478908
DGCR8,-1.915900302620046
TMEM26,-1.7885796438946555
MAT2B,-0.7445014548791019
CACUL1,-1.0145901457279645
LINC00674,-1.6354817489755185
RSRC1,-1.3117606046859451
HNRNPC,0.3437491749173786
MFN1,-1.5626961539862558
FAM234B,-1.4433976930813492
OST4,0.2457992954630336
PCMTD2,-0.9983940471879708
CAMTA1,-0.5990670346181705
PPP6R3,-1.0203537676720684
FAM111A,-1.0386309067000743
KPNA6,-0.7404213572360536
CARNMT1,-1.6022233410437443
TPP2,-1.4906403720326704
GLG1,-0.722081929285148
SAP18,0.4215191300180728
MSI2,-1.004231756299321
NHSL1,-2.127668150451238
NUP155,-1.26418472943287
TMEM170A,-1.1162814933147591
GRB2,-0.8877362239445563
AK4,-1.699535151807568
MTURN,-1.6031264365016449
HIPK1,-1.2865999523874725
NUTF2,-0.5368375555540409
TMEM258,0.2627950534473932
B3GALNT2,-1.6904951073746126
CCDC122,-2.192090867737112
TRIM2,-1.1037780541534028
UBA6,-1.3301184479795
ZNF2,-1.5829769789734154
TMEM128,-1.54192685652121
YWHAH,-1.2296539118723928
RDH10,-1.8445176294458896
PTBP2,-1.878649674247155
C2orf69,-1.3753399497584775
F3,-1.9433515373770924
ARAP2,-1.0317636396255716
CEPT1,-1.175633980610016
RUFY3,-1.133098826600378
SKIDA1,-1.735623263055545
TMEM209,-1.2151481966063835
REEP3,-1.0137933522102516
PTP4A2,-0.7965075788500496
TRIM59,-1.3026067419304868
RAP2A,-1.2299300752855509
SLC39A11,-1.555070877401686
UHRF1,-1.8837441651759093
SLC22A5,-2.102659473990711
CLEC7A,-1.9984547373022985
ZNF835,-1.940174392861865
PGGT1B,-1.2441920309893943
LRRFIP1,-1.372065380246783
TMA7,0.3221778954696179
PAN3,-1.1169216114145617
PRAMEF27,-1.7878868408569952
PDGFC,-1.131620412088736
CDK2AP1,-0.8574625404700894
LCOR,-1.0477299787881744
H3-2,-1.9357005019995104
TNPO2,-1.3286362490331367
DUSP9,-1.3006402772450472
MIR100HG,-1.0351951776080983
LOC100507507,-1.8635858582939409
ANXA2,0.5699087963626177
DAAM1,-1.3782942979682542
TMEM33,-0.9459758049749376
CASTOR2,-1.4122340347578035
EPS15,-0.9394027104669802
ZBTB3,-1.7773706590990286
H6PD,-1.2855050733160136
CHRAC1,-1.3566330790576948
STT3A,-0.8145560585087708
MAGED2,0.5162694660234736
SMURF2,-1.2350069934566088
MRPS17,-0.730616586347853
C19orf53,0.2872550256052044
ERO1A,-1.2895090675898857
C12orf66,-1.8380622097508108
PDPN,-1.09487068724506
ATP5PO,0.2289168838889315
ATP5MF,0.3919181305708575
MAPK1IP1L,-0.6392257260589783
ARL6IP1,0.3790143358838951
SLC4A7,-1.387118991926458
TJP1,-1.0210840619633328
WDR83OS,0.2930430768959902
CYBB,-1.757717892093165
MYADM,-1.2794135413070922
EIF4E2,0.6071696049238885
PHF24,-0.9287245227791426
RPS27,0.2660295698979202
SFT2D1,-1.0061122114729024
UQCRQ,0.388335176345894
FOXP1,-1.159827831137555
FICD,-2.122211598219255
PPT1,0.5047825472961893
SKP2,-1.3707557743590797
RPS11,-0.670669380207433
RAB19,-2.7891049940272232
PSME4,-0.9001527486374659
DDX6,-0.8553308850626049
COX6A1,0.2765605052890701
PIP4K2A,-1.5029052678230022
ZNF490,-1.557768203752482
UBE2N,-0.547419354685765
WSB1,-0.9594881152639588
TRIM16,-0.9162573784041308
ATP1B2,-2.0506882752866176
TMED7,-0.8790714546008966
SALL4,-2.0744230598578914
ATRAID,0.3442674552468579
BROX,-0.9886829069792288
CCDC163,-1.941048439420168
ING1,-1.4349673067680673
RRP15,-0.9781203880126405
ACAA2,-0.5675979075706109
PTPRF,-1.4708496497594366
SLC15A4,-1.4029164418372662
ELOB,0.3980450348235866
