"Sample","Total_Counts","Total_Counts_Log10","Genes_Detected","Genes_Detected_Percent","Median_Expression","Mean_Expression","Median_Log2_Expression","Mean_Log2_Expression","SD_Log2_Expression","IQR_Log2_Expression","Treatment","Potential_Outlier"
"CBD_1",54692.8589498749,4.73793856629862,27073,91.2070882323215,0.921726516409294,1.84256506922733,0.942403038768547,1.1512778769087,0.999508445828655,1.91310467871688,NA,FALSE
"CBD_2",53920.0927575322,4.73175868496935,27089,91.2609911397096,0.912816924291515,1.81653110391578,0.935698799948576,1.14072605138492,0.993667168092423,1.89378282057564,NA,FALSE
"CBD_3",54225.0676741317,4.7342081117313,27203,91.6450493548496,0.954025038357932,1.826805500594,0.966448953735871,1.15189491116398,0.987695044748211,1.88788472243957,NA,FALSE
"Eto_1",53848.3342488785,4.73118033838933,28500,96.0145537849948,0.945462377670083,1.81411360876187,0.960113081018238,1.16181126405257,0.958384343584568,1.79253460381951,NA,FALSE
"Eto_2",53987.2815629025,4.73229950417755,28384,95.6237577064313,0.951530354416813,1.81879464888665,0.964605902861942,1.16492068768828,0.958324094247469,1.78942280221835,NA,FALSE
"Eto_3",54028.227383631,4.73262875718523,28523,96.0920392143651,0.932529895467502,1.82017408562581,0.950490732240217,1.16209270541258,0.963836299999151,1.81769205118474,NA,FALSE
"Merge_1",54989.2871620673,4.7402859875956,28263,95.216116969309,0.959764962983468,1.85255153327047,0.970680640528796,1.16575759251876,0.983792819210371,1.86141468983108,NA,FALSE
"Merge_2",55090.6344893156,4.74108565745519,28321,95.4115150085908,0.990707312614831,1.85596585551715,0.993281121771993,1.17478857468443,0.974993014323595,1.84450864591312,NA,FALSE
"Merge_3",54195.5412189975,4.73397157108756,28441,95.8157868140013,0.918419820606616,1.82581077448363,0.939918469485684,1.15913029303042,0.971605321153864,1.82752881973633,NA,FALSE
"Mock_1",55064.6133221091,4.74088048076886,27200,91.6349425597143,0.957674686537704,1.85508922016336,0.969141047315687,1.15993880948143,0.99715712043178,1.90673319240629,NA,FALSE
"Mock_2",55071.3242681455,4.74093340579904,27037,91.0858066906984,0.925624269074046,1.85531530735254,0.945326229648425,1.1558813557063,1.00310992236847,1.92348734035037,NA,FALSE
"Mock_3",54664.8641744682,4.73771621795319,26953,90.802816426911,0.896181931902081,1.84162194436102,0.923097392327348,1.1462981766394,1.00507369957115,1.92816777878429,NA,FALSE
