"","H_0_1","H_0_2","H_40_1","H_40_2","He_0_1","He_0_2","He_40_1","He_40_2"
"ENSG00000156508",113154,108076,125796,126682,191516,151508,260127,258124
"ENSG00000198804",255691,301640,126581,139919,602276,721618,150861,149716
"ENSG00000210082",34406,35841,223143,256613,252282,322864,544071,545236
"ENSG00000087086",251062,244622,304300,303084,56723,28087,219988,254396
"ENSG00000198886",141854,167767,87726,96742,101467,133494,82326,81097
"ENSG00000105193",17655,16298,20141,20345,12715,7023,17500,18687
"ENSG00000044574",13002,12761,66332,68577,27972,24329,98824,98871
"ENSG00000198712",134691,161298,63226,68050,120790,128889,50646,55166
"ENSG00000115414",81848,85857,26989,29522,141981,211916,67335,61275
"ENSG00000163631",67,81,48,47,293815,263024,128098,127752
"ENSG00000084674",610,650,129,105,208382,430099,15919,14601
"ENSG00000198938",126919,129506,54585,56888,117508,141918,48788,53989
"ENSG00000075624",115757,117470,64683,67663,68286,50183,28638,30800
"ENSG00000167658",35394,32759,43859,45916,26071,18305,93004,95289
"ENSG00000125148",163,122,43530,49545,6311,3292,269942,297790
"ENSG00000096384",35572,36008,39462,40773,72445,69045,98439,97393
"ENSG00000150991",30408,35298,142240,157520,14355,10122,56170,62641
"ENSG00000099194",9454,9290,3905,3888,16222,18201,10250,9998
"ENSG00000184009",50184,49304,40811,41321,35479,23220,70021,72463
"ENSG00000174444",16944,17266,20500,21007,46549,37384,41756,42524
"ENSG00000196924",79251,72605,28322,29754,4846,4360,16384,15542
"ENSG00000197249",3,0,0,0,141657,110230,90994,100315
"ENSG00000089157",40540,36863,48974,49128,21704,11739,37077,40177
"ENSG00000198899",69383,76082,37042,41213,37251,47183,41316,40330
"ENSG00000111640",71136,68476,45014,45395,15649,9358,21806,23188
"ENSG00000142541",30263,26778,33492,34383,36344,20675,46167,47963
"ENSG00000109971",44231,45069,45098,47342,43373,39289,54528,55842
"ENSG00000074800",43290,40249,25583,26151,19222,11535,29550,30981
"ENSG00000170421",91475,83969,51788,53878,20390,12728,31894,33414
"ENSG00000161011",30288,27098,63225,65372,1515,1079,19144,19118
"ENSG00000080824",33166,34324,36864,39710,43564,50493,59776,55792
"ENSG00000167996",45738,36857,58893,53337,1682,1419,49845,56497
"ENSG00000211459",8874,10442,34665,38060,31975,37773,79408,81867
"ENSG00000140988",38656,31792,33585,36266,21038,12483,45119,48306
"ENSG00000100316",17433,16311,19041,19931,32146,16898,44804,46059
"ENSG00000070756",42111,43961,31556,34005,31296,32949,20842,21018
"ENSG00000166598",15944,17315,36999,38941,35211,35434,38393,37596
"ENSG00000181163",17714,18717,18538,19392,42115,42653,23847,23660
"ENSG00000067225",71186,64875,34670,35243,18113,15557,14514,15151
"ENSG00000198763",51246,57586,28255,29933,32849,45135,17893,17862
"ENSG00000144381",24449,24039,21669,22310,43461,44579,52805,51736
"ENSG00000198431",73169,67448,54478,56949,4775,5661,38107,36324
"ENSG00000105976",114935,118387,81122,87102,1599,2368,2227,1739
"ENSG00000198727",45687,51187,19663,22302,39394,57584,25594,26239
"ENSG00000198888",55251,60085,33031,35647,35798,48064,23219,25465
"ENSG00000204628",11553,11060,12720,13543,16950,9698,26837,29785
"ENSG00000105971",105808,109021,95481,98937,13,6,16,13
"ENSG00000127022",14193,14741,17371,18547,18964,22570,20696,19398
"ENSG00000198786",29674,30470,14463,15723,49947,84225,15705,15262
"ENSG00000197746",18612,17579,20964,21205,6758,5345,14274,14533
"ENSG00000147403",29513,26309,37251,37579,4112,1928,24841,26660
"ENSG00000081051",71,61,22,39,143408,131157,35002,35715
"ENSG00000105974",107247,104200,76315,79691,0,4,5,9
"ENSG00000187134",31124,34310,25919,25942,23666,17668,47786,51238
"ENSG00000198034",22511,21093,24938,25823,27735,21943,18324,20200
"ENSG00000182718",35891,36406,31481,33600,1982,1473,1613,1716
"ENSG00000169710",17463,16129,4404,4364,7042,5294,13816,13599
"ENSG00000185624",28059,27378,31657,32119,19940,14215,21773,22716
"ENSG00000167526",12599,10416,14600,14722,18686,8630,40305,44083
"ENSG00000161016",34995,27289,30946,32685,5648,2790,26247,26267
"ENSG00000142192",9331,9270,6129,6368,4542,4944,4377,3944
"ENSG00000196262",35236,31795,26826,28910,28796,19566,11258,12754
"ENSG00000142937",10636,9344,12242,12815,25022,16305,26062,28586
"ENSG00000115306",14608,15516,20910,22561,15123,21306,17153,15364
"ENSG00000136068",13855,13551,7461,7967,4659,5623,12110,11113
"ENSG00000084234",20524,21433,13474,13939,22173,22259,13666,13586
"ENSG00000135486",23784,20754,21853,23615,38240,35289,23588,23451
"ENSG00000149273",16209,13414,15385,15518,16926,11171,28020,28577
"ENSG00000198363",61925,62858,32627,33412,5056,7500,7487,6920
"ENSG00000137154",5635,5777,7165,7667,33247,25035,26119,27569
"ENSG00000178209",49984,45735,37125,38480,1073,1183,11462,11452
"ENSG00000083845",15450,15066,18837,19661,10635,5268,18819,21013
"ENSG00000168028",23105,22197,22238,22187,15076,9203,22337,23663
"ENSG00000137309",13913,12144,11671,12099,4035,2919,33529,37769
"ENSG00000166441",15439,13018,14743,14940,21509,15758,19532,21205
"ENSG00000110321",19623,19548,15004,15728,15461,19773,15648,14626
"ENSG00000160789",58025,49599,37739,39384,3983,2435,10550,11647
"ENSG00000175899",0,0,0,0,69671,73554,26522,26707
"ENSG00000100345",18903,17889,18016,19360,13765,14229,12503,12403
"ENSG00000133112",3361,3581,6872,6626,35900,27317,25732,26273
"ENSG00000108298",11910,10522,12437,13204,27928,18287,26221,29725
"ENSG00000164924",33626,34575,40262,42612,10174,10830,10026,9943
"ENSG00000115053",18372,18158,12651,13548,39724,43944,23152,22714
"ENSG00000231500",9271,8176,10665,11210,16381,9727,27489,30354
"ENSG00000113013",9947,9554,12008,12531,12801,14001,20611,19732
"ENSG00000212907",23180,25105,11628,12939,12847,25974,10372,9652
"ENSG00000130402",18697,18129,12329,12477,7356,7423,6244,6144
"ENSG00000196230",21092,20664,13313,13919,24113,14752,21007,21468
"ENSG00000179218",13258,11732,16778,17025,23020,19014,16769,16258
"ENSG00000174748",15827,14688,15019,15611,12979,8356,18188,20232
"ENSG00000108107",13976,13152,20746,20556,8959,6395,13670,14973
"ENSG00000198074",84568,79058,35748,36273,3337,2499,3482,3618
"ENSG00000089009",23229,21964,23205,23051,25507,16659,18909,20049
"ENSG00000148303",20299,17408,17144,16983,17363,9584,29250,29579
