Sample	Condition	CellLine	Mean	Median	SD	Min	Max	Q1	Q3
H_0_1	Control	MHCC97H	2.3192777405304157	0	3.714507645528821	0	17.96404749719518	0	3.4594316186372973
H_0_2	Control	MHCC97H	2.313037096443755	0	3.688756753685957	0	18.20247301205046	0	3.4594316186372973
H_40_1	CBD	MHCC97H	2.1867601008249546	0	3.6338651132135724	0	18.215139549310255	0	3
H_40_2	CBD	MHCC97H	2.2033073906062945	0	3.6563145820366834	0	18.20936292780911	0	3
He_0_1	Control	HepG2	2.2145907957067954	0	3.616374777681818	0	19.200067640182365	0	3.169925001442312
He_0_2	Control	HepG2	2.197709991542066	0	3.5930168613821056	0	19.46087779923425	0	3.169925001442312
He_40_1	CBD	HepG2	2.1540417668410674	0	3.6236270436821427	0	19.053438058209363	0	2.807354922057604
He_40_2	CBD	HepG2	2.1493219717182757	0	3.61828630017862	0	19.056523941762045	0	2.807354922057604
