Sample	H_0_1	H_0_2	H_40_1	H_40_2	He_0_1	He_0_2	He_40_1	He_40_2
H_0_1	1	0.9956027105716834	0.9650481160114708	0.9650199489712229	0.7916134766793561	0.7707179316589797	0.8131780405207377	0.8128131907721603
H_0_2	0.9956027105716834	1	0.9652602808503316	0.9656039799943387	0.795670627464342	0.7774053717798248	0.8129068092341196	0.8122870962265071
H_40_1	0.9650481160114708	0.9652602808503316	1	0.995219330293004	0.7839954977921652	0.7636553952953068	0.8452274118088577	0.845323723774691
H_40_2	0.9650199489712229	0.9656039799943387	0.995219330293004	1	0.785555419609018	0.7658396102908649	0.8455255311453014	0.8455917982233138
He_0_1	0.7916134766793561	0.795670627464342	0.7839954977921652	0.785555419609018	1	0.9852242968789301	0.9081162970752702	0.9066357289605184
He_0_2	0.7707179316589797	0.7774053717798248	0.7636553952953068	0.7658396102908649	0.9852242968789301	1	0.8885187552099647	0.884305175710459
He_40_1	0.8131780405207377	0.8129068092341196	0.8452274118088577	0.8455255311453014	0.9081162970752702	0.8885187552099647	1	0.9951827123364723
He_40_2	0.8128131907721603	0.8122870962265071	0.845323723774691	0.8455917982233138	0.9066357289605184	0.884305175710459	0.9951827123364723	1
