Sample	DESeq2_SizeFactor	edgeR_TMM_Factor	Library_Size	Mean_CPM
H_0_1	1.1869401616029918	1.0873775197130993	18483779	47.25573224785517
H_0_2	1.1421629855683946	1.095973000967939	17875753	46.88511567211707
H_40_1	0.9747317764473508	1.0343978342348503	16351470	49.67607164598204
H_40_2	1.0143115899283368	1.0345600825371482	17039882	49.668281031956404
He_0_1	1.0268194152316703	1.0630164747543647	16954834	48.338687258607884
He_0_2	1.0071024011787053	0.9944070302764968	17235819	51.67383109672046
He_40_1	0.9331939504335756	0.8710611548132345	18204268	58.991060087987236
He_40_2	0.9238504789530694	0.851576456560814	18314465	60.340819110268
