Sample	Mean	Median	SD	Min	Max	Condition	CellLine
H_0_1	6.635095483159096	7.2384047393250786	3.6352696371555426	0	17.96404749719518	Control	MHCC97H
H_0_2	6.593960865957471	7.1799090900149345	3.613651272470907	0	18.20247301205046	Control	MHCC97H
H_40_1	6.328250835409677	6.918863237274595	3.7136114021990783	0	18.215139549310255	CBD	MHCC97H
H_40_2	6.372035402658003	6.977279923499917	3.7321510960538755	0	18.20936292780911	CBD	MHCC97H
He_0_1	6.332672426380679	6.894817763307944	3.6762486974072113	0	19.200067640182365	Control	HepG2
He_0_2	6.259158979834358	6.672425341971495	3.6948222189623974	0	19.46087779923425	Control	HepG2
He_40_1	6.231413069185096	6.658211482751795	3.7891181458416168	0	19.053438058209363	CBD	HepG2
He_40_2	6.218248962501893	6.6293566200796095	3.7865169588457612	0	19.056523941762045	CBD	HepG2
