Gene,logFC
FAM135A,-1.700197392499999
PHLDA1,-1.873556478571428
TAS2R31,-1.311253035714285
CTIF,-1.613474014285714
VCL,-1.189311433928571
ZFAND2A,1.737307057142857
MYLIP,1.744515871428571
TAF1C,-1.146024449999999
ZNF346,1.626606707142856
MAPKBP1,-1.460037107142857
MYL5,1.507638703571428
NTNG2,1.822621332142857
PGM2L1,2.030719499999999
ASCC1,-1.357458857142857
ELK3,-1.900683964285714
MMP14,-2.518505571428571
CTAGE15P,-1.206920885714285
PRELID1,1.5226436
INTS6,-1.064654094642857
ARHGAP22,-3.117147585714284
SYMPK,1.172672471428571
POMZP3,1.608379210714285
UNC50,-1.246057464285714
SIAH2,-1.461691785714285
CLDN12,1.834749821428571
SPIN2B,-1.733284253571428
TMEM200C,-1.223684964285714
CLSPN,2.170738642857144
GPR172B,-2.735024035714285
RCAN3,1.476835757142857
CYHR1,-1.217435128571428
TIPARP,-1.461129821428571
DIP2A,-1.212770164999999
MAP3K4,-1.270906747857143
RFC2,2.166505214285714
NTF3,2.464451032499999
ENY2,1.007140562857143
SBNO2,-1.116166107142857
RBM15,1.239024657142857
DOCK6,-1.494757082142857
TAOK2,1.404860342857142
