Gene,logFC
LYPD5,4.914190333333332
EEIG2,3.472856666666667
LOC100132004,6.310577333333329
LINC01111,5.656536666666668
ZNF607,2.559254333333329
GJA1,4.46069
ZNF699,3.057448000000001
MMP14,-2.634744
TMEM255A,2.562137666666664
LINC02482,2.863996666666663
MIR205,-3.688397666666667
SSX1,3.444435333333335
PLPP3,2.505340999999999
SLC1A3,-2.359142333333335
CCL2,4.523262333333331
TBC1D4,-2.100145666666665
CCND2,-3.826538000000001
VGLL3,1.941048
ZNF45,2.463839666666665
IL1B,-1.837521666666669
TMEM132D-AS1,2.881093000000003
TFPI,2.254351666666667
DUSP1,2.542927333333332
SERPINB1,-2.050187000000002
LINC01234,2.474859333333333
MRPS9-AS1,2.177691666666664
CSTA,-2.209198
H2BC14,-4.872327666666668
LOC105378477,4.455850333333332
PLTP,-1.722606
SUN3,2.524508666666667
TNIK,3.097456000000002
LOC101929626,1.617165000000001
BVES,2.039041333333333
ZNF727,4.892851666666665
SERPINB9,-2.123998000000001
NRIP1,-2.022415
C6orf62,-1.796368000000001
LPXN,1.658306999999997
MLKL,-2.650867999999999
ZNF284,1.928479333333334
HEATR4,2.226215666666667
MYBL2,-1.688753
LINC02321,2.612849666666667
BARX2,-1.832167666666669
ZDHHC20,-2.046023999999998
POU6F2-AS2,2.070072333333334
ALOX5AP,-2.156235666666669
FBLN1,-2.334820333333334
MBOAT1,-2.234518666666667
NCOA3,-1.610702666666666
LURAP1L-AS1,3.702968333333334
SIRT5,2.155145999999998
ITGA6,-1.809276999999998
STXBP1,1.880861666666665
MITF,1.597343
MRPS30-DT,1.589236666666665
LINC02551,2.128473333333334
KRT13,-2.046983666666666
CBX6,2.290793666666668
PDZK1IP1,2.856022333333334
ANKH,-1.732672000000002
ZNF529-AS1,2.841658666666668
NMB,-1.647904333333333
ZNF283,2.095392
NPC2,1.806940000000001
STXBP6,1.789826666666665
SUSD2,-1.625493666666666
POPDC3,2.387773666666665
WRNIP1,-1.789065333333334
RIPK1,-1.438924666666668
ZNF383,1.729137000000001
LINC01186,1.636622666666667
TPK1,1.498462333333334
SNTB2,-1.611985666666669
RANBP9,1.394101666666664
COL17A1,-1.567764
MMD,2.486901
GLIPR1,1.617025666666663
ZNF529,1.506463666666667
TRPS1,1.682760333333333
PROS1,2.727442333333334
KIF13A,-1.559082666666668
ALDH6A1,1.605693333333333
PTGR2,1.518868
SCARA3,-1.386219
PARP4,-1.942183333333334
DIAPH3,-1.949943999999999
RNU5B-1,4.915529666666665
GCNT1,1.829807666666666
MAP3K9-DT,1.553685000000002
STPG1,1.519506333333333
FAM86JP,1.766063999999997
MICU2,-1.769485
IL1A,-1.775275666666662
FOXC1,-2.088066000000003
ZNF670,1.559957666666667
CLCN4,1.497590666666664
LPAR3,-1.674586666666669
PDCD1LG2,1.377452333333332
PLXNA2,-2.012993333333335
CCN2,1.560541666666667
LOC105379362,-1.931476333333333
RAB28,1.316681
ENTPD5,1.665260333333332
CDKAL1,-1.705470333333333
CDK5RAP1,-1.413418333333333
ZNF10,2.110054999999998
MAGEB2,3.268515666666666
PSTPIP2,-1.536011333333334
ZNF614,-1.831467333333334
